	"multinodular goiter-cystic kidney-polydactyly syndrome"	"polydactyly of a biphalangeal thumb"	"polydactyly of a triphalangeal thumb"	"syndactyly-polydactyly-ear lobe syndrome"	"preaxial hallucal polydactyly"
"Renal cyst"	1.0	0.0	0.0	0.0	0.0
"Triphalangeal thumb"	1.0	0.0	0.0	0.0	0.0
"Multicystic kidney dysplasia"	1.0	0.0	0.0	0.0	0.0
"Abnormality of the genitourinary system"	1.0	0.0	0.0	0.0	0.0
"Preaxial foot polydactyly"	1.0	0.0	1.0	1.0	1.0
"Bilateral triphalangeal thumbs"	1.0	0.0	0.0	0.0	0.0
"Multinodular goiter"	1.0	0.0	0.0	0.0	0.0
"Abnormality of earlobe"	0.0	0.0	0.0	1.0	0.0
"Bifid distal phalanx of toe"	0.0	0.0	0.0	1.0	0.0
"1-2 toe complete cutaneous syndactyly"	0.0	0.0	0.0	1.0	0.0
