	"congenital disorder of glycosylation, type i/IIx"	"pontocerebellar hypoplasia type 4"	"fowler syndrome"	"hydrocephalus, nonsyndromic, autosomal recessive 1"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3"	"Fukuyama congenital muscular dystrophy"	"retinal degeneration and epilepsy"	"microcephaly, corpus callosum dysgenesis, and cleft lip/palate"	"horizontal gaze palsy with progressive scoliosis"	"pontocerebellar hypoplasia type 5"	"MRT10"	"renal hypomagnesemia 4"	"Leber congenital amaurosis 10"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A2"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5"	"polymicrogyria with optic nerve hypoplasia"	"porencephaly-microcephaly-bilateral congenital cataract syndrome"	"lissencephaly 4"	"MRT16"	"familial temporal lobe epilepsy 5"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11"	"mitochondrial complex V (ATP synthase) deficiency nuclear type 4"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12"	"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A13"	"STT3A-CDG"	"mitochondrial proton-transporting ATP synthase complex deficiency"	"lissencephaly 7 with cerebellar hypoplasia"	"microcephaly 14, primary, autosomal recessive"	"hypomagnesemia, seizures, and mental retardation"	"microcephaly 15, primary, autosomal recessive"	"intellectual disability, autosomal recessive 53"	"microcephaly 17, primary, autosomal recessive; MCPH17"	"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH"
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Microcephaly"	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
"Microphthalmia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Global developmental delay"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Pachygyria"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ventriculomegaly"	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
"Polymicrogyria"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003812"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hydrocephalus"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
