	"iridogoniodysgenesis, type 2"	autosomal dominant Parkinson disease 1	Axenfeld-Rieger syndrome type 1	ring dermoid of cornea	"myopathy, centronuclear, 2"	Charlevoix-Saguenay spastic ataxia	X-linked spondyloepimetaphyseal dysplasia	Meester-Loeys syndrome; MRLS	Warburg micro syndrome 1	left ventricular noncompaction 1	Peters anomaly (disease)	autosomal dominant Parkinson disease 4	nemaline myopathy 6	normophosphatemic familial tumoral calcinosis	"neuronopathy, distal hereditary motor, type 2C"	spinocerebellar ataxia type 35	Mirage syndrome; MIRAGE
protein binding	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
identical protein binding	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
negative regulation of transcription from RNA polymerase II promoter	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
cytoplasm	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
regulation of cell proliferation	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
embryonic cranial skeleton morphogenesis	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
embryonic hindlimb morphogenesis	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
in utero embryonic development	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
neuron migration	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"regulation of transcription, DNA-templated"	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
protein homodimerization activity	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
positive regulation of transcription from RNA polymerase II promoter	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
