	amyotrophic lateral sclerosis-parkinsonism-dementia complex	brachydactyly type A2	cardiofaciocutaneous syndrome 1	multiple self-healing squamous epithelioma	esophageal cancer	fibrodysplasia ossificans progressiva	Cardiospondylocarpofacial syndrome	myotonic dystrophy type 1	generalized juvenile polyposis/juvenile polyposis coli	Peutz-Jeghers syndrome	Proteus syndrome	idiopathic and/or familial pulmonary arterial hypertension	thrombocytopenia 2	hypertrophic cardiomyopathy 1	Morvan syndrome	Seckel syndrome 1	Wolcott-Rallison syndrome	pulmonary capillary hemangiomatosis	Hypoinsulinemic hypoglycemia and body hemihypertrophy	male infertility due to large-headed multiflagellar polyploid spermatozoa	mosaic variegated aneuploidy syndrome 1	persistent Mullerian duct syndrome	short-rib thoracic dysplasia 6 with or without polydactyly	Bartsocas-Papas syndrome	pulmonary venoocclusive disease	hereditary spastic paraplegia 23	"mental retardation, X-linked 30"	"mental retardation, X-linked 19"	Coffin-Lowry syndrome	tibial muscular dystrophy	"telangiectasia, hereditary hemorrhagic, type 2"	cerebrovascular disorder	hereditary proximal myopathy with early respiratory failure	dilated cardiomyopathy 1G	spinocerebellar ataxia type 14	autosomal recessive early-onset Parkinson disease 6	autosomal dominant Parkinson disease 8	autosomal recessive nonsyndromic deafness 30	isolated focal cortical dysplasia type II	pontocerebellar hypoplasia type 1A	immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency	autosomal recessive limb-girdle muscular dystrophy type 2J	"coronary heart disease, susceptibility to, 5"	"melanoma, cutaneous malignant, susceptibility to, 3"	Li-Fraumeni syndrome 2	"acromesomelic dysplasia, Demirhan type"	"polyposis syndrome, hereditary mixed, 2"	Loeys-Dietz syndrome 2	"invasive pneumococcal disease, recurrent isolated, 1"	"congenital anomalies of kidney and urinary tract 1, susceptibility to"	"asthma-related Traits, susceptibility to, 5"	"polyhydramnios, megalencephaly, and symptomatic epilepsy"	Noonan syndrome 5	leopard syndrome 2	early-onset myopathy with fatal cardiomyopathy	endocrine-cerebro-osteodysplasia syndrome	glycogen storage disease IXc	Oguchi disease-2	Noonan syndrome 7	leopard syndrome 3	"heterotaxy, visceral, 4, autosomal"	hypertrophic cardiomyopathy 9	nephronophthisis 9	DYRK1A-related intellectual disability syndrome	retinitis pigmentosa 62	"colorectal cancer, hereditary nonpolyposis, type 6"	pseudohypoaldosteronism type 2B	pseudohypoaldosteronism type 2C	familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome	combined immunodeficiency due to STK4 deficiency	branched-chain keto acid dehydrogenase kinase deficiency	Cowden syndrome 6	advanced sleep phase syndrome 2	cardiofaciocutaneous syndrome 3	renal-hepatic-pancreatic dysplasia 2	"aortic aneurysm, familial thoracic 8"	autoimmune lymphoproliferative syndrome type 3	retinitis pigmentosa 67	severe combined immunodeficiency due to IKK2 deficiency	abdominal obesity-metabolic syndrome 3	"pigmented nodular adrenocortical disease, primary, 4"	dilated cardiomyopathy 1NN	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	"myopathy, centronuclear, 5"	severe combined immunodeficiency due to DNA-PKcs deficiency	"microcephaly 12, primary, autosomal recessive"	microcephaly and chorioretinopathy 2	platelet-type bleeding disorder 19	"epileptic encephalopathy, early infantile, 30"	lissencephaly 7 with cerebellar hypoplasia	FTDALS4	macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome	brachydactyly type A1D	"mental retardation, autosomal recessive 54; MRT54"	micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome	Okur-Chung neurodevelopmental syndrome; OCNDS	"microcephaly 17, primary, autosomal recessive; MCPH17"	patterned macular dystrophy 3	Frontometaphyseal dysplasia 2; FMD2
adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G-protein coupled acetylcholine receptor activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
phosphorylation	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
protein phosphorylation	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
purine nucleoside binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein serine/threonine kinase activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
nucleosomal histone binding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
histone kinase activity (H3-S10 specific)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
