	Succinyl-CoA:3-ketoacid CoA transferase deficiency	"cerebral palsy, spastic quadriplegic, 1"	aromatic L-amino acid decarboxylase deficiency	Dopa-responsive dystonia due to sepiapterin reductase deficiency
nitric oxide biosynthetic process	0.0	0.0	0.0	1.0
response to organic substance	0.0	0.0	0.0	1.0
cell morphogenesis involved in neuron differentiation	0.0	0.0	0.0	1.0
voluntary musculoskeletal movement	0.0	0.0	0.0	1.0
L-phenylalanine metabolic process	0.0	0.0	0.0	1.0
tetrahydrobiopterin metabolic process	0.0	0.0	0.0	1.0
norepinephrine metabolic process	0.0	0.0	0.0	1.0
serotonin metabolic process	0.0	0.0	0.0	1.0
pteridine metabolic process	0.0	0.0	0.0	1.0
sepiapterin reductase activity	0.0	0.0	0.0	1.0
