	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YBL024W"	-4.671	-4.879	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-1.016
"YBL077W"	-3.136	-5.081	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-1.147
"YBR106W"	-3.354	-5.052	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.875
"YBR121C"	-4.037	-5.791	-2.416	-3.155	-4.1355	-4.173	-4.5985	-1.272
"YBR142W"	-2.133	-4.241	-2.0035	-2.148	-2.2985	-2.5785	-2.8165	-0.838
"YBR171W"	-2.189	-3.399	-0.857	-1.0045	-1.2865	-1.677	-1.5245	-0.333
"YBR172C"	-1.605	-3.593	-0.397	-0.5835	-1.176	-1.6515	-1.648	0.172
"YBR243C"	-1.288	-2.794	-1.0965	-1.2575	-1.1165	-1.7145	-1.8775	-0.446
"YBR283C"	-1.689	-3.351	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.814
"YCL045C"	-3.044	-3.911	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.201
"YCL053C"	-2.481	-4.22	-1.597	-1.8505	-1.7235	-2.7635	-2.2165	-1.104
"YCR003W"	-1.833	-2.705	-0.936	-0.698	-1.028	-1.3745	-1.3805	0.039
"YCR044C"	-1.836	-2.699	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.08
"YCR052W"	-1.402	-2.66	-0.925	-0.8155	-1.2265	-1.602	-1.3085	-0.073
"YCR053W"	-3.556	-4.283	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.557
"YCR090C"	-2.154	-3.547	-0.809	-0.8085	-1.35	-1.5355	-1.325	-0.242
"YDL015C"	-2.047	-4.309	-0.5175	-0.6435	-1.2485	-1.9455	-2.2355	0.101
"YDL145C"	-1.274	-2.9335	-0.659	-0.7075	-1.115	-1.5045	-1.4735	-0.3055
"YDR023W"	-2.907	-5.745	-1.553	-2.313	-3.056	-3.357	-3.85	-1.24
"YDR083W"	-2.092	-2.922	-1.355	-1.838	-1.676	-2.45	-2.097	-0.897
"YDR084C"	-1.565	-2.084	-0.43	-0.395	-0.825	-0.826	-0.777	0.031
"YDR161W"	-2.842	-4.816	-1.406	-1.537	-2.298	-2.511	-2.286	-1.286
"YDR189W"	-1.871	-2.842	-0.693	-0.704	-1.597	-1.904	-2.063	-0.191
"YDR245W"	-1.932	-3.6715	-1.4085	-1.39	-1.7115	-2.2845	-2.201	-0.489
"YDR341C"	-3.212	-5.262	-1.942	-2.263	-3.262	-3.294	-3.559	-1.411
"YDR376W"	-1.111	-2.283	0.113	0.321	-0.435	-1.037	-0.909	-0.078
"YDR427W"	-1.953	-4.214	-0.463	-0.74	-1.642	-1.996	-2.388	0.624
"YDR496C"	-3.591	-4.393	-2.168	-2.517	-2.6065	-3.579	-3.3065	-1.118
"YER009W"	-2.671	-4.765	-1.407	-1.465	-2.034	-2.393	-2.025	-0.7
"YER032W"	-1.819	-2.478	-0.712	-0.913	-1.235	-1.923	-1.341	-0.585
"YER043C"	-4.78	-6.476	-3.174	-3.716	-3.31	-4.857	-4.918	-1.272
"YER056C"	-2.346	-3.168	-0.962	-1.162	-1.712	-1.735	-2.211	-0.329
"YER126C"	-2.608	-5.367	-1.206	-1.723	-1.575	-2.584	-2.842	-1.344
"YFR001W"	-2.138	-3.337	-1.188	-1.741	-1.731	-2.216	-2.13	-1.094
"YGL049C"	-2.05	-4.12	-0.621	-0.562	-1.692	-1.763	-2.23	-0.072
"YGL083W"	-1.192	-1.642	-0.507	-0.523	-1.241	-1.325	-1.27	-0.088
"YGL099W"	-2.895	-5.764	-1.805	-1.984	-2.516	-3.273	-3.42	-1.162
"YGL151W"	-1.887	-3.485	-0.403	-0.498	-1.6	-1.691	-1.632	0.174
"YGL171W"	-2.903	-4.649	-1.731	-1.978	-2.292	-3.082	-2.503	-1.31
"YGL231C"	-1.893	-3.788	-0.361	-0.357	-1.455	-1.7	-1.822	-0.331
"YGL245W"	-4.799	-6.655	-1.589	-2.121	-3.552	-4.345	-4.779	-0.768
"YGR037C"	-3.63	-4.976	-1.612	-1.441	-1.964	-2.717	-2.416	-0.59
