	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.AA6U.01A.11R.A39I.07	TCGA.CV.7432.11A.01R.2132.07	TCGA.CV.6933.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7794.11A.01R.2118.07	GTEX.11DYG.2526.SM.5N9BB	GTEX.145LV.1226.SM.5S2QH
ABLIM1	99.43	420.68	262.2	273.37	2502.97	2609.3	0.0	0.64	921.88	1015.93	1313.23
ACACB	3.79	30.78	23.42	25.72	165.57	273.37	0.0	0.27	486.75	264.03	241.19
ACSS1	47.5	358.54	206.94	273.37	738.29	633.73	0.0	0.75	759.08	941.27	642.59
ADC	7.75	38.12	15.91	34.75	103.69	58.71	0.0	0.29	122.64	187.71	73.03
ADHFE1	24.99	61.25	4.62	43.63	205.5	444.72	0.0	0.46	371.22	429.54	503.95
AFF2	0.0	0.33	2.1	1.99	1.95	2.92	0.0	0.39	15.22	17.25	12.27
AUH	102.25	169.07	253.23	175.07	872.1	1001.93	0.0	0.4	813.63	1037.29	429.54
BBS1	194.36	438.59	348.71	287.01	743.43	616.37	0.0	0.57	878.17	743.43	743.43
BCL2	21.01	50.63	13.22	34.02	82.87	60.39	0.0	0.45	473.41	642.59	151.22
BCO2	2.61	18.97	9.93	18.84	20.41	8.85	0.0	0.4	56.68	92.7	71.5
BMPER	4.28	14.78	3.32	6.52	11.64	10.79	0.0	0.39	46.18	16.88	11.55
C14orf159	62.56	514.56	412.0	193.01	1225.22	896.64	0.0	0.62	1191.69	1721.16	2400.97
C9orf152	1.45	21.16	137.14	19.53	483.38	629.35	0.0	0.06	507.46	466.88	361.04
CBX7	92.05	341.51	176.29	182.55	1015.93	1059.11	0.0	0.36	1769.57	1151.06	848.22
CCDC28A	173.85	381.68	318.57	351.14	1233.75	1208.34	0.0	0.18	647.07	1073.91	679.29
CDH4	0.0	1.58	0.31	0.58	7.69	0.92	0.0	0.16	7.69	2.71	1.89
CLEC9A	2.81	1.89	0.91	1.41	18.84	26.67	0.0	0.02	33.54	19.53	6.11
CNTN4	6.84	12.0	6.62	6.84	42.71	27.25	0.0	0.28	155.5	151.22	57.49
COLGALT2	0.87	5.96	1.22	2.01	40.07	36.01	0.0	0.44	81.71	132.44	26.47
CPO	1.69	1.27	4.17	1.43	10.24	1.83	0.0	0.13	8.45	17.77	15.45
CRB1	0.0	1.57	0.0	0.28	3.59	3.79	0.0	0.0	4.66	1.69	1.25
CRY2	82.29	147.06	94.01	161.02	612.11	808.0	0.0	0.41	921.88	1008.9	486.75
CRYM	0.91	2.92	3.06	21.63	1340.84	679.29	0.0	0.0	1697.45	2004.85	463.65
CYSLTR1	6.78	11.3	4.21	16.88	18.84	26.67	0.0	0.0	150.17	73.03	30.78
DACH1	2.56	6.62	8.65	6.78	18.7	43.02	0.0	0.15	215.77	237.86	107.38
DIRAS3	1.73	2.89	2.73	25.17	43.94	24.46	0.0	0.27	98.04	127.0	30.56
DLG2	2.86	10.08	7.46	9.06	37.85	113.56	0.0	0.27	98.04	116.78	25.17
EVA1C	23.42	269.6	34.51	85.22	1936.53	603.67	0.0	0.78	1143.1	1216.75	813.63
FAM110B	6.31	5.45	30.34	14.89	303.44	205.5	12.74	108.9	232.94	215.77	58.3
FAM189A2	5.77	71.5	8.45	36.79	551.56	271.48	0.0	0.26	583.07	1662.49	368.65
FOXI2	0.29	0.33	0.31	0.85	4.58	19.82	0.0	0.0	18.43	10.71	23.59
GAMT	48.87	52.08	48.52	28.65	1447.15	1896.65	0.0	0.49	775.05	2351.53	988.12
GCNT2	4.03	71.5	57.89	21.63	162.14	115.16	0.0	0.26	547.75	616.37	260.38
GFRA2	2.29	7.57	0.92	3.41	10.71	10.24	0.0	0.07	36.01	58.3	16.39
GP5	0.0	0.32	0.3	0.57	0.82	0.0	0.0	0.0	5.59	1.17	1.1
GRIA4	0.0	0.32	0.0	0.85	33.06	74.58	0.0	0.0	3.41	17.51	3.0
HAAO	39.22	53.95	99.43	31.67	299.25	102.25	0.0	0.35	389.72	796.86	287.01
HERPUD1	1250.98	1697.45	1745.2	1208.34	4972.34	4298.64	0.0	0.67	7485.11	12160.22	2895.31
HSFX2	0.0	23.59	0.61	5.15	33.78	5.77	0.0	0.0	45.53	121.79	53.57
KAT6B	76.17	85.22	143.01	108.14	159.9	241.19	53.95	57.08	325.29	248.0	215.77
KCTD3	195.72	642.59	438.59	532.74	551.56	748.61	0.0	0.58	1059.11	1594.73	1001.93
KIAA2022	0.0	0.0	0.3	0.0	3.82	14.56	0.0	0.01	28.24	16.27	2.89
KIF27	23.08	40.93	28.65	26.67	56.28	29.91	0.0	0.39	120.94	120.94	69.52
KY	0.85	4.06	2.07	0.28	16.88	16.75	0.0	0.01	18.97	27.25	6.36
LRRK2	6.26	7.94	12.83	6.31	67.12	80.01	0.0	0.11	125.24	51.71	24.28
MAP3K1	58.3	190.34	116.78	155.5	547.75	476.71	111.99	111.21	376.41	368.65	356.05
NCOR2	603.67	1340.84	679.29	603.67	1583.71	2090.03	591.22	633.73	2303.12	1769.57	1561.89
NHLRC4	3.69	3.79	0.32	9.63	71.5	54.33	0.0	0.0	38.4	125.24	20.41
NTF4	8.65	143.01	77.79	76.17	101.54	80.01	0.0	0.4	187.71	1008.9	872.1
NTN1	3.47	14.56	1.55	2.61	480.04	329.84	0.0	0.42	299.25	133.36	54.33
NXN	73.03	571.05	43.32	356.05	1175.27	591.22	0.0	0.56	1277.29	1350.18	1030.12
OAT	137.14	318.57	289.02	73.54	3955.48	6079.61	0.0	1.06	2287.2	1104.13	718.08
OGFRL1	30.34	85.82	49.56	56.68	567.1	941.27	0.0	0.52	307.69	166.73	166.73
OXER1	8.85	47.17	13.22	10.55	33.06	12.0	0.0	0.38	83.45	312.0	78.34
PAK7	0.0	0.32	2.39	1.13	13.32	11.04	0.0	0.0	15.0	41.81	16.75
PHYHIP	2.03	6.67	6.94	20.11	11.64	6.78	0.0	0.21	249.73	293.07	379.04
PLCL1	4.82	14.45	3.59	2.29	82.29	59.13	0.0	0.06	144.01	98.73	45.85
PLD4	6.78	46.84	36.53	15.8	211.31	156.59	0.0	0.0	165.57	77.79	46.84
PLEKHH2	2.34	44.57	7.88	18.84	33.3	22.75	0.0	0.47	94.01	116.78	30.34
PPP1R13B	112.77	392.44	249.73	248.0	397.93	860.08	0.0	0.72	651.58	718.08	802.41
PRDM11	8.92	57.49	33.54	31.22	88.26	81.14	0.0	0.41	249.73	260.38	244.57
PRDM5	2.89	49.56	50.98	21.78	24.63	37.85	0.0	0.4	175.07	183.82	74.58
PTX4	0.0	0.64	0.31	1.14	0.79	2.18	0.0	0.0	2.41	6.11	4.03
RAB37	10.24	14.56	12.93	11.64	35.0	36.79	0.0	0.34	186.4	223.41	99.43
RARB	15.45	57.08	65.72	21.47	575.03	309.83	0.0	0.4	387.02	373.81	249.73
RCBTB2	42.41	110.43	91.41	57.08	536.45	454.09	0.0	0.27	412.0	587.13	307.69
RGMB	133.36	220.32	114.36	130.6	429.54	435.55	0.0	0.52	540.19	753.83	343.89
RNF185	346.29	511.0	387.02	490.14	791.35	1001.93	0.0	0.6	1151.06	1167.14	642.59
RP11-676J12.7	2.01	6.62	0.62	0.88	1.07	2.68	0.0	0.0	21.94	40.36	20.26
