	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7101.01A.11R.2016.07	TCGA.55.8621.01A.11R.2403.07	GTEX.WYVS.0526.SM.3NM9W	TCGA.34.2608.01A.02R.0851.07	TCGA.22.5472.11A.11R.1635.07
ABCA13	0.0	0.0	0.0	785.88	373.81	190.34	1369.04	138.1	52.82
ANO9	10.63	11.82	3.92	1963.57	211.31	497.0	490.14	208.38	138.1
APOBEC3B	4.5	15.8	2.32	1697.45	743.43	113.56	872.1	323.03	111.21
APOBEC3D	23.08	54.72	29.48	124.37	105.89	134.3	154.42	111.99	92.05
ARL14	0.0	0.0	0.0	343.89	11.04	5.77	78.89	41.81	2.1
ATP10B	0.0	0.41	0.0	4095.0	187.71	12.93	212.78	21.32	1.22
ATP12A	0.0	0.0	0.0	2193.99	713.11	54.72	642.59	53.19	52.08
AURKA	22.59	53.57	28.45	327.56	229.72	161.02	497.0	221.86	96.01
BCAS1	2.43	9.27	2.86	988.12	215.77	84.04	723.08	65.26	72.01
BCL11A	0.48	3.69	2.16	3716.2	265.87	129.69	466.88	186.4	64.8
BIRC5	2.29	22.26	6.21	529.06	327.56	289.02	507.46	466.88	92.7
CCNA2	8.51	28.04	11.55	162.14	305.55	127.89	295.11	237.86	76.71
CCNB1	102.25	118.43	81.14	2193.99	802.41	514.56	1313.23	583.07	193.01
CDC20	17.13	50.63	6.01	1397.83	860.08	293.07	511.0	414.87	127.89
CDC25A	9.85	7.17	5.45	159.9	82.87	19.53	153.34	31.9	28.86
CDCA4	48.52	90.14	74.58	1963.57	728.11	241.19	733.19	563.18	130.6
CDCA5	8.19	37.05	17.64	595.34	403.5	170.25	466.88	234.57	88.26
CDCA7	5.82	11.38	5.54	872.1	277.2	94.01	305.55	107.38	50.63
CDH3	1.51	3.03	6.26	2417.67	3212.66	808.0	3419.52	4010.71	412.0
