	GTEX.W5X1.2326.SM.3GIL6	TCGA.A3.3324.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	TCGA.KS.A4ID.01A.11R.A250.07	GTEX.111VG.0526.SM.5N9BW	GTEX.13QJC.0826.SM.5RQKC
ABCB7	713.11	426.57	473.41	493.56	547.75	358.54	183.82	293.07	194.36	373.81	242.88	366.09	429.54
AC008443.1	36.79	91.41	178.77	75.64	115.16	4.03	0.0	0.0	0.0	0.0	0.0	33.54	32.13
AC135048.1	0.27	52.82	60.39	60.82	31.22	0.0	24.46	18.29	12.74	16.15	0.0	19.97	5.96
ADAMTS5	293.07	115.16	116.78	301.33	262.2	38.67	11.3	10.55	4.98	10.16	38.95	29.27	85.22
AL049747.1	0.0	0.75	1.01	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALPK2	31.9	1051.79	1183.45	1378.57	866.07	255.0	4.21	13.22	21.16	11.21	2.14	1.6	37.32
ANO4	14.35	249.73	55.1	470.14	29.27	4.82	0.52	0.0	0.0	0.0	0.91	3.41	11.38
ARHGAP11B	48.52	49.56	77.25	67.59	43.32	11.91	7.0	7.4	5.87	7.28	26.28	32.13	64.34
ARHGAP42	400.71	656.11	656.11	713.11	229.72	171.45	39.79	58.71	29.48	67.59	47.17	412.0	122.64
ARHGEF39	80.01	62.56	118.43	73.54	66.18	13.52	47.5	7.75	5.5	3.35	47.5	31.0	39.5
ASAP1	703.28	612.11	665.29	497.0	825.0	251.48	87.03	104.42	54.72	84.04	201.25	447.82	514.56
ATG12	2777.33	1151.06	1175.27	1119.56	1216.75	384.34	366.09	423.61	221.86	444.72	595.34	915.51	967.76
BDNF	78.89	85.22	30.78	99.43	3.96	3.69	2.34	1.68	0.68	0.75	6.78	5.02	8.78
BET1	1199.98	825.0	490.14	967.76	842.36	579.04	412.0	417.77	289.02	412.0	518.15	638.15	567.1
BIRC3	660.68	1487.87	2384.37	1427.22	679.29	198.47	258.57	122.64	11.55	61.25	138.1	624.99	607.87
BTG1	3303.0	3955.48	5255.91	5791.62	2417.67	1991.0	2193.99	1651.0	1551.09	1844.76	1651.0	2956.17	4704.07
C15orf53	0.0	1.13	1.01	1.45	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C6orf195	9.41	5.28	14.45	8.25	5.11	3.32	0.0	0.92	0.0	0.55	0.0	5.02	1.33
CASC4	2895.31	2075.59	1745.2	2163.77	1781.89	1250.98	358.54	514.56	231.32	555.41	1259.69	1551.09	1313.23
CASP2	607.87	444.72	412.0	403.5	379.04	189.02	63.0	79.45	57.49	44.89	232.94	316.37	414.87
CDK19	490.14	693.58	633.73	353.59	314.17	180.02	25.91	68.55	41.52	62.56	130.6	191.67	217.27
CDK5R1	16.27	31.67	50.63	33.54	31.9	21.94	6.46	4.35	7.17	7.51	12.83	18.56	133.36
CEP120	1023.0	412.0	417.77	381.68	392.44	206.94	49.56	79.45	28.45	92.05	122.64	264.03	285.03
CIB4	0.0	67.59	36.79	56.68	7.82	2.2	0.0	0.0	0.0	0.0	0.49	12.93	6.57
CLEC4A	289.02	176.29	348.71	147.06	226.54	21.63	47.17	90.14	25.72	55.49	95.34	173.85	103.69
CNOT7	4869.99	1583.71	1572.76	1498.22	1757.34	1111.82	255.0	647.07	457.25	684.02	890.44	995.0	1051.79
COL27A1	171.45	551.56	599.49	412.0	693.58	124.37	190.34	271.48	73.03	136.19	53.57	205.5	246.28
