	TCGA.AN.A0FL.01A.11R.A034.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6778.11A.01R.1858.07	GTEX.N7MT.0126.SM.2D7VT	GTEX.QDT8.0926.SM.32PL2	GTEX.QMR6.1926.SM.32PL9	TCGA.22.1002.01A.01R.0692.07	TCGA.92.7340.11A.01R.2045.07	TCGA.BK.A0CC.01A.21R.A277.07
AC006449.1	106.63	231.32	91.41	0.0	1001.93	1369.04	1769.57	2537.92	571.05	915.51	674.59
ACCS	76.71	583.07	98.04	0.0	339.14	708.18	674.59	1519.15	387.02	348.71	125.24
ADAMTSL4	148.09	1498.22	11.64	0.0	1277.29	764.36	3665.02	7433.4	423.61	1151.06	332.14
ADARB1	63.45	159.9	19.97	0.0	791.35	1044.52	2520.38	2627.46	297.17	1008.9	137.14
ADHFE1	123.5	547.75	104.42	0.0	334.46	529.06	529.06	780.44	201.25	273.37	62.56
AGAP9	5.41	153.34	0.87	0.0	34.75	63.45	120.1	158.79	103.69	39.79	40.93
AGTR1	5.5	23.42	37.85	0.0	148.09	283.05	366.09	1175.27	38.12	159.9	152.28
ALOX5AP	98.73	438.59	486.75	0.0	4972.34	2573.36	3614.55	7749.1	1233.75	4736.79	103.69
AMICA1	31.9	242.88	10.47	0.0	1709.26	1617.0	8598.28	3018.3	395.18	1313.23	75.64
ANPEP	91.41	176.29	13.22	0.0	387.02	764.36	638.15	5006.93	189.02	507.46	202.66
APOBR	36.79	71.5	2.32	0.0	376.41	376.41	2701.35	1572.76	103.69	197.09	20.41
ARG1	2.92	57.08	3.56	0.0	20.56	44.25	104.42	143.01	30.12	59.13	12.36
ARHGAP15	44.57	91.41	61.68	0.0	473.41	967.76	1378.57	2193.99	170.25	309.83	57.89
ARHGAP25	44.25	124.37	42.71	0.0	698.41	1225.22	2537.92	1639.59	312.0	525.39	107.38
ARHGAP27	172.65	3168.41	107.38	0.0	961.07	848.22	995.0	1199.98	518.15	674.59	412.0
ARHGAP30	47.5	287.01	10.39	0.0	872.1	563.18	1250.98	1250.98	312.0	540.19	92.05
ARL11	5.77	19.39	6.52	0.0	64.8	67.12	110.43	144.01	20.26	67.12	59.97
ARRB2	249.73	819.3	1286.18	0.0	2875.3	3168.41	3742.05	4736.79	1350.18	2591.27	295.11
ATG16L2	60.82	909.17	27.64	0.0	1313.23	1216.75	1617.0	1561.89	521.76	808.0	295.11
ATP10A	181.28	47.17	6.31	0.0	246.28	81.71	1015.93	896.64	70.01	258.57	19.68
ATP1A3	1.07	6.57	1.57	0.0	13.72	55.49	66.65	73.03	9.48	5.11	4.43
ATP8A2	5.5	12.18	1.95	14.14	14.35	50.27	120.94	131.51	11.21	26.86	6.41
BCL2A1	48.18	34.75	42.71	0.0	1437.15	587.13	3794.3	3443.31	299.25	2875.3	312.0
BIN2	39.22	128.79	38.67	0.0	733.19	921.88	1857.6	1551.09	224.97	493.56	37.85
BMX	12.36	40.07	4.58	0.0	81.71	81.71	236.21	291.04	56.28	86.43	10.31
BTK	34.02	70.51	23.25	0.0	579.04	511.0	3768.09	5112.16	157.68	511.0	27.64
C11orf21	0.79	22.1	0.8	0.0	135.24	220.32	470.14	241.19	22.1	55.1	10.0
C1orf162	111.21	301.33	23.42	0.0	2047.0	2555.58	5633.22	6516.03	769.69	1662.49	78.89
C20orf202	6.41	13.32	5.77	0.0	38.95	30.78	63.45	95.34	15.0	24.63	6.26
CD300LF	9.93	23.59	9.63	0.0	555.41	234.57	2133.97	1540.37	85.82	483.38	29.06
CD302	733.19	218.79	23.42	0.0	1159.07	5441.3	6840.04	11745.96	450.94	1757.34	103.69
CD33	24.28	70.01	36.79	0.0	483.38	587.13	1397.83	1685.71	131.51	432.53	10.0
CD37	145.02	423.61	27.44	0.0	3443.31	2777.33	9025.81	5711.87	1104.13	2645.74	242.88
CD97	287.01	759.08	33.06	0.0	3564.78	2664.15	2335.28	4736.79	1151.06	3349.13	1135.2
CEACAM21	16.27	34.75	0.8	0.0	221.86	187.71	130.6	277.2	47.84	197.09	0.88
CEACAM3	0.0	32.59	3.14	0.0	124.37	72.01	336.79	115.16	37.05	104.42	17.9
CNOT4	111.99	199.85	62.56	0.0	232.94	368.65	381.68	387.02	273.37	295.11	187.71
CSAD	181.28	954.43	35.76	0.0	688.78	1008.9	1030.12	1605.83	684.02	454.09	486.75
CSF2RB	14.35	77.79	4.66	0.0	603.67	246.28	1111.82	896.64	98.04	450.94	72.52
CTB-186H2.3	0.0	0.38	0.0	0.0	341.51	15.22	117.6	143.01	0.0	30.56	0.0
CXCR1	0.69	17.38	10.47	0.0	497.0	198.47	500.46	476.71	197.09	426.57	34.51
CXCR4	3515.68	567.1	198.47	0.0	3847.29	4869.99	10225.32	6250.56	2645.74	1225.22	299.25
CYTH4	46.5	162.14	10.0	0.0	532.74	497.0	759.08	2384.37	215.77	351.14	58.3
CYYR1	518.15	151.22	153.34	0.0	1104.13	981.29	3124.78	4239.45	229.72	713.11	131.51
DOCK8	45.53	157.68	84.04	0.0	567.1	902.89	2367.9	1870.53	163.28	728.11	158.79
DOK2	30.56	103.69	9.63	0.0	961.07	532.74	1870.53	2271.4	193.01	483.38	28.65
DOK3	49.91	195.72	5.15	0.0	599.49	392.44	1096.5	718.08	273.37	353.59	52.82
DPEP2	14.78	51.35	29.27	0.0	1001.93	753.83	1923.14	1950.0	158.79	563.18	19.97
ERMAP	52.08	215.77	54.72	0.0	221.86	358.54	397.93	543.96	273.37	251.48	102.97
EVI2B	57.89	181.28	26.47	0.0	1685.71	2303.12	7230.1	4575.41	500.46	1304.15	95.34
EVL	1477.58	1159.07	209.84	0.0	3235.01	2434.5	3257.52	4268.94	1662.49	2004.85	638.15
FAM107A	194.36	1407.55	134.3	119.26	6516.03	1487.87	6381.92	14561.8	1769.57	3955.48	18.56
FAM122C	19.39	62.12	74.58	0.0	104.42	180.02	98.04	432.53	76.71	149.12	73.03
FAM160A2	332.14	860.08	131.51	0.0	836.53	669.92	909.17	1233.75	665.29	647.07	432.53
FCRL1	0.0	13.42	0.0	0.0	23.42	51.71	149.12	142.01	37.85	28.45	4.46
FERMT3	163.28	656.11	89.51	583.07	1250.98	693.58	2178.83	2004.85	420.68	1143.1	180.02
FGD2	12.0	185.11	14.24	0.0	480.04	1208.34	2193.99	2032.85	156.59	409.15	48.18
FGR	38.4	176.29	14.56	0.0	1963.57	1030.12	3820.7	4450.27	620.67	1594.73	135.24
FIG4	368.65	187.71	81.14	0.0	414.87	460.44	802.41	1259.69	170.25	414.87	507.46
FLI1	70.01	115.16	34.51	0.0	1662.49	1295.13	5594.3	3124.78	320.8	1199.98	55.49
GAB3	6.57	71.5	2.81	34.75	137.14	143.01	426.57	507.46	61.25	135.24	12.55
GABRA1	0.0	0.0	0.0	0.0	0.43	5.68	7.82	10.79	0.0	1.17	0.0
GABRB3	48.52	23.42	0.0	0.0	24.99	162.14	17.51	406.31	13.72	61.68	2.61
GCA	791.35	223.41	163.28	0.0	1378.57	1304.15	2758.13	2209.26	612.11	1794.29	532.74
GLIPR2	172.65	343.89	50.98	0.0	2384.37	1199.98	3060.45	4388.98	460.44	1844.76	175.07
GMFG	500.46	490.14	866.07	0.0	4210.15	5403.7	8421.31	12329.98	1208.34	3614.55	209.84
GMIP	111.99	373.81	24.11	0.0	497.0	698.41	684.02	890.44	234.57	426.57	295.11
GPR171	2.01	33.78	0.78	0.0	271.48	450.94	532.74	567.1	158.79	123.5	8.58
GRIA1	0.35	1.81	2.71	0.0	258.57	432.53	1015.93	866.07	39.22	397.93	0.0
GSAP	100.13	289.02	267.73	0.0	884.29	236.21	1844.76	2240.11	323.03	974.5	41.81
GUCA1B	0.0	18.29	0.0	0.0	18.7	27.84	42.41	123.5	21.16	20.11	7.4
HCAR3	0.66	87.65	12.36	0.0	239.52	267.73	1594.73	764.36	122.64	201.25	24.99
HCK	58.71	122.64	53.57	0.0	1498.22	878.17	3103.19	2573.36	379.04	1685.71	131.51
HCLS1	218.79	854.13	53.19	0.0	2367.9	2976.74	3847.29	5076.84	1233.75	1819.35	253.23
HGF	13.03	56.28	3.92	0.0	285.03	320.8	414.87	450.94	105.89	271.48	30.12
HHEX	14.14	127.89	10.96	0.0	279.14	202.66	457.25	480.04	110.43	182.55	29.48
HK3	29.27	41.22	5.59	0.0	802.41	791.35	1295.13	1508.65	111.21	511.0	62.12
HYAL2	688.78	1111.82	1477.58	0.0	5954.47	2271.4	2520.38	4239.45	2573.36	5219.6	1313.23
IFFO1	33.78	170.25	12.93	0.0	441.64	470.14	665.29	759.08	220.32	299.25	27.84
IL12RB1	9.48	25.91	5.82	0.0	149.12	234.57	253.23	339.14	53.95	100.83	12.36
IL22RA1	4.21	293.07	0.0	0.0	9.13	116.78	169.07	214.27	18.7	21.94	7.94
IRF5	100.83	536.45	46.5	0.0	248.0	376.41	796.86	902.89	137.14	262.2	48.87
IRF8	36.01	251.48	17.77	0.0	665.29	339.14	684.02	1977.24	190.34	587.13	33.06
ITGAL	23.42	127.89	7.75	0.0	802.41	1216.75	1594.73	1313.23	181.28	748.61	94.01
ITIH4	4.54	142.01	0.49	0.0	185.11	309.83	571.05	854.13	163.28	121.79	33.54
KCNA3	0.33	5.41	0.39	0.0	147.06	198.47	511.0	429.54	20.86	318.57	8.78
KIAA1257	3.0	6.16	1.93	0.0	18.16	26.1	75.11	114.36	7.4	29.7	4.98
LILRA5	14.24	19.39	21.94	162.14	836.53	441.64	620.67	842.36	232.94	466.88	80.01
LILRA6	12.74	47.84	1.62	0.0	384.34	575.03	974.5	1135.2	130.6	480.04	43.63
LILRB2	38.67	43.63	10.55	356.05	775.05	463.65	1963.57	612.11	208.38	381.68	92.05
LILRB3	3.2	63.45	6.46	0.0	688.78	620.67	1151.06	1417.35	175.07	559.28	83.45
LILRB5	7.75	113.56	2.01	0.0	197.09	146.03	267.73	265.87	91.41	123.5	6.57
LRMP	17.38	236.21	100.83	0.0	343.89	503.95	3081.75	1487.87	157.68	224.97	65.72
LRRC34	29.48	18.43	54.33	0.0	76.71	92.7	346.29	429.54	29.48	129.69	96.68
MAMDC2	6.31	343.89	3.0	0.0	961.07	2645.74	6652.97	7695.57	215.77	1175.27	21.94
MAP3K6	470.14	1447.15	193.01	435.55	1709.26	802.41	2193.99	3639.7	1498.22	1991.0	403.5
MCOLN1	267.73	525.39	429.54	0.0	995.0	854.13	1151.06	1407.55	480.04	660.68	152.28
MICAL1	88.88	825.0	18.16	0.0	1008.9	995.0	884.29	2468.49	486.75	688.78	387.02
MKNK1	265.87	878.17	316.37	603.67	981.29	860.08	1191.69	1477.58	981.29	909.17	400.71
MLKL	75.64	486.75	23.76	0.0	1015.93	493.56	1216.75	1151.06	273.37	420.68	82.29
MNDA	62.56	57.89	36.79	0.0	2178.83	1427.22	8191.0	2335.28	323.03	1250.98	107.38
MRC1L1	6.89	75.11	12.27	0.0	1467.37	808.0	108.9	1870.53	154.42	2287.2	28.86
MS4A7	76.17	182.55	198.47	830.75	3589.58	2609.3	8598.28	7642.41	444.72	3928.15	264.03
MSR1	100.13	72.52	44.57	463.65	4038.61	575.03	6426.31	7642.41	397.93	2148.82	126.12
MTMR14	629.35	575.03	303.44	693.58	884.29	1143.1	1135.2	1295.13	603.67	878.17	532.74
MYD88	343.89	1159.07	32.36	775.05	1199.98	1135.2	1909.85	1651.0	656.11	1331.57	379.04
NCF2	49.21	182.55	18.97	373.81	2417.67	1745.2	8778.97	4358.66	450.94	2209.26	151.22
NCF4	41.22	186.4	28.24	0.0	947.83	791.35	1259.69	2148.82	303.44	775.05	74.06
NIPAL2	161.02	836.53	242.88	0.0	327.56	764.36	830.75	1030.12	356.05	327.56	106.63
ONECUT3	0.0	1.773381898E7	0.0	0.0	0.0	0.0	0.0	5.11	0.0	0.0	0.0
OR2A7	57.49	368.65	5.41	0.0	104.42	143.01	105.15	435.55	142.01	65.26	61.25
OSCAR	57.89	27.64	3.14	0.0	638.15	463.65	1561.89	1051.79	127.89	769.69	17.38
P2RY13	5.87	22.1	1.91	0.0	228.13	112.77	624.99	620.67	57.08	211.31	6.67
PARVG	95.34	297.17	8.78	0.0	1119.56	616.37	1044.52	1572.76	381.68	830.75	269.6
PCED1B	17.0	48.52	22.43	0.0	212.78	185.11	525.39	693.58	114.36	167.9	25.72
PCYOX1L	21.78	126.12	21.01	181.28	186.4	220.32	348.71	361.04	183.82	122.64	55.89
PENK	0.0	11.47	0.0	0.0	59.97	81.71	53.57	764.36	32.59	67.12	1.28
PGAP2	638.15	651.58	206.94	0.0	854.13	988.12	1832.01	1498.22	825.0	656.11	170.25
PIK3R5	17.25	151.22	5.92	0.0	463.65	312.0	575.03	698.41	176.29	476.71	117.6
PLCB2	41.52	318.57	5.96	0.0	1127.35	1191.69	2335.28	2997.45	312.0	579.04	69.52
PLEK	68.55	100.13	10.88	0.0	1135.2	915.51	2777.33	2627.46	237.86	2075.59	303.44
PNPLA6	271.48	878.17	379.04	0.0	2287.2	1832.01	3168.41	5672.41	802.41	2032.85	791.35
PRAM1	14.45	51.71	3.2	0.0	679.29	551.56	1225.22	2004.85	87.65	414.87	18.03
PRCD	50.98	63.45	9.06	0.0	128.79	133.36	297.17	253.23	57.89	53.57	22.43
PTPN6	403.5	764.36	251.48	0.0	2075.59	1437.15	3443.31	3039.3	1277.29	1794.29	497.0
PTPRO	9.56	4.46	3.08	0.0	150.17	127.89	698.41	825.0	27.25	116.78	39.79
RAB37	5.36	172.65	19.97	0.0	264.03	698.41	341.51	848.22	68.07	220.32	44.89
RAB44	0.0	11.04	0.0	0.0	16.39	16.63	16.27	46.84	5.77	11.3	0.59
RALB	490.14	1477.58	297.17	0.0	1870.53	2976.74	5711.87	4736.79	928.3	1674.06	1073.91
RASA4	480.04	368.65	133.36	208.38	825.0	802.41	2935.74	1806.78	301.33	764.36	591.22
RASGRP2	37.59	271.48	14.78	0.0	616.37	1529.73	896.64	1457.23	346.29	438.59	110.43
RASGRP4	4.39	41.81	1.19	0.0	265.87	202.66	497.0	490.14	60.82	228.13	27.05
RIPK3	62.56	764.36	43.02	0.0	363.56	432.53	708.18	909.17	193.01	307.69	186.4
RP11-598P20.5	0.0	0.0	0.0	0.0	57.08	1295.13	1378.57	3395.89	135.24	105.15	0.0
RP11-6L6.2	3.23	8.58	0.0	0.0	19.25	20.71	42.41	55.1	9.78	6.06	0.0
RP5-966M1.6	0.89	47.5	0.0	0.0	54.72	50.98	107.38	201.25	15.11	38.67	2.23
SASH3	40.07	190.34	21.01	0.0	753.83	819.3	1561.89	1832.01	323.03	514.56	53.19
SCN7A	0.43	22.43	0.4	0.0	579.04	2502.97	3419.52	4419.52	108.14	1015.93	0.74
SHE	20.41	115.16	36.53	0.0	723.08	1066.48	3060.45	1639.59	204.07	647.07	38.67
SIGLEC11	1.01	16.75	0.0	0.0	32.59	110.43	84.63	103.69	8.78	73.54	1.27
SIRPD	0.0	0.0	0.0	0.0	25.54	59.13	35.0	103.69	3.23	13.52	0.95
SLA	21.94	189.02	23.93	0.0	896.64	1561.89	995.0	4010.71	400.71	872.1	283.05
SLC16A6	9.63	74.06	6.52	0.0	186.4	123.5	417.77	181.28	61.68	112.77	74.58
SLC25A45	103.69	106.63	6.73	51.35	199.85	223.41	318.57	480.04	98.04	152.28	73.03
SLC35G2	28.65	40.36	28.65	0.0	226.54	551.56	1417.35	1457.23	150.17	163.28	85.22
SLCO2B1	68.55	316.37	64.34	0.0	1896.65	3665.02	4575.41	7180.15	514.56	1721.16	81.71
SMAP2	348.71	909.17	181.28	0.0	1498.22	1757.34	2434.5	2287.2	1709.26	1936.53	256.78
SNTG2	1.1	18.7	0.0	0.0	17.77	22.26	46.5	138.1	14.14	7.63	8.78
SNX20	24.11	40.36	2.71	72.52	181.28	320.8	376.41	674.59	83.45	172.65	16.03
SPATA8	0.0	0.0	0.0	0.0	1.36	2.76	3.26	6.94	0.0	0.48	2.41
SPI1	199.85	323.03	68.07	0.0	2777.33	1487.87	4736.79	5255.91	665.29	2335.28	125.24
SPN	19.39	108.14	6.16	0.0	733.19	555.41	1369.04	1331.57	105.15	713.11	25.35
TBC1D10C	13.22	246.28	23.42	0.0	559.28	620.67	928.3	1397.83	186.4	262.2	74.58
TCHH	12.55	1.45	0.0	0.0	9.06	22.92	24.28	42.41	5.06	5.68	3.38
THEMIS2	76.71	316.37	35.76	0.0	2004.85	1561.89	2255.7	2875.3	890.44	1313.23	872.1
TLDC2	5.92	78.89	1.99	0.0	143.01	301.33	444.72	723.08	59.97	119.26	59.97
TLR4	21.94	55.1	46.5	0.0	633.73	660.68	1561.89	2451.44	126.12	514.56	70.51
TMEM110	111.99	206.94	166.73	0.0	371.22	409.15	571.05	698.41	173.85	351.14	236.21
TMEM110-MUSTN1	30.56	80.01	33.06	0.0	53.19	82.87	163.28	376.41	61.68	117.6	33.78
TMEM150B	22.26	6.73	2.36	0.0	307.69	346.29	325.29	571.05	41.52	262.2	20.71
VNN1	3.35	33.54	4.31	0.0	138.1	277.2	480.04	620.67	17.25	69.03	64.8
VNN2	11.38	37.32	16.39	0.0	723.08	896.64	2018.8	2178.83	157.68	507.46	55.49
VSIG4	80.01	287.01	28.24	0.0	3820.7	5219.6	1639.59	8538.88	848.22	3564.78	111.21
WDFY4	20.11	88.26	1.97	0.0	267.73	395.18	543.96	612.11	93.35	283.05	30.56
ZBTB18	85.82	146.03	88.26	450.94	358.54	295.11	764.36	1477.58	164.42	327.56	131.51
ZMYND15	16.63	93.35	8.71	0.0	215.77	132.44	289.02	529.06	58.71	145.02	32.82
