	TCGA.E2.A158.11A.22R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OHPM.2626.SM.33HC5	GTEX.13QBU.0626.SM.5J2OG	GTEX.ZQG8.0926.SM.57WFF	GTEX.S4P3.0226.SM.3K2BD
ABCD2	283.05	281.09	547.75	395.18	3.76	0.0	0.0	3.96	16.51	111.99	4.58
ACACA	1685.71	1008.9	1388.16	1437.15	961.07	0.0	0.03	376.41	432.53	967.76	301.33
ACOT1	791.35	563.18	1208.34	848.22	40.07	0.0	0.0	125.24	316.37	426.57	157.68
ACOT2	2895.31	2018.8	4419.52	2720.15	182.55	0.0	0.26	503.95	753.83	1340.84	647.07
ACSL1	15499.21	13776.25	36106.23	27363.16	4736.79	0.0	0.31	2319.15	2434.5	7382.04	1529.73
ACSL5	379.04	400.71	603.67	860.08	356.05	0.0	0.75	109.66	303.44	500.46	80.57
ACVR1C	688.78	616.37	1487.87	884.29	0.47	0.0	0.21	7.28	15.0	41.52	4.24
ADCY5	1044.52	507.46	579.04	2976.74	0.0	0.0	0.57	13.03	40.93	148.09	37.32
ADIPOQ	22072.07	15824.9	36106.23	121448.75	0.0	0.0	0.0	4.74	113.56	414.87	11.3
ADIPOR2	1388.16	2555.58	2485.67	2351.53	1628.26	0.0	0.34	1519.15	1143.1	2384.37	878.17
ADRA1A	246.28	301.33	320.8	269.6	0.0	0.0	0.31	0.96	12.83	34.51	6.26
ADRBK2	785.88	555.41	1001.93	1388.16	15.34	65.26	42.11	110.43	84.04	307.69	78.34
AGPAT2	8078.22	5872.48	15285.81	8901.53	2148.82	1008.9	656.11	813.63	2835.7	5954.47	1617.0
ALDH1L1	1388.16	1015.93	3168.41	2701.35	4.7	0.0	0.45	33.3	269.6	1051.79	177.53
ALPK3	507.46	73.54	693.58	486.75	5.11	0.0	0.49	42.71	79.45	173.85	68.07
AOC3	11827.67	9279.58	21468.49	15715.58	31.67	303.44	180.02	244.57	571.05	1594.73	239.52
APBB1IP	808.0	693.58	1096.5	1313.23	52.08	0.0	0.55	69.03	133.36	624.99	74.58
