	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.BA.4078.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.8455.01A.11R.2326.07	TCGA.60.2710.01A.01R.0851.07	TCGA.85.7844.01A.11R.2125.07	TCGA.22.5482.01A.01R.1635.07	GTEX.P4PP.1526.SM.3P61M	GTEX.QDVN.1226.SM.48TZ5
ABHD10	234.57	108.14	1397.83	0.0	0.28	353.59	836.53	764.36	267.73	346.29	287.01
ABTB1	277.2	182.55	1104.13	0.0	0.48	567.1	934.76	693.58	543.96	384.34	1295.13
AC021860.1	0.59	2.84	29.91	0.0	0.39	2.16	6.89	10.55	3.5	13.72	7.51
AC079354.2	0.0	0.0	0.0	0.0	0.02	0.0	0.0	85.22	0.0	1155430.26	9243449.07
ACAD9	307.69	299.25	1340.84	0.0	0.56	1127.35	1397.83	1519.15	500.46	575.03	540.19
ANAPC13	796.86	246.28	2875.3	0.0	0.52	1709.26	2090.03	2555.58	1127.35	995.0	981.29
ARL13B	43.02	32.13	466.88	176.29	220.32	293.07	389.72	429.54	171.45	57.89	49.21
ARL6	68.07	16.75	249.73	0.0	0.04	121.79	141.02	251.48	49.56	48.18	69.52
ARMCX4	70.01	24.46	198.47	0.0	0.69	74.06	95.34	98.04	6.36	52.45	65.26
ARNTL	123.5	157.68	176.29	0.0	0.55	248.0	476.71	409.15	253.23	171.45	320.8
ARSJ	27.44	41.81	217.27	376.41	82.29	423.61	150.17	231.32	164.42	48.87	61.25
ASTE1	49.91	49.56	429.54	0.0	0.0	133.36	164.42	332.14	122.64	104.42	131.51
ATF2	224.97	201.25	638.15	0.0	0.46	559.28	403.5	660.68	371.22	258.57	309.83
ATG3	961.07	518.15	1709.26	1225.22	309.83	1617.0	2193.99	1883.54	1159.07	1135.2	1135.2
ATP2C1	769.69	633.73	4210.15	0.0	0.78	1561.89	2609.3	5995.9	1572.76	642.59	708.18
ATP6V1A	312.0	256.78	896.64	387.02	591.22	1044.52	1159.07	1594.73	693.58	480.04	460.44
BBX	101.54	157.68	595.34	180.02	43.63	514.56	563.18	748.61	204.07	145.02	162.14
C3orf17	320.8	206.94	1745.2	0.0	0.84	1066.48	947.83	1268.46	684.02	182.55	253.23
CACHD1	4.03	27.64	733.19	0.0	0.37	142.01	256.78	470.14	150.17	94.67	39.79
CEP63	249.73	134.3	603.67	255.0	232.94	555.41	473.41	791.35	373.81	258.57	325.29
CEP97	8.51	18.56	232.94	0.0	0.35	83.45	197.09	242.88	62.12	26.67	38.4
CLDND1	490.14	1216.75	6294.04	3081.75	1037.29	3103.19	5006.93	8421.31	3395.89	934.76	1151.06
CNBP	3847.29	4066.71	14361.31	7081.29	13968.57	13492.72	14867.79	15285.81	11189.6	4268.94	5076.84
COPG1	3081.75	1350.18	4972.34	4388.98	2163.77	4736.79	5517.27	7803.01	3190.46	3874.05	3146.52
CPA3	5.19	3.23	251.48	0.0	0.28	463.65	825.0	1191.69	140.04	27.44	185.11
CPE	218.79	41.22	1111.82	0.0	0.52	1135.2	836.53	4038.61	1674.06	563.18	248.0
CRYBG3	87.03	167.9	384.34	0.0	0.59	327.56	343.89	387.02	157.68	138.1	128.79
CYP2U1	16.03	1.62	47.84	0.0	0.12	27.64	80.57	85.82	16.15	37.05	88.26
DNAJC13	262.2	126.12	591.22	0.0	0.73	454.09	620.67	669.92	269.6	287.01	305.55
ECE1	1417.35	1359.57	2163.77	0.0	0.95	1991.0	5594.3	8901.53	2664.15	791.35	866.07
EEF2K	153.34	273.37	387.02	0.0	0.24	450.94	457.25	708.18	209.84	395.18	457.25
EEFSEC	205.5	114.36	629.35	0.0	0.43	493.56	764.36	551.56	339.14	387.02	316.37
FAM171B	3.72	4.46	107.38	37.05	60.39	19.53	75.11	353.59	72.52	28.24	11.64
GATA1	0.57	0.0	3.17	0.0	0.27	4.7	5.5	11.3	1.91	0.99	3.53
GOLGA8N	0.32	3.82	50.98	0.0	0.66	45.53	51.35	94.01	36.27	43.32	64.8
GRIK2	0.58	19.53	6.94	0.0	0.18	46.84	4.46	88.26	16.75	4.21	3.14
GTPBP8	151.22	127.89	470.14	0.0	0.36	441.64	497.0	486.75	237.86	155.5	231.32
HCLS1	1769.57	129.69	483.38	0.0	0.95	1709.26	866.07	5292.48	316.37	226.54	2271.4
HDC	0.59	0.97	25.72	0.0	0.24	169.07	79.45	241.19	14.89	1104.13	66.65
HIATL2	47.84	78.34	279.14	0.0	0.37	65.26	218.79	281.09	171.45	189.02	146.03
HMCES	624.99	651.58	2351.53	0.0	0.88	1487.87	3419.52	2935.74	1617.0	759.08	775.05
HPCA	5.92	10.0	57.89	0.0	0.21	22.43	42.11	53.57	9.34	32.59	8.99
IFT122	249.73	60.82	819.3	0.0	0.77	343.89	559.28	733.19	253.23	384.34	384.34
IFT80	82.29	127.89	819.3	0.0	0.16	470.14	363.56	785.88	403.5	186.4	226.54
IQCB1	107.38	155.5	1519.15	0.0	0.87	463.65	1044.52	1167.14	463.65	144.01	190.34
KAT2B	73.54	49.21	101.54	0.0	0.38	105.89	99.43	201.25	50.98	148.09	221.86
KIAA0430	199.85	293.07	454.09	0.0	0.6	620.67	432.53	450.94	220.32	323.03	420.68
KIAA1407	25.17	13.32	172.65	0.0	0.29	67.59	85.22	147.06	39.5	83.45	81.71
KIAA1524	115.16	102.25	674.59	0.0	0.36	231.32	275.28	466.88	135.24	71.5	33.3
KIAA2018	50.27	57.08	248.0	0.0	0.45	186.4	258.57	258.57	103.69	180.02	167.9
LPHN2	293.07	275.28	669.92	0.0	0.72	309.83	356.05	1015.93	314.17	229.72	246.28
LRRC58	66.65	97.36	403.5	182.55	389.72	316.37	483.38	656.11	226.54	99.43	115.16
