	GTEX.13O61.1226.SM.5KM21	GTEX.1211K.1326.SM.5FQV2	GTEX.ZGAY.1526.SM.4WWEO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5722.11A.02R.1602.13	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.13U4I.2526.SM.5SI8Z	GTEX.S7SF.0626.SM.4AD4V
AC068987.1	2.39	2.66	2.39	0.0	0.21	13.22	35.25	28.65	40.36	7.4
AIM1	45.85	28.86	40.64	0.0	0.45	187.71	1437.15	1001.93	316.37	182.55
ANKS4B	5.5	0.0	0.0	0.0	0.0	119.26	633.73	414.87	19.25	138.1
B3GALT5	7.28	2.07	12.45	0.0	0.05	121.79	334.46	2209.26	287.01	146.03
BAIAP3	57.89	25.72	47.5	0.0	0.39	165.57	329.84	106.63	197.09	181.28
BARX2	16.39	10.79	1.71	0.0	0.14	176.29	1066.48	723.08	260.38	255.0
C11orf49	825.0	532.74	743.43	0.0	0.49	1044.52	1051.79	981.29	830.75	1001.93
C2orf91	0.0	0.42	0.85	0.0	0.0	2.16	24.99	21.78	21.94	2.76
CCDC68	64.8	117.6	52.08	0.0	0.47	314.17	1883.54	1498.22	224.97	426.57
CCL17	3.14	2.61	4.24	0.0	0.0	9.13	753.83	547.75	82.29	58.71
CELF3	24.28	6.26	3.17	0.0	0.21	130.6	273.37	115.97	253.23	159.9
CES3	33.3	8.99	14.89	0.0	0.03	387.02	3190.46	2537.92	2018.8	603.67
CNOT10	325.29	305.55	325.29	0.0	0.36	371.22	493.56	457.25	599.49	392.44
COL17A1	47.17	20.56	3.96	0.0	0.6	441.64	1991.0	3124.78	84.04	567.1
COLCA2	208.38	29.7	87.03	0.0	0.53	239.52	802.41	674.59	363.56	265.87
DDC	9.06	0.0	0.0	0.0	0.0	199.85	2193.99	1923.14	165.57	679.29
DQX1	17.9	4.66	1.48	0.0	0.59	126.12	414.87	275.28	264.03	147.06
EFNB2	193.01	190.34	101.54	0.0	0.48	988.12	1322.37	1167.14	341.51	1143.1
EMB	128.79	43.02	316.37	0.0	0.66	195.72	665.29	780.44	842.36	217.27
ENTPD3	42.11	16.15	26.67	0.0	0.0	339.14	1594.73	1135.2	109.66	780.44
FAM115C	21.94	12.18	17.38	0.0	0.27	30.12	150.17	96.01	44.89	76.71
FAM135A	211.31	171.45	155.5	0.0	0.56	212.78	1378.57	1519.15	1437.15	371.22
FAM171A1	154.42	151.22	155.5	0.0	0.53	447.82	1066.48	674.59	463.65	463.65
FAM213B	204.07	178.77	232.94	0.0	0.57	1151.06	1923.14	1277.29	1359.57	743.43
FBXO34	217.27	212.78	199.85	0.0	0.49	379.04	1096.5	830.75	718.08	397.93
FP15737	96.68	65.26	84.63	0.0	0.84	127.0	775.05	409.15	414.87	84.04
GAST	0.0	0.0	0.0	0.0	0.0	61999.83	1.598261246E7	2.4225111E7	0.0	8805660.77
GBP7	0.41	0.0	0.0	0.0	0.0	0.74	1.19	3.08	2.29	0.0
GSTP1	13586.57	12943.04	11664.82	0.0	1.28	29943.43	73730.83	51775.15	21919.61	30999.42
HIST1H3E	10.63	8.45	23.93	0.0	0.03	34.51	110.43	61.68	68.55	40.36
IKZF2	34.51	38.67	17.77	0.0	0.24	67.12	395.18	151.22	123.5	163.28
KAZN	120.94	151.22	88.88	0.0	0.67	177.53	277.2	228.13	264.03	49.21
KRTAP5-5	0.0	0.0	0.0	0.0	0.0	4.17	11.38	7.69	10.88	3.86
LRRC16B	12.0	2.78	5.28	0.0	0.4	16.03	43.94	35.0	65.26	15.34
MOGAT2	4.31	1.58	1.45	0.0	0.05	85.82	447.82	379.04	1991.0	193.01
MUC7	2.29	0.0	0.0	0.0	0.0	0.0	5.77	3.59	3.17	0.0
NMT2	236.21	283.05	327.56	165.57	136.19	209.84	693.58	376.41	356.05	511.0
NMU	0.0	11.47	3.06	0.0	0.13	68.07	1498.22	1628.26	101.54	669.92
NUDT15	165.57	88.26	132.44	0.0	0.3	183.82	432.53	409.15	256.78	220.32
PANK3	162.14	141.02	177.53	0.0	0.62	194.36	909.17	432.53	246.28	389.72
PBDC1	651.58	525.39	660.68	0.0	0.34	525.39	1216.75	1225.22	1008.9	890.44
PLD1	189.02	147.06	134.3	0.0	0.69	185.11	507.46	500.46	454.09	217.27
PLEKHS1	2.36	0.66	1.75	0.0	0.0	163.28	2468.49	2351.53	974.5	890.44
PROM1	80.01	96.68	23.59	0.0	0.04	698.41	5594.3	2573.36	3467.27	450.94
RAVER2	269.6	214.27	180.02	0.0	0.24	258.57	902.89	503.95	493.56	591.22
RNF183	24.81	8.13	11.82	0.0	0.43	100.83	438.59	486.75	353.59	64.8
RP11-683L23.1	5.36	0.0	3.92	0.0	0.0	0.0	34.02	32.59	24.28	20.41
RSPH1	28.04	23.76	54.33	0.0	0.0	93.35	157.68	191.67	177.53	85.22
SLC22A5	217.27	147.06	163.28	0.0	0.4	329.84	503.95	299.25	329.84	206.94
SLC7A4	4.03	4.39	4.78	0.0	0.0	84.04	848.22	1135.2	718.08	392.44
SPAG16	314.17	412.0	351.14	0.0	0.26	555.41	2956.17	1781.89	1191.69	1183.45
STARD5	142.01	71.5	98.73	0.0	0.8	149.12	988.12	921.88	473.41	351.14
TMPRSS11A	0.62	1.79	0.62	0.0	0.0	0.0	1.87	1.73	2.27	1.91
TRPV4	8.71	5.28	6.06	0.0	0.14	14.89	156.59	101.54	139.07	25.17
TTLL6	11.38	4.9	8.32	0.0	0.09	25.17	96.68	63.45	29.48	26.67
UGT1A10	66.65	0.0	0.0	0.0	0.0	195.72	1674.06	1233.75	265.87	147.06
UGT2B7	0.0	0.0	0.0	0.0	0.0	4.82	1044.52	612.11	69.03	63.89
VTCN1	25.91	0.95	0.89	0.0	0.0	38.4	320.8	215.77	264.03	104.42
VWA5A	457.25	297.17	361.04	0.0	0.59	698.41	1540.37	1857.6	1359.57	500.46
ZFYVE19	373.81	190.34	343.89	0.0	0.35	633.73	769.69	543.96	651.58	432.53
ZNF326	269.6	244.57	231.32	0.0	0.72	221.86	447.82	351.14	480.04	265.87
