	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.11EMC.2026.SM.5A5JV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
ABCE1	514.56	559.28	583.07	743.43	429.54	603.67	2485.67	518.15	651.58	368.65	878.17	872.1	830.75	1008.9	961.07	1104.13	830.75	1388.16	698.41	0.0	0.27	1685.71
ABI3BP	193.01	49.21	343.89	387.02	44.25	351.14	241.19	299.25	211.31	120.94	1066.48	466.88	651.58	941.27	693.58	532.74	848.22	1769.57	84.63	0.0	0.61	1936.53
AC006116.20	10.08	1.64	1.73	10.08	5.63	10.96	10.55	3.53	22.75	3.5	29.7	84.04	58.3	41.52	50.98	70.01	62.56	164.42	29.48	0.0	0.37	713.11
AFAP1L2	180.02	101.54	149.12	301.33	92.05	105.89	152.28	242.88	177.53	89.51	529.06	698.41	669.92	575.03	674.59	543.96	693.58	669.92	599.49	0.0	0.47	1572.76
AFG3L2	476.71	612.11	373.81	796.86	860.08	733.19	620.67	583.07	713.11	688.78	947.83	836.53	842.36	854.13	872.1	890.44	743.43	743.43	728.11	447.82	126.12	1519.15
AK3	447.82	356.05	587.13	884.29	780.44	665.29	460.44	507.46	791.35	624.99	802.41	1159.07	1044.52	1111.82	1127.35	866.07	1208.34	1242.34	830.75	0.0	0.56	2319.15
AMOTL1	133.36	100.83	98.04	267.73	75.64	81.71	221.86	176.29	154.42	43.63	518.15	796.86	1104.13	718.08	620.67	813.63	684.02	1277.29	215.77	0.0	0.54	2004.85
ANKRD20A1	3.41	0.0	0.38	5.96	0.0	0.99	0.0	0.75	1.55	9.78	7.75	23.93	11.73	6.89	11.55	8.99	1.95	19.68	9.41	0.0	0.25	17.9
ATOH8	67.12	19.53	56.28	70.51	7.17	55.89	15.91	69.03	127.0	7.51	343.89	403.5	234.57	323.03	169.07	281.09	177.53	147.06	223.41	0.0	0.44	525.39
ATP10D	106.63	100.83	136.19	122.64	96.68	113.56	170.25	118.43	120.94	42.71	256.78	309.83	283.05	241.19	253.23	237.86	237.86	563.18	277.2	0.0	0.62	579.04
BRMS1L	54.33	102.25	75.11	130.6	129.69	98.73	134.3	107.38	131.51	72.52	149.12	176.29	189.02	218.79	163.28	180.02	169.07	242.88	150.17	0.0	0.53	312.0
C12orf29	409.15	309.83	221.86	403.5	262.2	234.57	420.68	265.87	232.94	212.78	432.53	381.68	486.75	447.82	414.87	400.71	457.25	679.29	309.83	0.0	0.51	591.22
C12orf54	3.26	3.82	4.03	10.0	8.19	6.11	1.58	2.1	5.11	0.0	11.73	8.0	20.86	17.51	18.16	5.28	16.27	14.35	19.53	0.0	0.0	110.43
CACHD1	47.5	34.51	55.1	170.25	31.0	56.28	30.56	56.28	65.26	10.79	409.15	460.44	438.59	426.57	616.37	420.68	336.79	1313.23	332.14	0.0	0.37	607.87
CADM2	18.97	0.33	2.32	14.14	12.18	1.53	0.4	6.16	6.46	4.66	74.06	28.04	26.47	32.82	43.32	18.16	46.18	26.1	31.9	0.0	0.14	107.38
CAMSAP2	154.42	368.65	155.5	273.37	241.19	191.67	616.37	232.94	279.14	139.07	353.59	371.22	412.0	379.04	400.71	379.04	361.04	400.71	271.48	0.0	0.35	764.36
CAPRIN2	105.89	71.5	103.69	154.42	80.01	120.94	149.12	155.5	92.7	120.94	215.77	236.21	271.48	205.5	206.94	242.88	199.85	368.65	341.51	0.0	0.84	366.09
CCKBR	1.08	0.0	0.0	0.35	0.0	0.32	0.0	0.0	0.0	0.0	11.13	3.53	0.74	1.38	6.06	3.72	5.36	0.91	0.93	0.0	0.08	7.46
CCT2	2367.9	2796.65	2451.44	2303.12	2417.67	2303.12	2701.35	2104.58	2271.4	1883.54	2468.49	2209.26	2682.69	2956.17	2796.65	2855.44	2384.37	2720.15	2047.0	0.0	0.92	5594.3
