	GTEX.13O3O.0826.SM.5K7WE	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AM.5821.01A.01R.1653.07	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.13FLV.1126.SM.5J2NO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCB6	291.04	343.89	267.73	902.89	1304.15	1199.98	796.86	224.97	0.0	0.92
ACRBP	11.47	83.45	28.24	84.63	105.89	92.05	48.52	16.39	0.0	0.12
ACRC	5.36	9.06	18.7	67.12	73.54	54.72	52.82	18.7	0.0	0.74
ALS2CL	39.22	8022.41	162.14	6840.04	7966.99	6121.9	4736.79	3372.43	0.0	1.03
AMACR	169.07	271.48	128.79	688.78	406.31	353.59	246.28	108.9	0.0	0.0
ANKRD20A1	8.85	5.5	0.0	57.49	46.18	33.78	21.78	18.84	0.0	0.25
AP000974.1	0.55	0.52	0.0	5.19	9.2	8.32	5.73	3.23	0.0	0.29
ARL16	884.29	961.07	836.53	808.0	1073.91	1008.9	669.92	521.76	0.0	0.71
ARRDC1	540.19	3564.78	2537.92	2591.27	3716.2	3742.05	3190.46	2090.03	1051.79	162.14
ASCC2	1685.71	3103.19	656.11	1896.65	2537.92	2537.92	1936.53	1651.0	1350.18	947.83
ASCL1	0.0	2.41	0.23	1.57	0.8	2.97	0.75	0.0	0.0	0.0
ATP6V1D	1304.15	6381.92	1104.13	1721.16	2351.53	1447.15	1313.23	1216.75	0.0	0.18
BNIPL	150.17	44452.21	3.5	2816.11	3212.66	2835.7	2271.4	1498.22	0.0	0.19
C10orf12	55.89	37.59	27.05	75.11	66.18	74.06	53.19	50.63	0.0	0.18
C15orf52	172.65	409.15	1081.39	1023.0	941.27	1322.37	660.68	371.22	163.28	303.44
C19orf68	6.31	55.1	38.12	81.71	63.45	112.77	49.21	52.08	0.0	0.3
C8orf47	5.77	57.08	0.0	43.32	32.36	46.18	11.82	12.45	0.0	0.0
CAMSAP3	111.21	2997.45	34.51	2287.2	1733.13	1594.73	1183.45	775.05	0.0	0.03
