	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.14E6E.1726.SM.5S2R6	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YFC4.2826.SM.5P9FR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.WI4N.2426.SM.4OOSC
AC002472.13	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	4.43	4.62	4.62
AC007952.5	17.38	7.82	4.54	2.25	21.01	4.17	0.0	0.39	49.56	49.91	59.13
AC114546.1	195.72	183.82	136.19	132.44	107.38	214.27	0.0	0.56	1551.09	466.88	842.36
AC174470.1	9.2	45.21	22.26	13.03	58.3	40.36	0.0	0.55	171.45	74.58	94.67
ADAMTS10	195.72	307.69	132.44	87.65	571.05	460.44	0.0	0.96	1313.23	1487.87	1111.82
ADD2	31.45	38.67	14.24	22.92	38.4	31.0	0.0	0.25	220.32	135.24	140.04
AL354993.1	83.45	100.83	22.43	25.35	55.1	31.22	0.0	0.14	511.0	297.17	679.29
ANKUB1	0.0	0.0	1.03	0.0	1.45	0.23	0.0	0.0	11.47	10.31	12.0
APBB1	1605.83	3060.45	842.36	802.41	1529.73	3081.75	0.0	0.72	3168.41	2119.22	3982.99
ARAP1	1037.29	1066.48	441.64	785.88	1104.13	1037.29	0.0	0.77	3467.27	2224.63	2209.26
C16orf93	80.57	76.71	50.27	33.54	77.25	36.53	0.0	0.22	159.9	170.25	154.42
C17orf70	293.07	389.72	318.57	258.57	438.59	379.04	0.0	0.67	743.43	473.41	511.0
C8orf4	2004.85	2018.8	1175.27	1417.35	713.11	780.44	0.0	0.55	9876.98	5441.3	17558.94
CCDC102A	493.56	941.27	195.72	218.79	466.88	684.02	0.0	0.19	1096.5	785.88	540.19
CD200	155.5	204.07	536.45	137.14	309.83	320.8	0.0	0.0	4671.57	2335.28	7749.1
CDK5RAP2	511.0	753.83	414.87	470.14	563.18	616.37	0.0	0.97	866.07	669.92	660.68
CEP135	48.52	62.56	94.01	51.71	115.16	49.21	0.0	0.51	231.32	158.79	215.77
CERS5	825.0	1023.0	483.38	518.15	1104.13	764.36	0.0	0.84	1662.49	1104.13	1044.52
COG7	403.5	368.65	287.01	320.8	414.87	291.04	348.71	2224.63	836.53	551.56	642.59
COL18A1	1427.22	2720.15	915.51	860.08	5147.73	2047.0	0.0	1.07	4769.75	5872.48	7485.11
CSRP1	311742.51	1645391.11	34635.37	44452.21	428815.23	938500.81	2047.0	291.04	38430.46	53973.86	45701.96
CYP2C8	13.12	4.28	1.66	1.97	0.74	0.52	0.0	0.37	23.59	14.14	27.84
DLL1	115.16	61.25	38.4	90.14	264.03	166.73	0.0	0.77	551.56	693.58	412.0
DNAH1	48.52	49.56	30.56	18.03	73.03	62.56	0.0	0.69	325.29	277.2	197.09
DROSHA	713.11	791.35	529.06	703.28	836.53	791.35	0.0	0.77	2047.0	1417.35	1135.2
EFEMP2	2875.3	5872.48	1477.58	1175.27	3928.15	5672.41	0.0	0.85	15180.22	8658.09	19618.49
ELP2	1001.93	1159.07	490.14	819.3	928.3	974.5	0.0	0.8	2915.45	1781.89	2163.77
EMID1	121.79	58.3	54.72	20.26	17.9	9.2	0.0	0.57	1051.79	583.07	1044.52
FAM188B	109.66	167.9	85.22	82.87	307.69	743.43	0.0	0.27	764.36	265.87	269.6
FAM20A	98.04	118.43	84.63	36.01	95.34	37.59	0.0	0.64	2209.26	3168.41	4268.94
FANK1	52.08	39.22	28.45	54.33	24.11	14.67	0.0	0.0	363.56	368.65	197.09
FBXO46	269.6	303.44	150.17	251.48	265.87	170.25	0.0	0.57	603.67	486.75	376.41
GAS6	2133.97	2061.24	2104.58	1639.59	5403.7	8479.89	0.0	0.74	19618.49	7695.57	34876.28
GRAMD1B	20.26	20.56	0.83	11.04	6.11	9.85	15.45	48.87	90.77	128.79	135.24
GRIN3B	1.17	0.0	0.18	0.0	4.39	2.51	0.0	0.01	6.67	10.63	14.45
HMBOX1	248.0	334.46	140.04	147.06	353.59	351.14	0.0	0.56	1259.69	848.22	1030.12
HOXC6	27.25	43.63	1.17	9.2	98.04	26.1	0.0	0.23	327.56	224.97	176.29
HOXD4	65.26	109.66	11.21	20.56	25.35	14.24	0.0	0.0	264.03	248.0	198.47
HYDIN	14.89	74.58	20.26	20.26	99.43	49.56	0.0	0.04	318.57	256.78	195.72
ID4	154.42	175.07	224.97	93.35	563.18	1487.87	0.0	0.47	5995.9	934.76	1268.46
IDUA	242.88	218.79	135.24	97.36	260.38	181.28	0.0	1.0	1044.52	753.83	1277.29
IFT140	159.9	212.78	181.28	158.79	221.86	221.86	0.0	0.39	599.49	599.49	587.13
LIMS3L	24.11	31.9	19.39	13.32	36.27	17.0	0.0	0.0	896.64	587.13	435.55
LRP3	647.07	1088.92	490.14	579.04	842.36	1378.57	0.0	0.83	2271.4	1407.55	1259.69
LRRC23	260.38	285.03	134.3	242.88	163.28	255.0	0.0	0.0	896.64	441.64	1191.69
MAPK12	133.36	153.34	110.43	248.0	490.14	283.05	0.0	1.07	878.17	1208.34	1191.69
METTL16	403.5	624.99	314.17	316.37	470.14	607.87	199.85	327.56	941.27	473.41	493.56
MPRIP	2271.4	2997.45	2032.85	2209.26	3280.18	3847.29	830.75	6516.03	7642.41	4704.07	11189.6
NAB2	679.29	1745.2	381.68	353.59	1378.57	909.17	0.0	0.54	1697.45	1096.5	2090.03
NBAS	529.06	642.59	339.14	547.75	460.44	624.99	0.0	0.6	1540.37	1331.57	1662.49
NPDC1	2119.22	1909.85	567.1	1286.18	1757.34	2163.77	0.0	1.07	12160.22	8022.41	14561.8
NSG1	281.09	241.19	9.27	223.41	94.01	172.65	0.0	0.25	1498.22	1066.48	878.17
PAX8	21.47	30.56	11.21	21.47	93.35	5.41	0.0	0.21	329.84	395.18	297.17
PCDHGA7	24.99	58.3	32.59	38.12	41.81	68.55	0.0	0.27	134.3	70.51	97.36
PCED1A	406.31	329.84	165.57	169.07	490.14	204.07	0.0	1.0	1467.37	1030.12	1277.29
PHF1	1709.26	2163.77	1551.09	1135.2	1991.0	3257.52	0.0	0.44	3372.43	2645.74	3103.19
PINLYP	295.11	511.0	88.88	124.37	249.73	242.88	0.0	0.56	1733.13	591.22	1322.37
PLCB1	376.41	595.34	234.57	215.77	647.07	759.08	0.0	0.27	808.0	567.1	1073.91
PLEKHG2	387.02	1388.16	363.56	242.88	1143.1	1104.13	217.27	141.02	1594.73	842.36	1617.0
PLXDC1	323.03	507.46	100.13	126.12	1233.75	825.0	0.0	0.4	1551.09	1857.6	2664.15
PLXNB2	2163.77	2384.37	1457.23	1806.78	2224.63	2240.11	0.0	1.2	7032.37	4010.71	6381.92
PLXND1	1340.84	1437.15	409.15	403.5	2758.13	1081.39	0.0	1.17	6250.56	5672.41	7589.61
PPM1F	476.71	543.96	323.03	279.14	518.15	563.18	195.72	769.69	947.83	764.36	1127.35
PRPF40B	334.46	563.18	215.77	229.72	507.46	470.14	0.0	0.84	642.59	571.05	591.22
PRX	95.34	162.14	42.41	53.95	68.07	139.07	0.0	0.35	301.33	189.02	151.22
RAPGEF3	341.51	303.44	54.33	147.06	599.49	511.0	0.0	0.67	2758.13	2271.4	1651.0
RAPGEF4	60.39	58.3	18.7	27.44	67.12	42.41	0.0	0.31	567.1	358.54	412.0
RFNG	872.1	988.12	587.13	651.58	819.3	941.27	0.0	0.83	2163.77	1467.37	2148.82
SHC2	532.74	974.5	242.88	318.57	466.88	612.11	0.0	1.04	4123.49	2720.15	3280.18
SLC26A11	223.41	275.28	204.07	137.14	283.05	281.09	0.0	0.67	547.75	438.59	438.59
SLC38A10	1073.91	1001.93	802.41	961.07	1023.0	1037.29	954.43	1447.15	3491.39	3235.01	3257.52
SLC5A10	2.51	1.41	1.16	1.57	1.07	0.65	0.0	0.27	15.91	12.09	18.03
SMG9	514.56	579.04	295.11	325.29	514.56	403.5	0.0	0.31	1073.91	884.29	1322.37
SNCAIP	69.03	97.36	24.99	8.65	55.89	32.13	0.0	0.27	967.76	1268.46	860.08
SYMPK	651.58	753.83	490.14	684.02	909.17	796.86	0.0	0.99	2627.46	1628.26	2178.83
TBCD	1167.14	981.29	693.58	713.11	1651.0	785.88	0.0	0.88	3190.46	2303.12	3060.45
TBX19	40.36	66.18	27.25	32.36	78.89	37.59	0.0	0.29	316.37	244.57	334.46
TDRP	99.43	129.69	88.26	90.14	159.9	189.02	0.0	0.57	780.44	796.86	417.77
TMEM136	92.7	106.63	25.35	59.97	111.99	119.26	87.03	115.97	234.57	157.68	283.05
TPM2	303217.87	1063212.58	44145.15	42937.97	706337.4	2392353.91	0.0	1.2	47974.16	73221.53	59063.35
TPRA1	612.11	679.29	532.74	587.13	656.11	543.96	0.0	0.75	1378.57	1417.35	1870.53
TSC22D4	1143.1	1295.13	444.72	890.44	941.27	748.61	0.0	0.84	2875.3	1561.89	2400.97
TSPAN4	1529.73	1685.71	1066.48	1096.5	3564.78	2935.74	0.0	0.95	5995.9	7642.41	7280.4
TUBGCP2	1159.07	1322.37	796.86	896.64	974.5	1081.39	0.0	0.87	1991.0	1745.2	1662.49
UCN	15.34	22.75	3.26	11.82	43.32	30.12	0.0	0.56	132.44	64.8	82.29
VAX2	20.41	11.21	0.66	8.92	22.59	10.79	0.0	0.27	57.89	89.51	107.38
ZMYND10	17.0	23.59	4.66	6.94	18.84	5.63	0.0	0.0	132.44	77.79	138.1
ZNF160	318.57	473.41	175.07	297.17	435.55	476.71	0.0	0.68	723.08	1250.98	1498.22
ZNF37A	140.04	258.57	102.25	120.1	155.5	198.47	75.11	61.25	339.14	251.48	371.22
ZNF467	201.25	314.17	65.26	114.36	113.56	132.44	0.0	0.75	860.08	1073.91	1561.89
ZNF579	173.85	351.14	181.28	147.06	198.47	226.54	0.0	0.74	532.74	348.71	595.34
ZNF787	514.56	536.45	579.04	493.56	384.34	486.75	285.03	231.32	1304.15	1350.18	1322.37
ZPBP	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	4.03	3.99	2.76
ZSWIM8	1639.59	2502.97	1498.22	1519.15	2758.13	2816.11	674.59	842.36	5711.87	3847.29	4388.98
