	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.1399R.1226.SM.5P9GF	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.CE.A3MD.01A.11R.A20F.07	GTEX.S4Z8.0326.SM.3K2AU	GTEX.WEY5.0526.SM.3GIKZ
ABCC10	529.06	400.71	85.82	60.39	73.54	37.59	0.0	0.35	708.18	532.74	728.11	738.29	361.04	320.8
ABCG1	285.03	447.82	87.65	116.78	113.56	30.34	0.0	0.38	521.76	255.0	343.89	368.65	189.02	167.9
AC110619.2	2.2	14.89	0.14	0.49	0.83	1.19	0.0	0.08	14.67	10.79	27.44	5.77	2.68	10.88
AFAP1L1	74.58	66.18	85.22	57.08	60.39	12.27	0.0	0.37	368.65	198.47	221.86	309.83	189.02	105.15
ANKS6	368.65	780.44	24.99	1.01	37.59	70.51	0.0	0.37	748.61	607.87	540.19	769.69	466.88	343.89
ATP13A1	1199.98	1073.91	356.05	444.72	447.82	180.02	0.0	0.96	1561.89	1397.83	1427.22	1896.65	1175.27	674.59
AUP1	2915.45	2335.28	2287.2	2502.97	2224.63	1709.26	0.0	1.11	3564.78	3325.99	3614.55	3303.0	2351.53	2133.97
BMP1	507.46	305.55	151.22	171.45	329.84	197.09	0.0	0.6	1605.83	954.43	1277.29	1551.09	563.18	595.34
C21orf59	1457.23	1991.0	503.95	500.46	361.04	316.37	0.0	0.46	1340.84	1119.56	1259.69	1437.15	1001.93	884.29
C2CD2L	178.77	379.04	129.69	124.37	150.17	82.87	0.0	0.57	237.86	303.44	361.04	269.6	214.27	130.6
C6orf136	571.05	525.39	202.66	205.5	316.37	237.86	0.0	0.73	669.92	460.44	743.43	599.49	571.05	358.54
CCM2L	277.2	112.77	26.1	34.26	36.79	10.08	0.0	0.04	379.04	218.79	277.2	301.33	136.19	96.68
CDC37	4639.29	3874.05	1225.22	1508.65	1662.49	1498.22	0.0	0.61	5913.33	4903.87	5441.3	6079.61	3372.43	3280.18
CHMP1A	2701.35	1407.55	295.11	511.0	620.67	384.34	0.0	0.89	1745.2	1487.87	1685.71	1685.71	1540.37	1167.14
DDX56	1923.14	1685.71	961.07	1030.12	934.76	848.22	0.0	0.99	2255.7	1963.57	1977.24	2004.85	1216.75	1268.46
DENND6B	429.54	915.51	26.86	7.88	40.93	18.03	0.0	0.22	490.14	473.41	376.41	470.14	159.9	165.57
DVL1	1023.0	825.0	141.02	392.44	470.14	366.09	0.0	1.07	1277.29	848.22	1519.15	1313.23	563.18	351.14
EDA2R	96.68	82.29	2.48	4.74	12.55	4.1	0.0	0.19	267.73	170.25	152.28	211.31	71.5	41.22
EFHD2	1135.2	915.51	165.57	281.09	660.68	323.03	0.0	0.72	6337.83	2400.97	5633.22	7130.55	1427.22	854.13
EIF2B4	1143.1	1030.12	503.95	563.18	387.02	389.72	890.44	743.43	1369.04	1119.56	1183.45	1277.29	825.0	884.29
EPS8L1	12329.98	16611.71	21.47	7.06	7.57	4.31	0.0	0.93	3955.48	3018.3	2367.9	3349.13	808.0	624.99
EVI5L	191.67	172.65	60.82	75.11	75.11	41.81	0.0	0.58	291.04	242.88	303.44	237.86	206.94	163.28
EXOC3L1	165.57	65.26	49.56	48.87	82.29	17.64	0.0	0.16	447.82	239.52	258.57	255.0	108.9	63.89
EXOSC5	507.46	743.43	435.55	476.71	316.37	392.44	0.0	0.02	420.68	514.56	532.74	665.29	511.0	265.87
FBRS	1350.18	1487.87	206.94	277.2	264.03	187.71	1175.27	728.11	1857.6	1378.57	1745.2	1769.57	1051.79	769.69
FLT4	156.59	201.25	81.14	119.26	152.28	23.42	0.0	0.52	995.0	447.82	486.75	599.49	412.0	72.52
FRMD8	753.83	490.14	111.21	197.09	144.01	90.77	226.54	135.24	638.15	412.0	665.29	414.87	392.44	277.2
GAK	1832.01	1268.46	679.29	620.67	674.59	642.59	0.0	1.2	2178.83	1617.0	2434.5	1950.0	1191.69	728.11
GAS2L1	532.74	356.05	58.71	293.07	265.87	145.02	0.0	0.47	620.67	295.11	376.41	387.02	293.07	258.57
GTF3C1	1594.73	1508.65	305.55	447.82	583.07	420.68	0.0	0.8	3212.66	2303.12	2956.17	2047.0	1605.83	1369.04
KIAA1549	37.05	68.07	5.45	13.62	10.16	5.96	0.0	0.27	45.21	31.9	23.42	32.59	13.52	17.0
LAMA5	5041.77	2520.38	72.01	244.57	206.94	307.69	0.0	1.66	7130.55	3467.27	5711.87	6079.61	1259.69	1388.16
LIMK1	620.67	514.56	57.49	57.49	123.5	12.55	0.0	0.51	974.5	896.64	902.89	819.3	454.09	397.93
LMF1	974.5	1111.82	293.07	265.87	497.0	435.55	0.0	0.58	890.44	540.19	624.99	848.22	493.56	323.03
LRRK2	175.07	118.43	96.01	50.63	129.69	54.72	0.0	0.11	2178.83	693.58	1685.71	3280.18	389.72	265.87
MAN1B1	1909.85	1529.73	403.5	454.09	791.35	591.22	0.0	0.49	1529.73	1427.22	1313.23	1457.23	1008.9	607.87
MARCH9	708.18	616.37	28.04	14.45	82.87	74.06	0.0	0.72	796.86	575.03	718.08	669.92	551.56	368.65
MCF2L	796.86	223.41	59.13	77.25	108.9	35.25	0.0	0.97	1295.13	612.11	708.18	848.22	271.48	397.93
MORC2	616.37	460.44	267.73	190.34	226.54	229.72	0.0	0.82	579.04	543.96	466.88	723.08	376.41	325.29
