	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A6.3809.01A.01R.A278.07	GTEX.11DYG.1326.SM.5N9DO	GTEX.RNOR.1226.SM.48FDQ	GTEX.XQ3S.1126.SM.4BOPK	GTEX.RN64.1026.SM.48FDX	GTEX.T2IS.0826.SM.4DM6L	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.38.4625.01A.01R.1206.07.1
ABHD17C	3018.3	115.16	921.88	1111.82	1572.76	1781.89	1233.75	1583.71	0.74
AIM1L	16157.44	11.38	1437.15	2148.82	4769.75	4123.49	2758.13	2758.13	0.3
ALOX12	13399.51	3.47	185.11	525.39	4328.55	2434.5	1088.92	1617.0	0.66
AP2S1	8479.89	2609.3	2682.69	3716.2	5441.3	5006.93	3690.52	3874.05	0.47
ARF1	10084.54	4736.79	5441.3	7032.37	10084.54	9945.68	7537.18	8191.0	1350.18
ATP6V0C	16611.71	1135.2	6516.03	7911.95	10883.59	9540.5	7537.18	9540.5	0.87
B3GNT8	23169.48	4.9	191.67	633.73	1397.83	1378.57	764.36	1369.04	0.12
BCL2L1	4575.41	780.44	1037.29	1175.27	2004.85	2209.26	1883.54	2451.44	0.61
CES2	7695.57	258.57	1936.53	2976.74	4543.8	4095.0	3280.18	3443.31	209.84
CTNND1	20593.91	1407.55	3982.99	4937.99	6121.9	6471.02	5403.7	6426.31	536.45
DCAF12	1909.85	400.71	403.5	679.29	753.83	954.43	753.83	1051.79	0.69
DEGS2	20881.4	19.39	423.61	1015.93	1388.16	2271.4	1127.35	1216.75	0.0
DMKN	137587.47	1388.16	3742.05	5112.16	10808.41	9808.75	5872.48	9673.69	802.41
DOCK9	6164.49	1216.75	1322.37	1551.09	2209.26	2758.13	2075.59	2240.11	0.55
DYNAP	1674.06	0.0	45.21	138.1	775.05	836.53	102.25	236.21	0.04
EFNA3	6516.03	67.59	463.65	785.88	1015.93	884.29	616.37	759.08	0.52
EIF4H	9808.75	3955.48	2855.44	4704.07	5791.62	6792.79	5366.37	5594.3	211.31
EPHB3	7433.4	122.64	703.28	642.59	1467.37	1340.84	1369.04	1059.11	0.59
EPN1	5441.3	128.79	1745.2	2351.53	3540.14	4181.07	3103.19	2739.08	802.41
F8A1	775.05	81.71	361.04	392.44	753.83	836.53	555.41	743.43	0.18
FUT6	212926.09	19.97	587.13	493.56	1709.26	2255.7	1896.65	1572.76	0.19
GABARAP	17317.18	5711.87	8598.28	9876.98	12853.63	12329.98	10808.41	11664.82	693.58
GIPC1	16960.78	460.44	4066.71	6207.38	10084.54	11112.3	8421.31	8598.28	1322.37
GJB2	3178687.03	88.26	3540.14	7803.01	23986.58	17078.76	7857.29	5995.9	163.28
GLTP	55877.28	435.55	2224.63	3794.3	6983.79	8305.36	5517.27	7911.95	2758.13
GNB2	16383.0	941.27	5255.91	7749.1	8840.04	9540.5	7803.01	7966.99	1.28
GRHL1	20170.07	153.34	1135.2	1437.15	2627.46	3018.3	2335.28	2451.44	0.35
GRHL3	80683.28	24.28	974.5	1388.16	2835.7	2664.15	2609.3	2004.85	0.38
GTF2IRD1	1277.29	277.2	607.87	921.88	1208.34	1119.56	1059.11	1199.98	0.21
HMOX2	3589.58	1242.34	1135.2	1721.16	3395.89	3060.45	2451.44	3081.75	0.73
IL1RN	598087.73	507.46	5791.62	22535.88	61571.56	57847.82	34876.28	53601.03	0.07
IL20RB	746611.43	57.08	1331.57	2178.83	2895.31	2895.31	2018.8	2739.08	0.87
KLK12	2343119.96	48.87	688.78	3124.78	8247.98	7180.15	4481.23	2976.74	0.09
KRT16	2.5045913555E8	8.38	12764.83	2520.38	45701.96	9474.59	2193.99	5183.54	0.69
KRT6B	9.677103146E8	18.29	2178.83	4210.15	13776.25	31215.04	4038.61	5255.91	0.52
LANCL3	242.88	8.58	25.35	30.34	47.17	49.56	22.59	37.59	0.06
MALL	231394.29	72.01	1378.57	4123.49	8305.36	12853.63	6792.79	10883.59	669.92
MBOAT2	30999.42	819.3	1268.46	1073.91	3018.3	2796.65	1519.15	1519.15	289.02
MRPS10	1477.58	921.88	633.73	753.83	995.0	1143.1	928.3	1208.34	363.56
MT-ND6	54349.29	1059.11	27745.15	30361.44	40341.14	39237.98	30999.42	52497.92	1030.12
PHLDA3	5913.33	60.82	2255.7	2303.12	4268.94	2835.7	1991.0	2468.49	0.72
POR	7642.41	536.45	1963.57	1819.35	3768.09	2796.65	2520.38	2209.26	0.85
PPARD	3491.39	90.14	567.1	884.29	2209.26	1857.6	1268.46	1199.98	0.33
PPP2R1A	7857.29	1883.54	4066.71	5913.33	7642.41	8305.36	6840.04	6164.49	1.04
PROSER2	836.53	14.67	258.57	379.04	785.88	669.92	400.71	341.51	0.56
PRSS3	25530.66	271.48	423.61	1175.27	5995.9	4802.93	2591.27	5672.41	0.48
PVRL4	43840.21	55.49	1295.13	1508.65	2573.36	2573.36	1977.24	2133.97	444.72
RAB11FIP1	17437.64	830.75	543.96	842.36	3928.15	2502.97	1757.34	2367.9	59.55
RBM47	4210.15	414.87	902.89	1175.27	1674.06	1594.73	1388.16	1519.15	967.76
