	TCGA.CR.7374.01A.11R.2016.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.144GM.0126.SM.5Q5AX	TCGA.33.4589.01A.01R.1443.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.52.7809.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07
ACTR6	753.83	441.64	361.04	0.0	0.31	314.17	559.28	403.5	825.0	1331.57
ADRA2B	133.36	1.53	2.23	0.0	0.41	4.03	1.2	71.0	111.21	151.22
ANKRD49	441.64	217.27	387.02	0.0	0.51	166.73	215.77	267.73	642.59	525.39
APBB1	473.41	73.03	149.12	0.0	0.72	217.27	30.12	224.97	480.04	318.57
ARFGEF1	1096.5	603.67	514.56	0.0	0.79	529.06	412.0	759.08	507.46	1066.48
BPTF	1359.57	356.05	647.07	0.0	0.73	285.03	78.89	733.19	995.0	1183.45
BRD2	4639.29	1896.65	2915.45	2417.67	1508.65	3235.01	486.75	3928.15	3982.99	6561.36
BSDC1	921.88	802.41	1151.06	0.0	0.72	748.61	341.51	1304.15	1397.83	2047.0
BZRAP1	218.79	24.81	42.11	0.0	0.82	165.57	3.29	283.05	346.29	612.11
C11orf54	470.14	122.64	149.12	0.0	0.27	368.65	132.44	314.17	536.45	718.08
C1orf101	10.71	0.96	3.03	0.0	0.15	1.39	7.94	10.88	12.93	20.11
C1orf115	567.1	33.3	44.57	0.0	0.44	189.02	8.92	211.31	242.88	379.04
C6orf223	246.28	0.82	2.07	0.0	0.0	172.65	0.0	50.63	70.51	289.02
C8orf86	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	1.28
CADM1	703.28	104.42	57.49	142.01	212.78	638.15	97.36	271.48	796.86	974.5
CBX8	253.23	65.72	197.09	0.0	0.04	73.54	94.67	138.1	348.71	460.44
CCDC74A	229.72	32.59	21.63	0.0	0.0	31.9	12.55	84.63	733.19	249.73
CCDC74B	105.89	5.73	16.88	0.0	0.0	11.73	2.71	42.11	148.09	77.79
CCDC82	426.57	231.32	256.78	0.0	0.68	361.04	114.36	379.04	591.22	915.51
CEP57	902.89	358.54	463.65	0.0	0.32	318.57	224.97	368.65	616.37	981.29
CHST10	260.38	16.27	32.82	0.0	0.26	208.38	3.03	96.01	503.95	620.67
CNKSR3	406.31	172.65	156.59	0.0	0.19	173.85	21.78	503.95	262.2	802.41
CTD-2260A17.2	41.22	6.46	14.03	0.0	0.1	10.79	3.03	15.34	20.71	28.65
DCT	5.28	0.0	0.0	0.0	0.12	0.11	0.0	1.27	1.83	5.02
DLX5	579.04	85.82	211.31	0.0	0.39	0.02	52.82	432.53	511.0	3467.27
DLX6	128.79	3.41	13.32	0.0	0.0	0.0	7.34	56.68	236.21	759.08
DPY19L2	87.03	11.91	6.73	0.0	0.59	1.79	4.54	44.57	221.86	66.18
DUSP19	80.01	9.34	7.4	0.0	0.0	10.24	10.88	6.52	38.95	59.97
EIF2B1	902.89	1167.14	819.3	0.0	0.36	647.07	529.06	819.3	1313.23	1322.37
