	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZTPG.1426.SM.51MT3	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVJ.0726.SM.5KM1W	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.1192X.1126.SM.5EGGU
AC003102.1	0.73	1.27	3.53	0.66	1.5	8.51	0.0	0.0	21.78	11.04	26.47	40.93	48.52	18.43	11.47	27.44	24.46	9.56
AC016757.3	12.18	12.27	7.69	4.66	3.26	14.24	0.0	0.27	21.94	15.22	66.65	52.45	70.01	10.31	28.45	43.94	131.51	14.89
ACVRL1	65.26	70.01	164.42	66.65	40.93	170.25	0.0	0.65	3820.7	1870.53	6426.31	3901.01	8840.04	1745.2	2701.35	3515.68	4038.61	525.39
ADCY4	63.0	47.84	135.24	46.84	12.36	141.02	0.0	0.82	543.96	229.72	713.11	1551.09	1199.98	624.99	275.28	878.17	1151.06	450.94
AHSP	7.4	14.24	38.12	5.23	5.32	31.9	0.0	0.1	126.12	83.45	202.66	215.77	221.86	58.3	70.51	177.53	231.32	101.54
CHRM1	0.0	0.49	0.52	0.52	0.0	1.13	0.0	0.0	19.11	0.0	22.26	85.22	141.02	41.52	18.56	59.55	107.38	4.78
DOCK6	234.57	307.69	409.15	285.03	314.17	642.59	0.0	0.16	842.36	1286.18	2061.24	1950.0	1806.78	1498.22	1151.06	1508.65	2287.2	825.0
E2F2	1.39	1.22	5.28	0.71	0.75	3.69	0.0	0.2	22.59	6.36	25.72	30.56	36.01	6.89	8.25	37.59	35.5	11.04
ECSCR	122.64	171.45	547.75	187.71	94.67	780.44	0.0	0.54	7081.29	1378.57	17804.06	4802.93	23169.48	4575.41	4836.35	7695.57	9279.58	1331.57
EPB42	13.32	7.88	11.13	8.19	10.79	16.88	0.0	0.06	142.01	58.71	218.79	358.54	476.71	79.45	52.45	220.32	104.42	22.26
