	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.Q2AG.0326.SM.48U1O	GTEX.13FTY.2226.SM.5J1ND	TCGA.38.4625.01A.01R.1206.07
ACAD8	232.94	361.04	209.84	503.95	258.57	239.52	356.05	656.11	1127.35	890.44	1350.18	0.0
ADAM11	4.58	3.08	2.53	9.56	3.23	3.17	13.72	15.8	16.88	17.9	27.84	0.0
AHR	107.38	420.68	42.41	587.13	224.97	92.7	329.84	1397.83	1183.45	1111.82	1437.15	305.55
ALPK1	98.73	214.27	85.22	305.55	169.07	148.09	198.47	476.71	473.41	379.04	583.07	0.0
AMT	105.15	89.51	167.9	397.93	67.12	98.73	379.04	620.67	884.29	802.41	1397.83	0.0
ANKRD30A	0.0	1857.6	0.0	753.83	106.63	124.37	616.37	872.1	26800.01	2287.2	6745.86	0.0
ANKRD45	4.17	3.29	1.17	10.24	3.35	8.45	9.7	34.02	24.63	25.91	29.06	0.0
ANXA3	119.26	182.55	10.24	1096.5	71.0	3.89	703.28	1709.26	1781.89	836.53	4388.98	0.0
AQPEP	0.32	1.57	0.95	6.62	1.43	0.83	1.03	7.0	18.84	43.02	12.0	0.0
ARHGAP19	96.68	133.36	72.52	223.41	129.69	114.36	256.78	981.29	688.78	486.75	684.02	0.0
ARID1B	323.03	363.56	301.33	473.41	332.14	170.25	525.39	780.44	813.63	669.92	825.0	144.01
ARID5A	500.46	232.94	480.04	1378.57	698.41	620.67	878.17	1519.15	961.07	1769.57	2627.46	0.0
ARMCX4	29.91	141.02	61.25	182.55	75.11	60.82	251.48	457.25	1991.0	483.38	808.0	0.0
ASB12	0.0	0.0	0.0	3.59	0.0	0.0	2.12	5.32	2.78	4.43	7.22	0.0
ATRNL1	31.67	76.71	0.34	111.21	3.2	1.14	21.32	44.89	503.95	34.02	381.68	0.0
BOC	43.32	209.84	38.4	647.07	130.6	20.41	281.09	1417.35	1551.09	1322.37	1015.93	0.0
C8orf34	0.0	5.41	1.45	2.92	2.97	0.21	3.53	4.94	64.34	29.06	34.51	0.0
CACHD1	52.08	94.67	8.45	125.24	67.12	24.99	93.35	353.59	271.48	327.56	343.89	0.0
CAV1	620.67	934.76	480.04	1769.57	813.63	743.43	1191.69	3564.78	4038.61	9409.14	3212.66	1639.59
CAV2	206.94	346.29	291.04	587.13	397.93	251.48	660.68	1313.23	1437.15	2777.33	1498.22	1757.34
CCDC158	7.28	23.76	31.0	37.85	4.54	33.3	65.26	105.15	273.37	75.11	208.38	0.0
CCDC8	15.22	161.02	31.9	551.56	152.28	5.73	305.55	890.44	848.22	1059.11	1175.27	0.0
CCNL1	785.88	1096.5	921.88	1467.37	941.27	698.41	1322.37	2682.69	1991.0	2758.13	3325.99	909.17
CDC14A	88.26	262.2	53.95	89.51	88.88	58.3	178.77	674.59	848.22	1594.73	591.22	0.0
CLDN11	45.21	97.36	13.72	429.54	60.39	6.06	279.14	1697.45	3467.27	1295.13	1639.59	16.88
CLDN19	0.0	16.39	0.0	57.89	0.99	0.0	75.64	169.07	260.38	60.39	171.45	0.0
CMTM7	295.11	267.73	285.03	981.29	234.57	62.56	420.68	1417.35	1331.57	2178.83	2075.59	0.0
CMYA5	98.73	275.28	37.59	264.03	62.56	102.97	195.72	656.11	836.53	432.53	1119.56	0.0
CNN1	88.88	753.83	154.42	1051.79	872.1	158.79	1883.54	3491.39	5751.61	6471.02	5711.87	0.0
CNTNAP3	12.74	18.56	5.23	29.48	3.72	2.68	31.22	212.78	176.29	273.37	297.17	0.0
COL4A6	40.36	44.25	5.36	52.82	35.0	3.32	108.14	314.17	1427.22	366.09	947.83	0.0
CPB1	1155430.26	1715263.94	1116072.03	161.02	1535204.12	489177.0	565825.41	567.1	5366.37	320.8	2.291835145E7	0.0
CRYAB	198.47	791.35	228.13	2047.0	759.08	239.52	2451.44	8901.53	4419.52	9151.82	8598.28	0.0
CSPP1	80.57	177.53	65.26	172.65	75.64	75.11	180.02	454.09	470.14	215.77	567.1	176.29
CYP4F2	1.04	3.53	0.0	7.4	0.37	0.85	5.54	1.75	4.17	4.03	28.24	0.0
DLG2	6.52	32.36	14.78	46.18	23.08	13.42	15.68	107.38	78.34	106.63	120.1	0.0
DST	432.53	1437.15	1721.16	2351.53	2240.11	1037.29	3349.13	9344.14	5791.62	7130.55	11189.6	0.0
ESYT3	5.36	4.1	0.39	11.21	1.91	1.51	13.12	47.84	66.18	42.41	77.79	0.0
FAM221B	1.75	0.41	2.27	13.12	2.92	1.73	5.96	9.48	18.97	6.36	15.11	0.0
FBXW10	0.74	0.84	0.69	2.92	0.0	0.62	0.39	3.23	3.82	0.35	7.63	0.0
FCER1A	11.38	115.16	2.32	409.15	36.01	0.0	122.64	209.84	688.78	928.3	567.1	0.0
FMO1	8.92	37.85	12.83	198.47	68.55	6.78	17.77	551.56	785.88	684.02	293.07	0.0
FOXP1	529.06	698.41	150.17	543.96	466.88	291.04	808.0	1208.34	1427.22	1697.45	1794.29	167.9
GBP2	432.53	759.08	283.05	1304.15	703.28	214.27	2434.5	2555.58	2758.13	2255.7	7280.4	0.0
GOLGA8N	15.0	45.53	22.1	102.25	22.1	69.03	76.71	152.28	124.37	107.38	251.48	0.0
GRAMD2	5.68	29.7	0.36	190.34	42.71	4.98	129.69	351.14	400.71	170.25	454.09	170.25
HAP1	3.23	1.23	0.68	41.52	1.13	0.31	10.88	101.54	113.56	57.89	88.88	0.0
HECA	178.77	312.0	140.04	343.89	221.86	115.16	325.29	435.55	346.29	551.56	409.15	171.45
HOXB2	275.28	819.3	49.91	836.53	101.54	153.34	629.35	158.79	1159.07	2163.77	4239.45	0.0
HOXB4	33.54	40.07	8.99	166.73	20.41	6.52	82.87	23.76	150.17	312.0	928.3	0.0
ICAM5	0.0	3.89	0.79	21.32	1.64	0.71	13.32	49.21	111.21	31.45	35.76	0.0
IFITM5	0.0	0.0	1.08	3.08	0.0	0.0	1.17	1.17	5.96	5.82	8.92	0.0
IL34	4.94	68.07	75.64	351.14	74.58	45.21	157.68	392.44	775.05	713.11	878.17	0.0
IRX1	53.95	46.5	9.48	638.15	13.22	8.78	281.09	909.17	1225.22	866.07	1407.55	0.0
JMJD1C	503.95	583.07	232.94	842.36	518.15	417.77	698.41	1417.35	775.05	1388.16	1250.98	0.0
KCNC3	7.69	21.32	18.03	79.45	68.07	21.63	162.14	153.34	540.19	84.63	599.49	0.0
KCNE1	0.34	4.54	0.62	44.89	2.43	0.56	24.11	90.14	140.04	84.04	115.97	0.0
KLK5	10.63	115.16	0.0	395.18	14.67	0.0	353.59	743.43	1709.26	961.07	2255.7	0.0
KRT86	2.58	11.38	1.08	33.78	2.32	0.0	23.76	34.51	53.19	26.86	111.21	0.0
LRIG1	1277.29	1066.48	373.81	3124.78	1191.69	2178.83	3716.2	2855.44	2434.5	3540.14	7382.04	0.0
LRRC4C	13.72	24.46	2.32	40.07	22.75	0.91	27.84	46.84	83.45	63.45	147.06	0.0
LRRTM2	0.66	3.79	2.16	5.45	1.04	1.93	7.34	45.21	10.24	32.13	31.22	0.0
LYSMD4	22.26	50.63	37.05	129.69	29.91	78.34	52.45	167.9	158.79	100.83	236.21	0.0
MCL1	2609.3	2664.15	1832.01	3928.15	3018.3	1950.0	4869.99	7749.1	8479.89	7695.57	10368.08	2645.74
MET	17.9	94.67	11.64	159.9	75.11	7.28	205.5	532.74	180.02	607.87	830.75	0.0
MGARP	3.35	5.36	3.11	30.12	2.43	3.29	10.88	27.84	44.57	50.63	39.22	0.0
MIA	15.91	155.5	8.51	718.08	34.02	4.7	356.05	2240.11	18689.27	2573.36	1909.85	0.0
MTMR11	90.77	231.32	86.43	260.38	128.79	67.59	483.38	470.14	1044.52	348.71	551.56	387.02
NAALADL2	35.0	214.27	13.93	183.82	107.38	51.35	83.45	438.59	836.53	417.77	688.78	0.0
NBPF14	144.01	283.05	71.5	371.22	246.28	118.43	205.5	738.29	195.72	785.88	967.76	0.0
NCOA7	114.36	376.41	88.26	426.57	232.94	80.01	486.75	1583.71	2032.85	1233.75	4481.23	1498.22
NEK10	73.54	947.83	32.36	379.04	80.01	7.69	426.57	497.0	878.17	1191.69	2976.74	0.0
NFRKB	289.02	152.28	135.24	346.29	236.21	142.01	351.14	575.03	688.78	493.56	698.41	0.0
NKX2-5	0.0	0.83	0.0	2.51	0.0	0.0	2.81	16.03	13.72	18.7	21.01	0.0
NXPH2	0.0	0.36	0.0	3.35	0.0	0.0	9.34	2.32	0.0	5.87	31.67	0.0
OBP2B	1.48	6.46	12.09	128.79	0.0	0.0	5.73	384.34	420.68	567.1	117.6	0.0
OR10H1	0.0	0.77	0.0	0.0	0.0	0.0	2.05	12.27	8.65	6.01	4.78	0.0
PAK7	0.0	2.63	0.0	13.03	0.31	0.0	8.78	83.45	45.21	44.57	50.98	0.0
PDE1C	7.57	16.39	14.89	38.95	23.42	14.35	62.12	253.23	460.44	246.28	327.56	0.0
PGR	36.79	137.14	246.28	318.57	7.22	281.09	995.0	543.96	88905.42	591.22	3190.46	0.0
PPP1R12B	74.58	211.31	78.89	269.6	208.38	124.37	454.09	583.07	759.08	1015.93	954.43	0.0
