	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CV.6933.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.D7.A6EX.01A.11R.A31P.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.CG.4465.01A.01R.1157.13	TCGA.N5.A4RD.01A.11R.A28V.07
ABCB4	92.05	6.21	0.0	0.03	53.57	4038.61	22.75	6.52	36.79
ABCC8	35.76	0.82	0.0	0.67	66.65	2417.67	52.45	5.15	237.86
ABHD14A-ACY1	20.26	13.42	0.0	0.21	17.13	75.11	9.48	9.7	23.76
AC068987.1	75.64	3.23	0.0	0.21	36.27	142.01	4.86	1.99	49.56
ACTL6B	884.29	0.0	0.0	0.08	28.86	450.94	9.78	1.46	42.41
ADRA2C	529.06	13.03	0.0	0.48	441.64	1233.75	17.77	10.24	358.54
AL162407.1	241.19	106.63	0.0	0.55	249.73	995.0	95.34	169.07	262.2
AMER3	92.05	0.0	0.0	0.0	16.75	162.14	7.11	0.0	2.18
ASCL5	44.89	0.78	0.0	0.05	22.92	110.43	6.94	1.39	47.5
B3GALT1	34.02	4.35	0.0	0.11	5.82	53.95	5.77	0.0	14.89
B3GALT2	12.18	2.97	0.0	0.0	17.38	934.76	6.84	5.36	6.06
B3GAT1	226.54	13.93	0.0	0.41	361.04	2956.17	33.54	20.41	128.79
BAI3	190.34	46.5	0.0	0.25	21.32	647.07	4.54	2.84	4.98
BARHL1	0.0	0.0	0.0	0.0	3.63	21.78	2.97	0.0	0.0
BCAN	104.42	6.78	0.0	0.29	16.51	312.0	10.0	1.85	236.21
BFSP1	49.56	25.17	0.0	0.0	31.22	197.09	12.36	11.21	53.19
BRSK2	507.46	5.28	0.0	0.58	400.71	791.35	36.79	75.64	63.89
C1orf100	11.04	0.0	0.0	0.06	1.31	35.5	6.57	0.0	3.41
C1orf204	45.53	9.2	0.0	0.37	18.16	121.79	12.64	5.96	39.79
CAMK2N2	356.05	2.46	0.0	0.27	87.65	591.22	14.56	6.11	269.6
CDH12	40.93	1.97	0.0	0.0	11.13	71.5	7.34	0.0	301.33
CDK5R2	514.56	0.0	0.0	0.19	258.57	595.34	3.29	0.58	239.52
CECR6	98.73	9.34	0.0	0.09	21.63	80.57	8.38	5.59	35.0
CELF3	591.22	0.0	0.0	0.21	536.45	1151.06	14.24	2.2	128.79
CFHR3	8.58	0.0	0.0	0.1	38.12	351.14	8.58	3.96	0.66
CHGB	5292.48	31.22	0.0	0.33	1540.37	40621.74	13.12	4.1	346.29
CHRNB2	412.0	0.72	0.0	0.13	36.27	215.77	5.06	1.14	20.26
CLVS1	72.52	4.82	0.0	0.03	15.0	269.6	12.0	3.2	6.78
CPLX3	32315.87	10.96	0.0	0.0	11.04	54.72	1.16	0.0	20.86
CTXN2	9.93	0.0	0.0	0.01	1.5	1498.22	8.19	0.0	18.29
DACT2	36.79	82.87	0.0	0.0	177.53	764.36	17.38	2.78	60.82
DDIT3	941.27	679.29	0.0	0.53	1066.48	3742.05	1104.13	830.75	2384.37
DIRAS3	624.99	24.46	0.0	0.27	59.97	638.15	8.78	11.47	329.84
DLGAP3	104.42	3.35	0.0	0.27	59.97	61.25	8.85	1.27	153.34
DLX1	813.63	4.74	0.0	0.27	96.68	5555.65	17.13	1.95	22.59
DLX2	361.04	0.65	0.0	0.13	191.67	1963.57	3.92	0.34	10.55
DLX5	55.89	70.01	0.0	0.39	144.01	1883.54	12.18	3.32	420.68
DNAJC30	144.01	287.01	0.0	0.0	323.03	616.37	244.57	138.1	197.09
DRD4	62.56	1.03	0.0	0.34	89.51	366.09	29.06	2.43	59.97
DYNLT3	457.25	190.34	0.0	0.59	567.1	3146.52	713.11	536.45	808.0
EGR4	48.52	0.0	0.0	0.0	1.51	251.48	6.89	0.0	10.47
ENO3	688.78	35.25	0.0	1.36	215.77	915.51	206.94	90.77	3124.78
FAM155B	26.86	49.21	0.0	0.2	56.28	265.87	8.51	1.41	58.71
FAM159B	30.56	0.0	0.0	0.04	0.36	591.22	3.82	0.0	22.59
FBXL15	295.11	293.07	0.0	0.57	320.8	1540.37	269.6	169.07	220.32
FLJ30594	8.13	0.0	0.0	0.0	3.82	1745.2	17.77	1.66	24.63
FST	503.95	170.25	0.0	0.91	264.03	3955.48	39.79	17.9	301.33
FZD9	23.59	27.05	0.0	0.19	38.95	198.47	10.0	3.26	114.36
GABBR2	4.94	4.98	0.0	0.09	3.23	138.1	2.89	1.19	2.81
GALR3	0.0	0.75	0.0	0.04	0.67	29.7	3.5	0.0	3.66
GBX2	15.56	0.0	0.0	0.09	29.27	273.37	4.82	0.37	7.22
GDAP1L1	1794.29	0.84	0.0	0.14	94.01	381.68	8.0	0.0	237.86
GDF1	8.32	0.82	0.0	0.17	7.34	77.25	5.5	0.0	55.1
GDNF	20.86	4.24	0.0	0.23	26.28	2018.8	12.27	2.07	57.08
GGN	43.63	16.75	0.0	0.23	22.59	59.55	17.9	2.16	27.64
GHRH	112.77	7.17	0.0	0.0	1.6	30.34	0.0	0.0	13.22
GJC2	114.36	16.27	0.0	0.17	121.79	708.18	12.0	3.69	167.9
GNG4	1268.46	37.59	450.94	1119.56	518.15	3665.02	4.66	6.16	529.06
GPC5	27.05	1.46	0.0	0.0	13.72	82.87	2.14	0.43	17.0
GPR153	323.03	41.81	0.0	0.47	470.14	1583.71	27.84	30.56	368.65
GRID1	129.69	13.32	0.0	0.22	327.56	1044.52	5.82	9.13	12.55
HAPLN2	58.3	3.66	0.0	0.39	23.25	107.38	16.27	1.17	25.35
HMX2	11.38	0.0	0.0	0.0	49.56	309.83	1.97	0.0	26.47
HMX3	11.47	0.0	0.0	0.0	24.28	532.74	2.07	0.21	4.35
HRH3	988.12	0.0	0.0	0.0	7.11	122.64	3.29	0.0	32.82
KCNF1	23.25	0.0	0.0	0.12	29.7	1950.0	4.98	3.92	75.11
KCNH7	26.86	0.0	0.0	0.0	21.01	26.67	4.43	0.0	1.58
KCNJ11	63.0	24.99	0.0	0.03	193.01	2351.53	18.16	14.45	127.0
KCNN2	41.52	12.09	0.0	0.09	40.07	299.25	16.27	6.94	9.48
KIAA1324L	171.45	47.5	0.0	0.17	463.65	2032.85	13.32	159.9	211.31
KIF1A	2209.26	10.55	0.0	0.44	915.51	2451.44	22.92	1.58	1457.23
KIF5A	143.01	8.32	0.0	0.46	78.89	255.0	7.94	2.92	123.5
LHFPL5	30.56	0.74	0.0	0.13	11.55	42.71	3.56	1.14	3.99
LMO2	518.15	156.59	0.0	0.45	353.59	6121.9	115.97	102.25	473.41
LRRC63	29.06	9.13	0.0	0.0	5.15	48.52	3.53	0.78	3.26
LYPD1	248.0	30.12	0.0	0.34	96.68	607.87	35.25	21.94	1651.0
MARCH11	76.17	24.28	0.0	0.0	39.5	215.77	5.19	0.0	14.24
MARCH4	180.02	0.0	0.0	0.0	12.55	733.19	8.06	1.6	72.52
MAST1	392.44	23.59	0.0	0.39	141.02	358.54	22.92	6.89	182.55
MC5R	4.98	0.0	0.0	0.0	4.46	115.16	3.53	0.13	3.06
MEX3B	133.36	16.03	0.0	0.4	142.01	201.25	40.64	13.93	241.19
MLLT11	587.13	21.16	0.0	0.95	142.01	915.51	39.79	25.91	708.18
MOXD1	483.38	371.22	0.0	0.66	183.82	3614.55	135.24	63.45	348.71
MPPED1	44.25	10.39	0.0	0.0	61.68	90.14	22.59	3.53	40.93
NALCN	8.25	6.84	0.0	0.13	46.5	591.22	15.91	10.88	7.0
NHLH1	108.9	0.0	0.0	0.16	28.86	20.86	7.0	1.25	10.31
NTS	231.32	11.38	0.0	0.17	9.48	33224.42	12.55	1.5	50.98
NTSR1	1037.29	0.72	0.0	0.25	108.14	595.34	12.83	2.32	39.22
ODF3L2	3.69	0.0	0.0	0.05	2.27	71.0	10.88	0.0	4.43
OR2T8	3.82	0.0	0.0	0.0	2.32	16.15	0.0	0.0	0.0
PCLO	61.68	37.85	0.0	0.09	114.36	5255.91	70.01	19.25	50.63
PCNXL2	334.46	124.37	211.31	209.84	438.59	1844.76	244.57	100.83	273.37
PCSK1	176.29	3.79	0.0	0.38	84.04	518.15	3.89	5.96	13.42
PPP2R2B	171.45	16.39	0.0	0.26	47.84	363.56	12.64	11.3	53.19
PPP2R3B	318.57	42.11	0.0	0.6	395.18	403.5	131.51	43.94	281.09
PRAME	575.03	40.07	0.0	0.72	454.09	1781.89	271.48	29.91	3018.3
PTF1A	0.0	0.0	0.0	0.0	11.21	51.71	6.62	0.75	12.45
PTPRN	819.3	5.23	0.0	0.33	264.03	1051.79	35.25	33.54	111.99
RABGEF1	457.25	414.87	0.0	0.52	563.18	1540.37	281.09	231.32	454.09
RET	87.65	62.12	0.0	0.22	40.36	1617.0	11.82	7.57	114.36
RIMBP2	253.23	1.35	0.0	0.15	244.57	1023.0	35.5	1.07	45.85
RNF208	400.71	334.46	0.0	0.51	417.77	1350.18	211.31	147.06	748.61
RPRML	169.07	0.66	0.0	0.05	3.86	258.57	8.32	0.83	26.47
RTBDN	265.87	3.53	0.0	0.16	57.89	426.57	8.19	4.28	50.63
RTN2	1397.83	486.75	0.0	0.39	208.38	2047.0	392.44	117.6	896.64
SATB2	139.07	17.38	0.0	0.39	373.81	536.45	43.32	149.12	71.0
SCG3	995.0	0.73	0.0	0.02	94.67	1540.37	2.25	3.86	57.49
SCRT1	279.14	0.0	0.0	0.06	7.51	409.15	2.56	0.0	13.32
SEPT3	251.48	7.69	0.0	0.2	231.32	656.11	23.25	20.86	269.6
