	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.QMRM.1126.SM.447BN	GTEX.Q734.1026.SM.48U16	GTEX.13U4I.2526.SM.5SI8Z	GTEX.YJ8A.1526.SM.5P9FT	GTEX.ZZPU.1426.SM.5GZZ6	GTEX.WEY5.1226.SM.4LMIQ	GTEX.P78B.1826.SM.3P5YX
AAAS	0.0	0.48	802.41	1151.06	1447.15	429.54	1008.9	713.11	1225.22
ABCD4	381.68	262.2	718.08	1159.07	1183.45	591.22	728.11	325.29	1216.75
ADCK5	0.0	0.64	251.48	314.17	358.54	50.63	187.71	104.42	429.54
ANKAR	0.0	0.12	125.24	60.39	131.51	23.25	90.77	58.3	156.59
ARHGEF11	218.79	151.22	514.56	759.08	595.34	232.94	423.61	285.03	616.37
BBS9	0.0	0.09	94.67	144.01	155.5	49.21	115.16	74.06	223.41
BOLA1	0.0	0.33	483.38	647.07	595.34	218.79	728.11	229.72	493.56
C15orf27	0.0	0.19	40.07	52.45	39.22	8.06	21.63	15.8	53.95
C1orf220	0.0	0.21	2.46	17.9	19.82	1.22	9.85	1.16	38.4
C22orf29	0.0	0.34	228.13	348.71	303.44	135.24	220.32	183.82	220.32
C5orf63	0.0	0.13	127.89	293.07	387.02	17.13	133.36	40.64	470.14
CAD	0.0	0.37	473.41	902.89	688.78	206.94	486.75	289.02	651.58
CBX8	0.0	0.04	40.07	92.05	86.43	18.56	52.82	29.06	123.5
CCDC153	0.0	0.0	32.36	73.03	48.52	13.62	29.7	20.11	61.25
CDAN1	0.0	0.59	158.79	175.07	218.79	76.71	169.07	85.22	260.38
CDC16	0.0	0.72	1286.18	1073.91	1605.83	718.08	967.76	620.67	1407.55
CEP57L1	0.0	0.29	129.69	142.01	183.82	94.67	164.42	66.18	182.55
DAGLB	0.0	0.57	237.86	267.73	269.6	204.07	214.27	143.01	277.2
DENND6B	0.0	0.22	121.79	201.25	312.0	49.56	127.0	142.01	376.41
DHRS1	0.0	0.72	819.3	1127.35	2075.59	718.08	941.27	595.34	1498.22
DKFZP434H0512	0.0	0.0	4.1	6.84	8.38	0.39	4.43	0.0	7.63
DMAP1	547.75	100.83	802.41	941.27	1127.35	417.77	866.07	651.58	1167.14
EYA2	0.0	0.48	232.94	583.07	651.58	24.28	187.71	95.34	1594.73
FAM149B1	0.0	0.39	395.18	423.61	366.09	158.79	316.37	190.34	444.72
FBXL19	0.0	0.74	301.33	414.87	325.29	128.79	293.07	109.66	348.71
GEMIN4	0.0	0.21	361.04	500.46	480.04	262.2	480.04	251.48	591.22
HCN3	0.0	0.6	57.08	98.04	114.36	31.0	67.12	18.97	135.24
HTR1B	0.0	0.25	52.82	80.57	108.9	12.36	20.41	7.82	190.34
