	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G4.6298.01A.11R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.BG.A0MK.01A.51R.A19W.07	TCGA.EY.A2OO.01A.11R.A19W.07	TCGA.B5.A5OD.01A.11R.A31O.07	TCGA.B5.A0K9.01A.21R.A104.07	TCGA.PG.A916.01A.11R.A37O.07	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.EO.A22Y.01A.11R.A180.07	TCGA.N9.A4Q4.01A.11R.A28V.07	GTEX.13QBU.1626.SM.5LU4S
ANKRD45	154.42	825.0	0.53	0.0	0.0	0.11	22.59	327.56	63.0	65.72	6.52	249.73	279.14	19.82	269.6	23.59	20.11
ARMC3	49666.0	220434.95	0.0	0.0	0.0	1.87	163.28	1119.56	265.87	27.05	54.72	825.0	1407.55	5.59	738.29	16.88	74.58
C11orf16	5112.16	29531.18	0.0	0.0	0.0	1.13	56.28	426.57	70.51	3.66	19.97	255.0	620.67	0.3	221.86	0.0	0.0
C17orf72	7130.55	36610.26	16.03	0.0	0.25	13.52	150.17	2104.58	177.53	49.91	32.59	703.28	2148.82	21.32	329.84	19.82	23.42
C1orf158	16611.71	85283.74	0.0	0.0	0.0	0.31	114.36	507.46	77.79	7.17	1.69	381.68	1378.57	0.0	214.27	5.32	0.0
C1orf192	53601.03	506427.83	16.39	0.0	0.0	41.52	486.75	3467.27	1216.75	155.5	267.73	2682.69	6121.9	28.45	2303.12	6.52	29.06
C2orf50	1639.59	2335.28	0.97	0.0	0.0	0.0	89.51	336.79	16.03	10.31	6.67	169.07	507.46	1.66	100.13	5.54	36.79
C5orf49	19618.49	139508.13	0.52	0.0	0.0	6.26	255.0	2956.17	201.25	138.1	69.03	1208.34	4903.87	7.34	571.05	17.77	2720.15
C6ORF165	1870.53	5219.6	2.41	0.0	0.0	0.99	43.63	563.18	64.8	84.04	22.26	429.54	543.96	2.97	351.14	4.66	30.34
CAPSL	119776.72	677564.08	1.1	0.0	0.0	2.14	309.83	2400.97	264.03	80.57	36.27	1697.45	3564.78	2.81	967.76	2.03	0.0
CASC1	356.05	1617.0	0.0	0.0	0.0	2.56	65.26	426.57	138.1	24.28	13.32	351.14	426.57	5.92	182.55	6.94	87.03
CBY1	2224.63	2240.11	417.77	0.0	0.34	567.1	2240.11	3982.99	1628.26	1233.75	988.12	3168.41	3768.09	514.56	2224.63	497.0	1991.0
CCDC108	6337.83	38697.77	13.12	0.0	0.0	0.17	27.84	514.56	68.55	14.45	6.52	371.22	703.28	2.84	93.35	0.84	10.79
CCDC114	6516.03	20030.74	12.36	0.0	0.0	1.6	82.29	1407.55	518.15	36.79	54.33	1023.0	3235.01	10.55	718.08	8.32	57.08
CCDC13	145.02	327.56	9.13	0.0	0.13	5.45	26.28	303.44	82.87	26.67	28.86	223.41	339.14	11.73	111.21	5.96	142.01
CCDC135	2520.38	15392.14	0.0	0.0	0.0	1.19	64.34	764.36	82.87	16.15	28.45	373.81	967.76	1.3	187.71	13.42	0.0
CCDC147	47.17	339.14	3.2	0.0	0.04	1.55	6.06	197.09	36.53	3.17	2.53	159.9	426.57	0.35	47.84	3.17	27.64
CCDC151	1233.75	5255.91	2.36	0.0	0.0	1.68	75.11	559.28	125.24	52.82	35.76	454.09	1268.46	9.13	139.07	22.59	37.59
CCDC157	417.77	1066.48	38.67	0.0	0.03	7.69	176.29	583.07	237.86	511.0	93.35	395.18	854.13	48.87	358.54	60.39	27.25
CCDC19	4038.61	45386.27	28.86	0.0	0.05	28.04	397.93	2915.45	551.56	91.41	115.97	1923.14	4152.18	36.27	1447.15	15.0	147.06
CCDC30	236.21	878.17	6.84	0.0	0.1	18.56	75.64	293.07	151.22	83.45	62.12	389.72	642.59	18.03	195.72	48.52	61.25
CCDC37	2664.15	13681.08	0.0	0.0	0.0	2.76	157.68	796.86	120.94	20.41	29.7	603.67	4123.49	3.06	356.05	3.47	92.05
