	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.13NYB.1326.SM.5K7Y1	GTEX.PVOW.1626.SM.48TC9	GTEX.ZXES.1126.SM.5GZXN	GTEX.12696.1326.SM.5FQTJ	GTEX.13X6H.1326.SM.5LU42	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABI3BP	361.04	3235.01	723.08	84.04	255.0	53.19	583.07	543.96	0.0	0.61
ADCY1	3.41	125.24	21.16	5.41	3.69	7.22	14.89	6.06	2.1	27.64
ADCY2	3.0	172.65	42.71	23.76	18.16	1.41	48.52	36.53	0.0	0.27
AGBL1	1.39	0.0	3.76	0.0	0.82	0.0	1.93	0.75	0.0	0.0
AGBL4	0.0	9.7	3.76	0.0	2.03	0.71	3.11	0.0	0.0	0.0
ANK2	5.15	1001.93	258.57	22.26	66.65	40.36	165.57	178.77	0.0	0.2
ANTXR1	381.68	2319.15	1059.11	166.73	392.44	281.09	693.58	466.88	0.0	0.44
AQPEP	0.47	185.11	73.54	5.15	23.42	7.69	90.14	34.75	0.0	0.34
ATL2	2047.0	1498.22	1457.23	674.59	1015.93	988.12	1388.16	1088.92	0.0	0.73
C10orf105	4.43	9.2	6.06	2.05	1.39	2.71	5.02	3.32	0.0	0.22
C8orf4	356.05	6887.62	638.15	48.52	189.02	43.32	656.11	318.57	0.0	0.55
CCDC141	0.88	12.55	4.62	2.58	1.89	0.31	8.51	2.84	0.0	0.0
CD200	21.47	493.56	341.51	40.64	74.58	30.34	187.71	137.14	0.0	0.0
CD248	480.04	3491.39	1233.75	194.36	603.67	169.07	559.28	769.69	0.0	0.24
CDC42EP2	115.16	395.18	231.32	145.02	153.34	327.56	161.02	181.28	0.0	0.33
CDKN1C	47.5	1561.89	1437.15	559.28	651.58	470.14	860.08	1183.45	0.0	0.23
CFD	2664.15	34635.37	11584.24	1991.0	4388.98	1295.13	9088.59	8840.04	0.0	0.68
CHN1	73.54	540.19	178.77	108.9	82.87	88.26	180.02	155.5	0.0	0.43
CNBD2	1.83	1.03	2.25	3.79	1.48	2.94	3.99	0.99	0.0	0.0
COL15A1	215.77	1685.71	514.56	223.41	271.48	199.85	536.45	397.93	0.0	0.27
COL5A1	12.74	1781.89	567.1	144.01	190.34	106.63	397.93	353.59	0.0	0.89
