	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.AL.3473.01A.01R.1193.07	TCGA.38.4625.01A.01R.1206.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ
ABCA9	1.75	7.28	5.06	1.38	1.97	25.17	12.09	12.55	2.03	15.0	0.66	0.0	81.14	49.91	77.79	86.43	161.02	84.04	185.11	23.25	137.14	76.71	73.54	125.24	58.3	106.63	115.16	69.03	64.8
AMHR2	0.0	3.23	0.72	0.0	0.0	1.83	0.4	1.14	1.0	0.35	1.27	0.0	14.89	31.9	2.39	64.8	22.59	9.34	15.22	1.75	41.52	0.0	4.24	10.79	4.9	12.83	19.53	5.5	0.0
ANKUB1	0.0	0.0	1.41	0.0	0.0	0.73	1.93	1.13	0.0	1.69	0.32	0.0	256.78	12.55	26.47	82.29	106.63	75.11	75.64	2.29	73.03	43.32	89.51	33.54	14.78	74.58	29.48	21.32	13.52
ARID1B	133.36	314.17	318.57	154.42	176.29	348.71	305.55	361.04	175.07	251.48	107.38	144.01	432.53	209.84	454.09	486.75	454.09	651.58	497.0	206.94	612.11	373.81	633.73	417.77	414.87	435.55	363.56	518.15	363.56
BAIAP3	35.76	35.25	25.35	45.21	44.57	51.71	31.45	31.45	50.98	34.75	10.0	0.0	226.54	14.03	135.24	693.58	769.69	629.35	209.84	84.63	981.29	244.57	209.84	136.19	70.01	441.64	162.14	40.64	59.97
C16orf45	199.85	142.01	80.01	114.36	132.44	279.14	234.57	190.34	146.03	181.28	111.99	0.0	1304.15	228.13	228.13	353.59	995.0	624.99	2224.63	145.02	612.11	305.55	599.49	825.0	543.96	961.07	260.38	237.86	381.68
C1orf222	15.22	13.93	3.56	3.38	5.77	18.43	17.25	13.93	20.56	9.13	5.02	0.0	373.81	21.63	141.02	387.02	429.54	309.83	251.48	37.32	579.04	104.42	185.11	162.14	47.84	351.14	146.03	25.17	22.26
C9orf117	7.28	9.41	16.39	7.46	7.82	13.93	14.03	8.06	7.0	9.93	8.25	0.0	642.59	63.89	214.27	447.82	753.83	679.29	387.02	83.45	785.88	264.03	400.71	273.37	84.63	624.99	255.0	34.26	30.78
CCDC114	2.78	6.52	0.39	2.05	1.64	12.45	7.06	4.98	6.01	6.84	0.99	0.0	325.29	35.25	161.02	232.94	616.37	339.14	289.02	38.95	819.3	142.01	157.68	186.4	49.21	595.34	217.27	20.71	23.59
CCDC147	8.19	4.66	8.51	10.71	10.88	10.55	13.93	8.71	9.93	13.22	2.23	0.0	129.69	20.71	55.1	70.51	139.07	68.07	82.87	29.48	81.14	42.11	58.71	44.25	23.59	90.14	20.11	20.71	39.22
CCDC153	38.12	19.68	19.53	30.12	34.02	46.5	33.54	26.1	21.78	16.88	56.68	0.0	688.78	202.66	162.14	368.65	507.46	339.14	287.01	40.93	397.93	123.5	142.01	189.02	102.97	463.65	197.09	54.72	61.68
CCR7	102.97	94.01	100.13	45.85	86.43	208.38	80.01	57.89	9.85	27.05	33.54	0.0	591.22	167.9	119.26	420.68	1697.45	86.43	224.97	25.17	246.28	785.88	198.47	217.27	88.88	175.07	75.64	127.89	83.45
CD74	294926.33	368165.8	327241.36	443937.41	437825.58	466008.55	383800.28	506427.83	85876.94	329517.51	313910.86	0.0	726195.27	1196176.45	682276.92	585779.24	757033.75	1019901.63	482442.34	932018.1	241220.67	1503610.06	422911.59	1229805.58	741454.2	513497.31	550352.86	1877002.62	1196176.45
CHST6	0.0	0.33	0.0	0.31	0.6	1.04	0.73	2.18	0.0	0.31	0.0	0.0	100.13	7.51	20.86	36.79	63.0	53.57	29.06	8.38	64.8	19.68	34.02	20.86	7.94	49.21	17.51	4.31	9.13
CNGA3	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	47.5	0.0	6.57	1.93	49.21	5.92	73.03	0.0	13.52	1.97	11.21	9.7	0.21	31.22	0.96	0.0	0.0
DCDC2B	1.06	0.39	2.18	0.0	2.61	5.5	7.06	7.28	2.03	7.82	1.3	0.0	429.54	21.94	106.63	275.28	595.34	320.8	260.38	14.03	490.14	94.67	209.84	115.97	33.06	447.82	107.38	20.26	21.01
DNAAF1	13.32	4.82	25.17	17.77	64.8	38.95	46.84	31.45	3.76	65.26	29.91	0.0	878.17	85.22	351.14	669.92	1183.45	1037.29	802.41	92.05	1447.15	397.93	460.44	351.14	181.28	934.76	289.02	208.38	126.12
DNAAF3	36.53	11.13	9.27	92.7	17.25	42.11	37.32	77.79	33.06	43.94	44.89	0.0	674.59	73.54	297.17	612.11	1111.82	738.29	389.72	44.89	902.89	201.25	368.65	154.42	77.79	567.1	244.57	29.48	21.01
DNAH10	6.36	8.78	5.59	5.59	5.06	10.71	10.63	6.67	2.92	9.63	0.62	0.0	291.04	20.71	111.99	211.31	323.03	351.14	144.01	73.54	435.55	110.43	195.72	123.5	26.28	275.28	98.04	17.0	10.31
DNAH6	19.25	9.2	8.78	9.63	8.58	17.51	11.82	8.99	8.78	22.92	6.52	0.0	255.0	14.56	40.36	220.32	170.25	149.12	68.07	14.35	318.57	71.5	117.6	71.0	16.03	143.01	56.68	13.03	9.13
DNAI2	0.0	0.0	0.0	1.01	0.0	1.46	0.39	1.14	0.0	0.35	0.0	0.0	466.88	15.68	211.31	309.83	733.19	368.65	256.78	28.45	518.15	88.26	177.53	97.36	24.99	463.65	126.12	15.56	12.09
DYDC2	0.0	0.0	0.0	0.0	0.0	6.41	0.0	5.19	0.0	0.0	46.5	0.0	1023.0	30.56	224.97	620.67	902.89	830.75	260.38	21.94	698.41	148.09	392.44	197.09	77.25	796.86	366.09	80.57	9.48
EFCAB1	0.68	0.0	1.41	1.33	1.28	2.53	2.29	4.86	0.33	2.68	2.18	0.0	1498.22	45.21	457.25	1259.69	1936.53	981.29	665.29	70.51	1540.37	295.11	941.27	384.34	144.01	1639.59	432.53	24.46	62.56
FAM129C	5.19	1.81	6.46	2.03	3.89	20.71	13.72	4.58	3.66	14.03	0.96	0.0	11.21	9.06	34.51	244.57	211.31	69.52	48.52	8.0	35.5	16.03	18.56	43.02	46.18	26.1	27.44	19.82	37.05
FAM154B	28.86	14.03	17.77	29.7	28.04	18.84	28.45	125.24	34.51	57.08	51.71	0.0	848.22	90.77	209.84	624.99	961.07	599.49	466.88	86.43	836.53	320.8	406.31	381.68	100.13	660.68	208.38	82.87	23.08
FAM198A	2.07	2.53	3.92	1.69	2.27	15.8	4.66	11.64	2.66	5.73	3.47	0.0	56.68	98.73	172.65	63.45	232.94	59.97	384.34	13.32	142.01	83.45	76.17	126.12	11.73	9.48	41.52	64.34	161.02
FBXW10	0.0	0.38	0.73	0.36	1.31	1.87	0.0	0.39	0.0	1.04	0.0	0.0	14.56	2.73	0.91	25.35	24.63	8.13	12.55	0.37	18.29	4.31	7.57	3.56	0.15	8.45	2.56	0.69	0.0
FOXF2	12.27	3.59	3.56	0.69	0.34	5.11	7.34	8.32	1.66	2.05	1.28	0.0	647.07	18.29	102.25	748.61	450.94	176.29	579.04	113.56	890.44	201.25	463.65	525.39	312.0	1051.79	242.88	708.18	211.31
GLI1	14.14	7.63	5.45	2.07	3.29	15.45	26.86	16.51	10.71	9.27	11.13	0.0	92.05	13.93	53.95	409.15	202.66	16.15	325.29	42.11	82.87	23.25	118.43	108.9	96.68	74.06	61.25	10.47	36.01
GNAO1	10.63	12.55	12.83	15.11	21.47	51.35	17.38	11.38	1.68	16.51	3.5	0.0	43.02	20.11	84.04	72.52	332.14	71.5	29.91	24.28	111.99	60.82	110.43	92.7	29.27	39.5	23.76	172.65	84.63
HTRA3	29.06	34.02	7.63	60.82	72.01	38.95	56.68	190.34	68.55	82.87	28.24	0.0	698.41	379.04	1721.16	974.5	791.35	1268.46	2075.59	387.02	2573.36	728.11	190.34	988.12	1745.2	1259.69	514.56	409.15	854.13
ISLR2	0.67	1.41	1.75	0.33	2.53	8.92	2.66	1.48	2.61	1.33	1.23	0.0	14.24	9.56	8.92	75.11	241.19	17.64	87.03	1.53	57.49	23.25	12.74	61.68	2.68	6.21	53.19	12.0	6.16
JMY	27.44	38.4	128.79	24.28	27.84	53.95	43.63	63.0	15.68	39.79	16.88	0.0	108.9	78.89	152.28	134.3	156.59	158.79	105.15	72.52	149.12	107.38	239.52	120.1	128.79	84.63	93.35	198.47	142.01
KIAA1755	11.04	14.45	5.41	4.43	4.24	59.13	24.11	72.52	3.69	17.0	4.46	0.0	58.71	28.45	137.14	87.03	262.2	52.08	204.07	7.4	76.17	23.42	38.4	64.34	55.49	45.85	69.52	79.45	32.36
LCN10	3.14	0.39	2.53	1.71	0.0	4.78	2.76	1.55	2.36	9.2	4.78	0.0	6.62	3.35	24.28	29.48	674.59	52.08	457.25	42.11	39.22	12.93	20.41	20.56	4.13	5.41	96.68	29.91	31.45
