	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12WSD.1826.SM.5GCOA	GTEX.11XUK.0826.SM.5GU6P	GTEX.Q2AI.0626.SM.48TZU	GTEX.139YR.1726.SM.5IFFK	GTEX.ZYW4.1326.SM.5E45N	TCGA.B8.A54G.01A.11R.A266.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.69.7761.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.7552.01A.11R.2039.07	GTEX.YF7O.2226.SM.5CVN8
ACAT2	4481.23	1844.76	1359.57	802.41	1819.35	1617.0	1088.92	384.34	392.44	559.28	0.0	420.68	540.19
ACER1	423.61	164.42	165.57	236.21	220.32	332.14	61.68	0.0	1.08	0.0	0.0	1.35	13.93
ADAD2	62.56	105.15	84.63	99.43	89.51	146.03	115.97	0.0	3.63	0.0	0.0	4.66	16.27
ANKRD35	7485.11	8538.88	1119.56	532.74	718.08	698.41	490.14	0.97	17.9	27.64	0.0	34.26	241.19
C10orf91	62.56	61.68	9.13	4.21	7.75	13.52	4.82	0.0	3.2	1.1	0.0	3.63	4.86
C14orf1	2417.67	1322.37	872.1	624.99	981.29	934.76	669.92	265.87	229.72	412.0	0.0	559.28	575.03
C1orf177	836.53	497.0	145.02	98.73	166.73	212.78	30.56	0.95	0.71	2.03	0.0	13.22	24.81
C9orf169	62431.08	34635.37	6652.97	7081.29	8778.97	6745.86	2935.74	14.56	4.03	62.56	0.0	33.78	511.0
CERS3	875652.15	303217.87	1794.29	1583.71	1806.78	2090.03	1023.0	0.99	0.74	1.89	0.0	3.32	241.19
CIDEA	825.0	376.41	10.88	34.26	124.37	624.99	7.46	0.0	0.0	0.0	0.0	0.0	171.45
CLCA2	3.801327429E7	3.15251512E7	3467.27	3515.68	2319.15	3665.02	1594.73	3.82	0.0	1.66	0.0	13.83	518.15
CLCA4	998912.34	172949.54	3794.3	5041.77	5517.27	10440.2	1794.29	0.66	0.0	1.79	0.0	1.45	620.67
CNFN	857631.47	400098.69	45386.27	48643.87	50359.33	62431.08	16611.71	91.41	12.93	22.59	0.0	25.17	5292.48
CRISP3	828417.36	6581567.44	1151.06	2367.9	3564.78	343.89	454.09	1.62	0.0	0.51	0.0	2.46	2816.11
CSTA	1.6409999923E8	5.121275984E7	119776.72	45386.27	117311.73	226632.25	50709.61	1167.14	248.0	269.6	0.0	591.22	10440.2
EBP	20737.16	8963.45	2956.17	2193.99	4210.15	4671.57	2287.2	1008.9	1143.1	1519.15	3168.41	1151.06	1909.85
EDN3	132900.7	573724.06	127.89	389.72	414.87	293.07	299.25	6.94	1.06	6.62	0.0	13.93	77.25
