	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AARD	954.43	438.59	371.22	0.36	420.68	414.87	166.73	281.09	0.0	0.0
AC006132.1	17.13	8.78	24.28	6.73	19.25	8.99	6.06	10.16	0.0	0.24
AC012313.1	9.78	1.66	4.98	0.0	3.86	2.14	3.2	1.04	0.0	0.0
AC016745.1	4.31	0.67	6.84	0.0	2.94	0.36	0.37	1.04	0.0	0.0
AC020922.1	15.22	3.03	28.86	2.81	14.56	9.63	18.97	8.25	0.0	0.54
AC174470.1	18.84	0.0	43.94	3.59	36.53	18.56	27.44	0.0	0.0	0.55
ADAP1	223.41	186.4	323.03	18.29	356.05	146.03	98.04	161.02	0.0	0.61
AL049829.1	0.0	0.0	8.71	0.0	5.73	0.0	0.0	0.0	0.0	0.0
AL353608.1	4.31	0.67	6.84	0.0	2.94	0.36	0.37	1.04	0.0	0.0
AL590452.1	8.32	0.37	7.28	2.12	5.11	3.89	1.46	2.76	0.0	0.0
ANKRD42	426.57	102.97	409.15	175.07	363.56	193.01	170.25	285.03	0.0	0.39
ANXA9	460.44	113.56	1008.9	14.03	785.88	134.3	96.01	339.14	0.0	0.23
APOD	5594.3	932018.1	348306.01	561916.97	602247.76	338781.54	539026.74	602247.76	0.0	0.87
APOO	567.1	226.54	738.29	316.37	583.07	351.14	289.02	483.38	0.0	0.18
ARHGAP4	392.44	90.14	1001.93	161.02	679.29	595.34	303.44	186.4	0.0	1.16
ARL17B	329.84	162.14	249.73	90.14	248.0	190.34	163.28	146.03	0.0	0.24
AXIN1	647.07	285.03	718.08	221.86	660.68	444.72	309.83	314.17	0.0	0.79
BMP4	325.29	32.36	1639.59	47.84	1044.52	205.5	244.57	231.32	0.0	0.41
BMP8B	76.71	38.95	55.89	12.45	58.3	34.51	27.84	41.52	0.0	0.39
BRF1	521.76	241.19	457.25	229.72	624.99	450.94	379.04	332.14	327.56	27.84
BRICD5	96.68	3.41	96.01	29.91	126.12	108.14	38.67	41.52	0.0	1.2
C16orf93	559.28	80.57	309.83	30.12	220.32	190.34	80.57	79.45	0.0	0.22
C1orf134	35.76	5.77	70.01	18.16	61.25	11.04	7.0	52.82	0.0	0.0
C20orf202	2.46	4.58	23.59	3.11	9.78	4.24	6.73	3.08	0.0	0.0
CAPN15	493.56	132.44	392.44	173.85	470.14	381.68	223.41	281.09	0.0	0.91
CASKIN1	27.05	6.26	41.22	5.92	21.78	8.58	14.14	3.99	0.0	0.23
CASP16	63.89	12.18	237.86	1.2	177.53	13.03	7.57	12.93	0.0	0.08
CCDC114	209.84	10.0	33.54	3.69	33.54	8.92	19.11	23.08	0.0	0.0
CCDC135	85.82	0.0	14.24	0.0	9.2	0.35	0.35	1.0	0.0	0.0
CCDC86	403.5	529.06	967.76	529.06	830.75	555.41	358.54	493.56	0.0	0.16
CCDC89	81.14	8.06	49.56	5.5	26.1	21.78	25.54	7.51	0.0	0.0
CCDC9	571.05	371.22	759.08	277.2	902.89	595.34	521.76	518.15	414.87	423.61
CDK9	1286.18	743.43	1639.59	529.06	1427.22	1143.1	1447.15	1250.98	0.0	0.64
CHMP5	2119.22	1674.06	3820.7	1733.13	3257.52	1467.37	1498.22	1806.78	0.0	0.84
CHN2	100.83	9.78	189.02	33.78	202.66	73.54	71.5	46.84	0.0	0.47
CORO7	723.08	177.53	638.15	202.66	571.05	463.65	265.87	265.87	0.0	0.83
CPSF1	2104.58	693.58	2163.77	866.07	2739.08	2090.03	921.88	1167.14	0.0	0.93
CYP4A11	2.94	0.0	14.56	0.41	9.78	3.72	6.31	1.14	0.0	0.06
DAP3	3235.01	3349.13	5292.48	2434.5	5112.16	2224.63	2193.99	2417.67	0.0	1.04
DGKD	493.56	258.57	543.96	309.83	543.96	473.41	490.14	343.89	0.0	0.87
DNAJB13	63.89	0.0	15.68	1.79	12.83	6.78	5.73	4.86	0.0	0.0
DNAJC17	674.59	258.57	698.41	170.25	872.1	728.11	583.07	521.76	0.0	0.59
DPM2	1111.82	775.05	2758.13	836.53	1572.76	764.36	708.18	830.75	0.0	0.51
DUSP12	417.77	291.04	493.56	361.04	466.88	400.71	366.09	368.65	0.0	0.68
EDDM3A	1.03	0.65	49.21	1.69	30.12	3.08	2.43	2.34	0.0	0.0
