	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.NFK9.1126.SM.3LK78	GTEX.14BMU.0926.SM.5S2QB	GTEX.14E1K.1226.SM.5S2PD	GTEX.11TT1.0526.SM.5P9JO	GTEX.U3ZN.1726.SM.4DXUQ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABAT	94.67	423.61	77.79	139.07	35.76	152.28	0.0	0.41
ABCD4	693.58	764.36	387.02	629.35	351.14	928.3	381.68	262.2
ABHD15	101.54	121.79	82.29	105.15	92.05	130.6	0.0	0.27
ABR	1427.22	2956.17	1268.46	1745.2	1191.69	3614.55	0.0	1.03
AC139100.2	38.12	69.52	16.39	28.86	12.0	47.84	0.0	0.22
ACAD8	277.2	624.99	339.14	414.87	190.34	743.43	0.0	1.07
ACTR6	583.07	429.54	417.77	392.44	307.69	460.44	0.0	0.31
ADSSL1	1936.53	435.55	143.01	218.79	57.89	651.58	0.0	0.59
AGAP8	37.32	258.57	35.5	87.03	32.36	138.1	0.0	0.64
AK7	988.12	68.07	81.71	53.57	29.7	102.97	0.0	0.0
AKAP8L	813.63	1286.18	791.35	1088.92	878.17	1359.57	0.0	1.06
ANKRD65	2303.12	860.08	62.12	115.16	75.64	954.43	63.89	466.88
ANXA8L2	6014443.23	4095.0	1104.13	2209.26	1183.45	4123.49	0.0	0.36
ARHGAP28	96.01	26.47	20.11	22.92	15.91	30.12	0.0	0.31
ARHGEF28	307.69	336.79	71.5	195.72	90.77	358.54	0.0	0.24
ARSA	890.44	1216.75	660.68	884.29	521.76	1519.15	0.0	1.01
ATP8B3	43.32	56.28	14.14	37.85	49.91	46.84	0.0	0.46
BTBD11	4095.0	896.64	480.04	429.54	435.55	836.53	0.0	0.37
C12orf79	4.43	10.88	5.54	1.25	7.06	11.55	0.0	0.25
C1orf172	2090.03	603.67	438.59	493.56	371.22	595.34	0.0	0.0
C1orf233	813.63	353.59	110.43	206.94	228.13	327.56	0.0	0.0
C1orf65	0.0	3.79	0.0	0.85	0.0	5.54	0.0	0.0
C2ORF15	120.1	43.02	20.41	25.35	7.17	48.18	0.0	0.0
C5orf45	514.56	616.37	212.78	429.54	241.19	503.95	271.48	129.69
CALML6	9.56	15.34	0.61	19.97	6.36	24.11	0.0	0.71
CARNS1	4.98	29.48	22.92	23.59	13.93	28.24	0.0	0.23
CBFA2T2	236.21	256.78	96.68	223.41	134.3	281.09	0.0	0.58
