	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.P4QT.0626.SM.3NMCP	GTEX.12WSJ.0726.SM.5GCN6	GTEX.YF7O.0826.SM.4W21F	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.BR.8297.01A.12R.2343.13	TCGA.BR.8286.01A.12R.2343.13	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.BR.A4J9.01A.12R.A251.31
ABI1	674.59	392.44	1277.29	563.18	587.13	612.11	1051.79	860.08	769.69	854.13	708.18
AC020907.1	1.6	4.5	4.9	2.12	1.19	12.83	49.56	17.77	15.11	17.64	6.11
AC021218.2	0.0	0.0	20030.74	0.0	0.0	37.85	79.45	116.78	55.89	339.14	16.75
AC106876.2	0.0	0.0	87075.75	0.0	0.0	7.69	137.14	163.28	44.25	197.09	23.25
ACVR1B	163.28	223.41	403.5	218.79	186.4	287.01	563.18	665.29	339.14	718.08	293.07
AGR2	0.58	0.0	26067.14	7.82	0.0	8718.32	66449.85	167058.21	35609.13	128373.58	6561.36
ALG10	21.32	8.78	23.93	19.68	25.91	38.4	84.04	102.25	43.63	104.42	34.02
ASAP2	199.85	84.63	251.48	175.07	97.36	269.6	438.59	679.29	295.11	860.08	376.41
ASF1B	0.0	5.77	116.78	9.2	7.63	45.21	229.72	603.67	64.34	438.59	20.41
AURKB	0.0	7.82	164.42	30.12	5.92	62.12	412.0	647.07	99.43	660.68	56.68
BAIAP2L1	2.58	105.89	1437.15	75.11	78.89	217.27	836.53	848.22	429.54	6792.79	117.6
BEND3	8.38	12.64	58.71	19.82	11.91	33.06	76.17	132.44	45.53	120.1	37.32
BSPRY	0.0	9.85	808.0	19.25	16.27	22.1	217.27	356.05	74.58	187.71	37.85
BTBD3	181.28	255.0	283.05	312.0	221.86	476.71	872.1	854.13	514.56	796.86	607.87
C16orf59	0.84	4.1	37.32	5.77	2.84	22.26	93.35	159.9	35.25	105.15	12.0
C1GALT1	76.17	76.71	599.49	135.24	134.3	400.71	830.75	1936.53	616.37	928.3	258.57
C1orf112	51.35	50.27	23.08	51.71	29.27	65.26	166.73	267.73	119.26	193.01	73.54
C1orf116	0.0	8.99	3372.43	6.41	8.06	15.56	595.34	1709.26	356.05	1498.22	71.5
C6orf132	0.0	19.53	4869.99	23.93	42.41	91.41	753.83	1191.69	348.71	954.43	197.09
CARD14	0.77	3.69	293.07	9.85	5.11	34.75	124.37	108.14	57.08	102.97	11.13
CCDC42B	1.14	3.53	47.84	2.63	2.58	12.64	29.06	46.5	15.22	49.21	10.08
CCNE1	66.65	21.32	142.01	37.59	46.5	91.41	119.26	395.18	108.9	129.69	52.45
CCNO	0.0	2.1	214.27	9.48	4.54	11.38	87.65	239.52	38.4	297.17	7.82
CD46	1417.35	2032.85	3235.01	1508.65	1359.57	1896.65	3146.52	5711.87	2855.44	3124.78	2434.5
CD47	802.41	928.3	1819.35	974.5	808.0	1322.37	2090.03	3820.7	1709.26	2835.7	1191.69
CD55	1268.46	239.52	2434.5	525.39	656.11	909.17	3690.52	3564.78	1447.15	6516.03	791.35
