	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.EW.A6SD.01A.12R.A33J.07	TCGA.A2.A0YJ.01A.11R.A109.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.ZF2S.1426.SM.57WET
ACACB	3.79	14.35	10.96	22.43	62.12	73.54	0.0	0.27	395.18	133.36	229.72	63.0	173.85	1167.14	409.15	206.94	248.0	241.19	343.89
ALDOB	3.11	1.71	0.35	2.14	1.06	2.56	0.0	0.24	130.6	11.21	158.79	19.53	54.33	4639.29	486.75	460.44	218.79	228.13	616.37
AMPD1	0.0	10.88	0.0	0.32	0.32	4.5	0.0	0.0	71.5	11.04	68.07	6.89	14.24	39.5	154.42	101.54	44.57	23.08	116.78
ANKRD53	0.88	8.32	7.46	2.23	14.89	3.32	0.0	0.33	28.86	15.22	29.7	11.21	11.21	152.28	36.27	71.5	57.49	39.5	27.64
APIP	438.59	275.28	432.53	684.02	185.11	363.56	0.0	0.35	854.13	429.54	490.14	336.79	1216.75	460.44	738.29	836.53	819.3	808.0	698.41
AQP10	0.57	0.0	0.0	0.69	0.0	0.0	0.0	0.1	1.2	5.59	2.73	1.2	2.81	18.97	20.86	4.06	62.12	3.92	96.68
ARHGAP20	1.45	8.92	2.01	6.89	6.52	6.57	0.0	0.32	37.85	16.88	15.0	9.41	31.0	117.6	21.01	20.71	10.55	29.7	49.56
ASB12	0.0	0.0	2.94	0.0	0.0	0.95	0.0	0.0	14.89	5.06	2.68	1.38	5.63	7.69	8.32	10.47	2.51	0.0	20.11
ASXL3	0.0	0.35	0.66	1.38	0.69	0.95	0.0	0.25	24.46	15.0	11.38	5.11	19.11	28.24	25.35	10.96	10.08	14.56	25.54
ATP1B2	3.72	7.17	6.67	11.55	13.52	12.36	0.0	0.01	101.54	26.67	13.93	16.63	27.25	269.6	39.22	33.06	32.13	63.45	145.02
C1QTNF7	2.29	2.03	1.35	16.75	28.65	8.58	0.0	0.0	234.57	71.0	39.22	11.82	60.39	1437.15	40.07	122.64	24.11	536.45	256.78
C1orf123	543.96	928.3	563.18	698.41	842.36	713.11	0.0	0.47	1388.16	1233.75	902.89	633.73	1015.93	2075.59	1044.52	1721.16	1313.23	1923.14	1662.49
CADM3	1.16	4.43	1.73	0.78	29.7	19.97	0.0	0.28	108.9	76.17	35.5	21.32	21.16	1250.98	26.47	287.01	146.03	271.48	518.15
CCDC136	25.54	10.16	21.63	31.0	9.41	21.94	0.0	0.53	111.99	51.35	131.51	28.86	67.12	285.03	32.59	50.63	37.32	86.43	73.03
CCK	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.17	64.34	0.88	733.19	21.63	35.5	339.14	10.71	65.72	61.25	460.44	42.11
CCL14	11.21	22.43	85.22	110.43	283.05	234.57	0.0	0.04	796.86	139.07	688.78	38.95	123.5	2682.69	343.89	2104.58	2645.74	3372.43	2591.27
CXorf57	684.02	8.0	1.48	7.94	5.11	3.69	0.0	0.25	82.29	18.16	18.43	19.53	49.21	40.07	29.27	62.12	41.22	49.56	74.58
CYYR1	32.36	102.25	40.64	77.79	150.17	115.16	0.0	0.17	316.37	206.94	172.65	150.17	191.67	339.14	223.41	244.57	232.94	273.37	327.56
DNAJB4	135.24	142.01	260.38	189.02	187.71	195.72	0.0	0.21	518.15	195.72	128.79	162.14	559.28	921.88	242.88	373.81	199.85	536.45	262.2
EBF1	12.55	47.84	12.27	43.32	64.8	32.36	0.0	0.29	220.32	56.68	76.17	36.53	104.42	185.11	32.59	116.78	54.72	109.66	132.44
EGFL8	26.28	32.59	27.44	24.11	53.19	42.11	0.0	0.73	507.46	95.34	89.51	138.1	226.54	591.22	101.54	329.84	44.57	251.48	381.68
FAM216B	0.0	0.34	0.33	0.0	0.0	0.31	0.0	0.0	16.88	7.28	5.11	0.18	1.64	1.11	4.82	12.18	3.2	4.06	10.31
FAM69A	96.68	177.53	19.25	102.97	140.04	75.11	0.0	0.23	353.59	206.94	215.77	73.54	199.85	224.97	316.37	309.83	194.36	265.87	275.28
FGF17	0.0	0.0	0.47	0.49	0.49	0.0	0.0	0.62	12.93	0.0	2.12	1.91	11.55	4.54	4.46	4.03	3.66	2.07	5.63
GCNT4	41.52	2.92	4.06	3.35	2.34	4.21	0.0	0.06	181.28	96.68	205.5	10.08	134.3	237.86	381.68	149.12	202.66	176.29	518.15
GSTM2	43.63	262.2	39.22	49.21	148.09	90.77	0.0	1.22	1769.57	486.75	575.03	307.69	728.11	3372.43	1066.48	1896.65	1268.46	2485.67	2816.11
JAM2	10.31	82.87	40.64	62.56	98.73	80.01	0.0	0.1	511.0	183.82	102.25	85.82	139.07	1030.12	229.72	400.71	361.04	493.56	642.59
KCNT2	0.3	4.82	2.73	2.89	2.86	1.97	0.0	0.06	40.36	7.69	4.5	2.14	7.4	26.1	8.65	20.41	8.38	12.83	37.59
KIAA0408	7.94	4.54	1.93	4.03	12.18	5.45	0.0	0.07	152.28	16.03	11.04	8.38	38.4	162.14	25.17	76.71	27.64	57.89	126.12
KIAA1191	1081.39	1104.13	808.0	1051.79	934.76	1313.23	1151.06	158.79	1331.57	1437.15	1388.16	1304.15	2032.85	2591.27	1832.01	1909.85	2537.92	2032.85	1794.29
KIAA1614	4.9	14.67	5.87	14.24	13.42	12.83	0.0	0.4	35.0	36.79	24.99	17.0	16.39	195.72	20.86	41.81	75.11	43.32	52.82
KLHDC1	6.31	9.2	13.03	8.13	20.26	13.72	0.0	0.3	167.9	22.26	29.48	15.8	49.56	107.38	59.97	82.29	46.5	90.77	112.77
LETMD1	764.36	403.5	540.19	555.41	651.58	656.11	878.17	1135.2	1651.0	813.63	902.89	759.08	1216.75	1498.22	1183.45	1457.23	1437.15	1322.37	1340.84
LHB	1.46	1.97	0.0	1.66	2.01	3.2	0.0	0.51	15.11	7.11	26.47	8.25	7.69	14.89	0.0	35.25	28.45	19.53	25.54
LY6G5C	26.47	25.72	45.53	91.41	57.89	90.14	0.0	0.32	155.5	194.36	77.25	58.71	206.94	116.78	144.01	191.67	154.42	178.77	189.02
NAALAD2	3.99	5.77	4.31	4.58	6.94	5.41	0.0	0.23	67.12	7.51	3.79	3.38	13.83	145.02	11.73	18.56	7.46	18.84	50.63
NLRP11	0.0	0.32	0.0	0.0	0.99	0.29	0.0	0.06	5.36	6.21	5.68	0.43	1.69	0.93	5.92	7.4	3.17	22.26	7.06
NT5E	72.01	85.82	185.11	189.02	117.6	136.19	0.0	0.45	323.03	353.59	172.65	988.12	264.03	571.05	158.79	358.54	122.64	327.56	559.28
OTC	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	4.28	77.79	8.99	0.0	0.32	116.78	27.64	28.45	4.06	11.21	157.68
P2RX6	0.32	2.71	1.99	2.46	2.78	0.35	0.0	0.37	12.18	2.16	2.25	2.78	4.17	18.56	5.63	6.16	6.26	4.21	9.7
PARK2	0.88	7.82	1.66	7.4	5.06	4.9	0.0	0.12	26.28	18.7	15.56	8.51	18.16	107.38	33.78	29.91	28.04	46.84	23.08
PELI2	4.62	26.47	10.24	15.45	20.71	19.53	0.0	0.61	463.65	110.43	197.09	38.67	256.78	161.02	327.56	149.12	249.73	136.19	244.57
PGA3	0.0	1.99	0.0	0.0	2.46	0.0	0.0	0.21	5849977.94	7560235.84	6673442.71	2216726.5	3007221.12	502929.67	2.339991475E7	8505707.6	2.276004283E7	7456151.83	198667.0
PGA4	0.0	0.46	0.0	0.0	0.87	0.0	0.0	0.0	2263304.65	5235876.81	4987895.16	1535204.12	9569418.63	353168.2	1.835920079E7	3028138.0	1.138002091E7	9179599.9	111755.56
PHYHIP	2.03	5.41	2.2	2.32	4.82	4.43	0.0	0.21	23.93	14.78	22.75	9.2	8.92	121.79	22.59	35.25	13.03	23.08	38.12
PREX2	3.72	12.74	10.16	8.06	23.42	21.47	0.0	0.28	115.16	34.75	15.68	21.32	70.01	87.03	32.82	27.05	21.16	25.72	37.59
PYGM	3.14	7.75	3.32	5.59	8.65	5.06	0.0	0.39	56.28	20.71	9.27	8.65	9.2	638.15	12.93	65.72	32.59	143.01	124.37
RSPO1	0.58	4.54	0.41	1.87	8.45	2.97	0.0	0.06	40.36	14.89	11.47	9.41	2.16	113.56	19.53	53.57	16.88	45.85	21.47
SOX21	0.88	0.65	0.95	0.0	1.99	0.3	0.0	0.09	285.03	37.59	860.08	46.5	199.85	262.2	1605.83	241.19	808.0	483.38	426.57
SYNE1	61.68	211.31	60.82	141.02	171.45	228.13	0.0	0.83	1081.39	454.09	412.0	260.38	579.04	1508.65	466.88	753.83	389.72	728.11	1008.9
TARSL2	42.71	76.71	55.49	69.52	68.07	108.14	0.0	0.47	281.09	144.01	205.5	66.18	123.5	253.23	176.29	199.85	145.02	146.03	158.79
TATDN3	128.79	112.77	223.41	141.02	187.71	256.78	0.0	0.16	307.69	260.38	177.53	176.29	239.52	198.47	232.94	329.84	241.19	273.37	224.97
TMEM220	7.46	43.32	7.51	17.64	20.56	33.54	0.0	0.37	414.87	116.78	119.26	50.98	149.12	289.02	301.33	275.28	232.94	241.19	307.69
UNC79	0.29	1.3	0.32	1.01	1.0	0.92	0.0	0.07	10.0	5.87	3.89	1.28	5.11	8.19	9.06	5.41	4.54	4.62	8.38
VWC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.22	0.24	0.16	0.56	23.08	0.32	0.67	0.0	9.93	1.93
ZC4H2	10.39	164.42	91.41	18.43	82.29	16.75	0.0	0.4	195.72	275.28	208.38	180.02	195.72	441.64	312.0	167.9	170.25	256.78	316.37
ZNF33B	85.82	232.94	59.13	75.64	89.51	87.03	0.0	0.16	351.14	75.11	97.36	92.7	366.09	156.59	271.48	152.28	116.78	173.85	209.84
ZNF728	0.0	0.31	0.31	0.0	1.95	1.48	0.0	0.0	7.34	2.92	0.32	0.23	3.86	4.86	3.41	3.35	1.06	2.41	5.77
