	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12696.1326.SM.5FQTJ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.TSE9.1226.SM.4DXTM	GTEX.PWN1.0626.SM.48TDT	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CD.8528.01A.11R.2343.13	TCGA.EY.A72D.01A.12R.A34R.07
AC015987.2	6699.25	3190.46	1819.35	1487.87	1977.24	1697.45	1709.26	2537.92	1066.48	1167.14	138.1	981.29
ADIRF	23986.58	1359.57	3820.7	4239.45	775.05	2047.0	3564.78	10084.54	0.0	0.55	73.54	31.0
AK8	406.31	72.01	66.18	10.79	9.34	8.25	41.22	33.54	0.0	0.0	2.58	32.13
AL626787.1	3.69	19.25	14.45	7.82	3.11	2.63	6.67	8.45	0.0	0.04	3.35	1.57
ANKRD62	46.5	1.03	4.54	2.78	0.56	1.39	9.27	19.97	0.0	0.0	0.0	0.0
ATP11B	8598.28	1832.01	995.0	723.08	1127.35	703.28	1437.15	1175.27	0.0	0.85	583.07	55.89
BCMO1	32.59	22.43	29.7	7.51	12.0	1.41	15.68	16.39	0.0	0.0	5.77	0.0
C20orf202	2.23	14.14	18.97	5.23	7.17	1.23	11.91	13.72	0.0	0.0	16.88	0.3
C9orf169	62431.08	34635.37	8479.89	7230.1	4543.8	2739.08	12764.83	8078.22	0.0	0.43	5.32	43.94
CNOT1	10883.59	5711.87	3665.02	3146.52	3060.45	2018.8	4419.52	3467.27	0.0	1.03	2664.15	2645.74
CRNN	971597.0	706337.4	107203.06	53601.03	12676.65	16496.96	114103.8	80683.28	0.0	0.0	0.0	0.0
CSTB	443937.41	169390.27	100719.65	81244.48	46662.28	45701.96	80125.95	95286.54	0.0	0.74	1233.75	3081.75
