	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.B6.A0X4.01A.11R.A109.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.CV.7423.11A.01R.2081.07	TCGA.44.6148.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTT.0626.SM.5EQLM
AC002472.13	0.0	0.0	2.05	0.0	8.51	0.0	0.0	0.38	1.73	3.17	0.0	248.0	0.0	0.0	104.42
ADGB	0.0	0.0	3.41	9.41	19.68	1.97	0.36	0.0	12.09	8.32	0.0	346.29	0.0	0.0	346.29
AK7	6.01	6.46	42.11	17.0	152.28	16.63	74.06	15.68	69.52	45.85	17.0	607.87	0.0	0.0	1015.93
AK8	6.01	10.88	157.68	61.25	239.52	217.27	218.79	41.52	118.43	96.01	36.01	503.95	0.0	0.0	420.68
ANKRD36C	1.77	3.59	22.26	18.43	94.67	49.56	26.28	25.54	44.25	156.59	5.59	33.06	0.0	0.62	30.56
APOBEC4	0.0	0.0	3.66	0.36	22.59	0.4	0.36	2.12	18.16	0.0	0.0	242.88	0.0	0.0	353.59
BBS12	12.36	12.55	78.34	81.71	127.89	72.01	65.72	69.03	106.63	107.38	21.01	112.77	0.0	0.07	162.14
C11orf70	35.5	10.08	111.21	195.72	303.44	115.97	43.63	11.38	178.77	49.56	23.42	642.59	0.0	0.02	967.76
C12orf55	0.0	1.62	14.45	2.48	82.29	9.93	2.81	4.03	22.75	20.86	1.5	180.02	0.0	0.04	64.34
C16orf71	8.25	1.95	102.97	63.45	144.01	47.84	37.32	49.21	167.9	88.88	10.08	563.18	0.0	0.0	406.31
C1orf192	13.42	1.0	87.03	24.99	486.75	199.85	74.06	55.49	392.44	161.02	17.13	3690.52	0.0	0.0	2537.92
C9orf116	198.47	23.42	660.68	420.68	1832.01	1111.82	426.57	139.07	1066.48	441.64	39.5	2061.24	0.0	0.0	1844.76
C9orf171	0.0	0.0	21.47	1.03	126.12	0.0	4.35	0.0	40.64	17.64	0.0	842.36	0.0	0.0	529.06
C9orf9	27.25	90.14	273.37	136.19	412.0	248.0	157.68	67.59	353.59	237.86	231.32	1417.35	0.0	0.0	791.35
CASC1	1.45	0.66	36.01	23.93	305.55	82.87	54.33	9.63	135.24	116.78	0.97	371.22	0.0	0.0	483.38
CCDC114	6.01	1.31	16.51	12.64	125.24	32.13	16.51	15.45	47.17	32.59	2.23	1963.57	0.0	0.0	819.3
CDHR4	1.14	2.89	4.54	0.77	42.11	3.63	3.56	11.91	55.49	5.5	1.87	603.67	0.0	0.0	1268.46
CHRM5	0.29	0.33	1.75	0.72	3.17	1.22	1.07	0.75	2.81	2.92	0.0	31.0	0.0	0.0	3.2
CPB1	0.0	0.0	1578364.61	1155430.26	260332.24	1715263.94	1055868.42	1535204.12	1264380.15	2.291835145E7	2.07	38.95	0.0	0.15	4.62
CRIM1	363.56	316.37	1628.26	718.08	2047.0	1059.11	967.76	733.19	1709.26	2915.45	224.97	802.41	518.15	629.35	1427.22
