	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.8171.01A.11R.2287.07	TCGA.56.6546.01A.11R.1820.07	TCGA.33.6737.01A.11R.1820.07	TCGA.33.4547.01A.01R.1201.07	TCGA.66.2767.01A.01R.0851.07	TCGA.98.A53H.01A.12R.A262.07
ABCA13	785.88	1487.87	830.75	0.0	0.0	0.0	5.54	28.86	2.71	723.08	575.03	400.71
ADH7	509950.32	2555.58	2351.53	1.79	1.41	0.0	0.0	4.43	7.75	1183.45	872.1	884.29
ARPC2	15934.98	13872.08	8778.97	1769.57	3060.45	5594.3	5831.91	6699.25	5995.9	12329.98	7537.18	6840.04
ARSF	202.66	5076.84	140.04	0.0	0.71	0.0	0.28	1.93	0.3	15.8	0.3	2.92
B3GNT5	9409.14	7433.4	1936.53	23.25	73.03	0.0	68.55	248.0	368.65	1617.0	808.0	674.59
BCL11B	1477.58	2255.7	283.05	0.45	1.83	0.0	3.03	68.55	29.7	103.69	98.73	88.26
C12orf54	909.17	2682.69	583.07	0.0	1.33	0.0	2.03	2.14	21.47	529.06	612.11	59.13
CALML3	4.76556459417E9	1.14285878012E9	32540.65	5.54	3.63	0.0	0.0	25.91	20.86	8963.45	12943.04	2090.03
CARD17	1397.83	244.57	25.72	0.0	0.0	0.0	0.0	3.38	14.03	36.27	36.53	18.43
CARD18	12943.04	466.88	10.96	2.81	0.0	0.0	0.88	1.97	0.91	130.6	26.28	21.32
CD109	291.04	629.35	400.71	4.17	9.41	0.0	19.97	59.97	153.34	693.58	334.46	234.57
CENPP	158.79	305.55	269.6	18.03	27.25	0.0	24.99	29.7	27.84	96.68	112.77	55.89
CHODL	115.16	50.98	57.89	0.0	0.0	0.0	2.16	3.92	18.16	100.13	18.29	41.81
CLCA2	3.801327429E7	3.15251512E7	4450.27	0.0	0.0	0.0	2.81	10.71	50.63	981.29	466.88	595.34
CLCA4	998912.34	172949.54	58655.36	0.0	0.0	0.0	0.0	0.62	6.16	860.08	7.11	34.75
CLDND1	5751.61	9279.58	5255.91	660.68	629.35	3081.75	854.13	1044.52	1322.37	4607.24	3742.05	1467.37
CSTA	1.6409999923E8	5.121275984E7	107948.72	3.63	204.07	0.0	122.64	460.44	412.0	10733.74	12076.21	1709.26
DDB2	693.58	748.61	1183.45	260.38	441.64	0.0	669.92	708.18	189.02	1909.85	947.83	536.45
DENND2C	51417.5	23169.48	633.73	37.85	77.25	23.76	5.02	39.79	34.75	125.24	83.45	90.14
FAM84A	6471.02	8191.0	1417.35	4.54	15.56	0.0	9.85	98.04	53.57	848.22	660.68	299.25
FOXN1	636586.81	394590.4	1295.13	0.0	2.76	0.0	6.41	1.5	2.14	223.41	275.28	54.33
GABRP	38164.99	15715.58	1757.34	0.0	5.82	0.0	1.1	14.56	6.78	1427.22	75.11	514.56
GJB2	3178687.03	1131651.83	14262.1	110.43	753.83	53.19	223.41	305.55	1073.91	3901.01	1199.98	748.61
GJB6	6908781.2	5092701.46	2609.3	0.67	2.97	0.0	2.25	23.08	100.13	3018.3	660.68	198.47
HECA	647.07	547.75	518.15	89.51	55.89	171.45	94.01	279.14	193.01	583.07	392.44	395.18
IL1A	57847.82	70238.75	2209.26	0.0	0.68	0.0	1.73	4.21	98.04	127.89	19.53	109.66
IRX6	24.81	299.25	53.57	0.45	0.79	0.0	0.16	6.52	10.08	281.09	82.29	40.07
KLK9	61999.83	6516.03	159.9	0.0	0.0	0.0	0.0	2.66	0.0	14.56	8.51	30.78
KRT13	6.69297277469E9	2.25424941211E9	1800541.22	2.61	0.0	0.0	10.71	72.52	47.17	4869.99	43537.38	68.07
KRT14	7.4879730316E8	1.0530509404E8	77396.54	0.0	4.62	0.0	8.51	197.09	480.04	1397.83	967.76	13399.51
KRT31	3690.52	3103.19	137.14	0.0	0.0	0.0	0.0	2.34	0.0	819.3	18.16	3.89
KRT5	4.3607468381E8	8.2510357921E8	345900.08	3.53	1.35	0.0	8.58	567.1	178.77	30361.44	30999.42	11267.44
KRT6A	2.01760973986E9	2.41604469791E9	290865.98	4.98	0.0	0.0	4.28	540.19	19214.73	27745.15	43840.21	21468.49
KRT75	127486.83	476.71	8.85	0.0	0.0	0.0	0.0	2.01	2.01	67.12	16.51	1.33
LGALS7	5441.3	641014.63	738.29	0.0	0.0	0.0	3.03	208.38	5.11	954.43	121.79	251.48
LGALS7B	1864037.21	706337.4	10585.95	3.72	11.13	0.0	21.01	1427.22	50.27	33224.42	878.17	6164.49
LIMK2	4268.94	4671.57	1167.14	105.15	507.46	0.0	872.1	567.1	620.67	1950.0	1104.13	1883.54
METAP1	2682.69	1639.59	2664.15	406.31	305.55	0.0	1225.22	780.44	1313.23	1909.85	1359.57	728.11
