	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14C5O.2626.SM.5RQI5	GTEX.ZYVF.2826.SM.5GIDK	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBJ.2026.SM.3NB1R	TCGA.BK.A4ZD.11A.12R.A27V.07	GTEX.YFC4.2826.SM.5P9FR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.WI4N.2426.SM.4OOSC
AARS2	113.56	151.22	62.12	90.14	108.14	0.0	0.11	204.07	205.5	249.73	202.66	100.83
ACSS3	99.43	167.9	24.63	65.72	53.19	0.0	0.32	167.9	295.11	656.11	819.3	149.12
ADAL	77.79	102.25	64.34	77.25	169.07	0.0	0.19	138.1	127.0	201.25	320.8	58.3
AKAP7	358.54	169.07	106.63	136.19	139.07	0.0	0.31	253.23	220.32	836.53	928.3	37.85
AL359878.1	0.0	8.13	0.68	0.25	1.45	0.0	0.06	5.06	4.24	6.16	6.67	0.48
ATRIP	114.36	151.22	132.44	79.45	121.79	0.0	0.0	163.28	223.41	236.21	208.38	101.54
BBS2	660.68	909.17	476.71	343.89	802.41	0.0	0.18	1151.06	995.0	878.17	1277.29	426.57
BBS5	134.3	201.25	96.01	106.63	239.52	0.0	0.43	171.45	236.21	348.71	249.73	96.01
C16orf70	281.09	336.79	185.11	153.34	275.28	0.0	0.22	309.83	403.5	463.65	368.65	94.01
C2orf42	186.4	162.14	77.25	157.68	146.03	0.0	0.0	409.15	265.87	307.69	303.44	120.94
C2orf62	6.78	0.0	2.56	1.3	0.85	0.0	0.18	19.97	4.74	54.72	56.28	4.66
CBLN4	2.07	0.0	0.4	1.1	2.05	0.0	0.0	11.13	82.29	25.17	23.76	0.0
CCDC42	1.46	3.47	0.0	0.0	0.0	0.0	0.0	2.68	0.68	2.16	4.58	0.0
CCDC66	186.4	248.0	189.02	162.14	197.09	201.25	214.27	325.29	473.41	426.57	389.72	141.02
CDH4	2.34	5.63	4.03	3.59	25.91	0.0	0.16	10.24	12.93	8.99	30.34	3.5
CDKL1	295.11	191.67	242.88	221.86	80.57	83.45	164.42	334.46	343.89	567.1	1059.11	187.71
CEP97	41.22	76.17	35.76	31.9	66.65	0.0	0.35	100.13	97.36	115.97	124.37	28.04
CHM	234.57	206.94	117.6	159.9	239.52	0.0	0.45	368.65	316.37	353.59	361.04	164.42
COL13A1	100.13	108.9	51.35	157.68	69.52	0.0	0.23	170.25	149.12	206.94	211.31	33.78
COMMD9	665.29	607.87	381.68	307.69	409.15	0.0	0.12	607.87	470.14	1167.14	1417.35	251.48
COQ10A	262.2	323.03	68.55	79.45	285.03	0.0	0.33	363.56	435.55	327.56	435.55	52.08
CSRP1	311742.51	1645391.11	37379.55	34396.12	938500.81	2047.0	291.04	40341.14	49322.93	38430.46	53973.86	45701.96
DGCR14	368.65	599.49	291.04	204.07	397.93	0.0	0.51	283.05	353.59	463.65	532.74	187.71
DHX57	218.79	246.28	118.43	130.6	218.79	0.0	0.13	255.0	346.29	363.56	379.04	69.03
DZANK1	33.54	37.05	10.08	7.75	29.7	0.0	0.22	83.45	53.95	85.22	65.72	17.25
EFCAB6	12.64	22.26	11.38	7.06	20.41	0.0	0.0	62.56	39.79	76.17	169.07	15.91
ELOVL2	12.83	20.11	1.51	5.11	18.56	0.0	0.19	9.2	13.12	116.78	70.01	8.99
EPC1	511.0	587.13	307.69	373.81	563.18	169.07	507.46	915.51	669.92	808.0	909.17	218.79
FAM120B	325.29	417.77	255.0	305.55	341.51	0.0	0.55	603.67	503.95	684.02	665.29	205.5
FAM179B	158.79	146.03	120.94	100.83	148.09	0.0	0.25	281.09	327.56	273.37	281.09	85.22
FBXO39	1.53	3.17	1.95	6.73	7.17	0.0	0.13	18.43	15.8	27.05	14.78	0.18
FGF12	49.91	58.3	18.03	24.28	432.53	0.0	0.34	226.54	22.26	228.13	470.14	36.27
FIGNL1	100.13	122.64	42.71	28.65	73.03	0.0	0.0	142.01	205.5	239.52	167.9	53.19
GLI2	96.68	295.11	34.02	20.56	164.42	0.0	0.6	92.05	155.5	223.41	94.67	55.89
GPATCH2	95.34	89.51	87.65	118.43	121.79	0.0	0.35	223.41	201.25	258.57	241.19	92.7
GSTM2	1697.45	4298.64	2004.85	1628.26	3081.75	0.0	1.22	4010.71	3847.29	7433.4	6426.31	547.75
HID1	420.68	358.54	256.78	397.93	175.07	0.0	0.85	1277.29	688.78	1066.48	2434.5	397.93
HIPK4	26.47	98.04	3.23	2.94	52.45	0.0	0.09	7.22	12.93	16.63	15.8	8.25
HMG20A	414.87	406.31	241.19	265.87	400.71	234.57	525.39	518.15	769.69	796.86	612.11	162.14
IL20RA	152.28	34.75	38.95	51.35	32.59	0.0	0.0	353.59	191.67	379.04	253.23	33.06
JAKMIP3	26.86	68.07	5.59	2.76	31.9	0.0	0.47	20.56	19.39	25.54	32.59	4.58
KB-1507C5.2	96.68	106.63	105.15	123.5	51.71	0.0	0.01	66.65	194.36	320.8	305.55	96.68
