	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DV.5574.01A.01R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.AK.3450.01A.02R.1277.07	TCGA.B8.5162.01A.01R.1420.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABHD4	878.17	780.44	674.59	1487.87	368.65	567.1	395.18	387.02	0.0	0.89
ALKBH1	262.2	293.07	241.19	348.71	162.14	175.07	147.06	105.15	0.0	0.34
ANG	1519.15	974.5	507.46	1832.01	872.1	525.39	825.0	202.66	0.0	0.43
APEX1	4836.35	5183.54	4123.49	4210.15	1467.37	3235.01	2004.85	1561.89	0.0	0.48
APOPT1	1674.06	1417.35	954.43	1225.22	616.37	848.22	830.75	651.58	0.0	0.51
ATG14	384.34	376.41	236.21	297.17	68.07	124.37	90.77	101.54	0.0	0.18
ATP5S	429.54	473.41	343.89	348.71	208.38	164.42	208.38	299.25	0.0	0.34
C14orf166	4210.15	3395.89	3742.05	4095.0	1685.71	3303.0	2451.44	1733.13	0.0	1.07
C14orf28	139.07	120.1	81.71	94.67	38.67	85.82	33.78	36.79	0.0	0.06
CDKN2AIP	341.51	551.56	384.34	366.09	269.6	251.48	264.03	187.71	0.0	0.13
CIRBP	19348.38	22225.61	6983.79	9025.81	4575.41	6121.9	3928.15	3491.39	0.0	0.75
DCAF5	1096.5	759.08	638.15	848.22	297.17	454.09	339.14	242.88	0.0	0.73
DYNC1H1	4450.27	4419.52	4419.52	4010.71	2682.69	3955.48	3419.52	2468.49	0.0	1.2
EIF3E	15607.02	20737.16	8479.89	9409.14	6250.56	10959.3	7280.4	4639.29	0.0	0.96
GEMIN2	400.71	301.33	202.66	215.77	73.54	142.01	120.1	157.68	0.0	0.41
GMPR2	2384.37	2271.4	2303.12	2485.67	1286.18	1806.78	1313.23	860.08	0.0	0.62
GRID1	218.79	332.14	33.06	44.89	7.28	36.01	30.78	0.74	0.0	0.22
GS1-259H13.10	76.71	29.7	28.24	33.06	1.6	1.68	4.98	4.17	0.0	0.0
HAUS4	1923.14	1745.2	1268.46	1605.83	571.05	1199.98	651.58	503.95	0.0	0.72
KHDRBS1	2682.69	3690.52	2609.3	3190.46	1909.85	2090.03	1583.71	1104.13	1832.01	299.25
KLHDC1	113.56	112.77	63.45	72.01	24.81	31.0	22.1	16.39	0.0	0.3
MARK3	1594.73	1175.27	819.3	813.63	521.76	748.61	583.07	371.22	0.0	0.93
MED6	470.14	738.29	579.04	708.18	267.73	457.25	336.79	186.4	0.0	0.65
NEGR1	90.14	127.89	78.34	525.39	6.31	37.59	10.88	5.02	0.0	0.27
NEK9	1286.18	974.5	775.05	947.83	384.34	612.11	432.53	301.33	0.0	0.79
NFYB	1023.0	1096.5	633.73	738.29	403.5	511.0	551.56	327.56	0.0	0.35
NGDN	1066.48	1111.82	896.64	819.3	470.14	638.15	511.0	363.56	0.0	0.91
NRDE2	239.52	299.25	175.07	180.02	82.87	102.25	109.66	68.55	0.0	0.43
OTUD5	1191.69	1208.34	909.17	1208.34	813.63	842.36	921.88	775.05	0.0	0.92
PARP2	414.87	490.14	339.14	297.17	157.68	269.6	161.02	165.57	0.0	0.62
PCNX	186.4	164.42	242.88	373.81	124.37	185.11	131.51	164.42	0.0	0.48
PCNXL4	460.44	616.37	483.38	665.29	293.07	285.03	264.03	236.21	0.0	0.34
PPP2R5C	2303.12	2701.35	1923.14	2537.92	825.0	2178.83	1250.98	915.51	1832.01	1745.2
PRRX1	1781.89	4095.0	429.54	150.17	12.27	320.8	60.82	5.73	0.0	0.61
PTPRN2	241.19	221.86	217.27	189.02	150.17	118.43	106.63	85.82	0.0	0.21
RBMX	5479.15	5594.3	2976.74	4543.8	2417.67	3349.13	2018.8	1572.76	0.0	0.96
RHNO1	688.78	830.75	647.07	884.29	316.37	521.76	642.59	414.87	0.0	0.21
