	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.22.1005.01A.01R.0692.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07
AD000671.6	6.78	6.84	60.82	61.68	71.5	64.34	53.57	5.32	6.67	32.36	25.54	24.81	1.93	4.7	2.39	16.03
AMY1C	0.0	0.0	423.61	373.81	555.41	842.36	603.67	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0
ANKLE1	5.19	0.0	19.25	111.99	32.82	16.03	24.28	3.86	7.82	11.21	6.84	11.21	2.27	0.87	3.29	6.94
ARHGAP25	151.22	316.37	703.28	414.87	607.87	728.11	525.39	15.68	82.29	118.43	171.45	329.84	23.93	23.25	66.65	45.53
BFSP2	0.0	0.0	39.22	26.28	52.82	81.71	38.12	0.0	1.33	4.17	4.5	20.71	0.0	0.0	0.0	0.0
BPIFB1	0.0	13.52	29736.59	12329.98	29943.43	3349.13	85283.74	1.41	19.97	62.56	107.38	31.22	4.94	0.0	23.25	8.71
C1orf147	18.84	10.63	22.26	23.42	24.46	6.89	10.47	0.0	0.72	1.13	1.71	3.99	0.0	0.61	0.62	0.68
C4BPA	19.68	0.0	1183.45	211.31	88.26	1051.79	1605.83	0.0	0.0	2.23	2.78	9.48	0.0	0.0	0.0	0.0
CARD11	42.11	124.37	305.55	189.02	287.01	323.03	454.09	7.06	16.03	45.85	90.77	140.04	7.22	5.23	10.55	15.8
CCDC150	63.45	36.53	56.28	64.34	177.53	80.01	54.33	3.82	8.0	12.27	6.62	12.27	1.17	1.81	3.32	20.41
CCL13	25.35	5.63	346.29	228.13	183.82	107.38	281.09	0.0	4.74	10.08	13.62	18.84	3.53	0.0	0.75	7.82
CD19	1.16	1.07	406.31	275.28	967.76	674.59	432.53	0.0	12.0	20.56	111.99	49.91	1.07	0.95	0.36	3.23
