	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.A3.3362.01A.02R.1325.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A2P2.01A.11R.A206.07	TCGA.J8.A3O1.01A.11R.A21D.07	TCGA.DJ.A2PN.01A.21R.A19O.07
A2M	555.41	660.68	16045.82	22072.07	29943.43	32315.87	18178.19	5112.16	232.94	5751.61	2047.0	5711.87
ADPRH	20.86	44.25	253.23	511.0	529.06	483.38	395.18	0.0	0.29	156.59	50.63	135.24
AFAP1L1	26.1	40.07	503.95	1250.98	1388.16	713.11	279.14	0.0	0.37	173.85	69.03	209.84
ARHGEF15	66.65	52.82	579.04	1806.78	1883.54	1397.83	497.0	0.0	0.29	281.09	95.34	447.82
C2CD2	400.71	214.27	332.14	679.29	759.08	454.09	507.46	124.37	92.7	211.31	191.67	265.87
C4orf32	19.39	56.28	99.43	241.19	217.27	150.17	92.05	0.0	0.3	63.0	24.11	57.08
CCM2L	31.67	64.8	293.07	567.1	633.73	470.14	267.73	0.0	0.04	157.68	40.64	193.01
CD34	329.84	733.19	3874.05	8134.41	10440.2	7803.01	3018.3	0.0	0.0	1295.13	435.55	1583.71
CLEC14A	136.19	371.22	1467.37	3564.78	3820.7	2895.31	2148.82	0.0	0.25	915.51	293.07	1096.5
CLEC1A	28.04	62.12	173.85	336.79	329.84	299.25	209.84	0.0	0.22	135.24	33.3	84.63
CLEC3B	186.4	1594.73	3257.52	4903.87	4869.99	5292.48	4066.71	0.0	0.21	2400.97	201.25	1832.01
COL4A1	301.33	295.11	6607.01	13033.07	19892.37	11909.94	5872.48	0.0	0.6	2627.46	1457.23	2075.59
CPNE2	444.72	1167.14	981.29	2163.77	2209.26	1685.71	1322.37	0.0	0.59	571.05	260.38	967.76
CSMD2	1.43	4.82	11.91	30.34	31.67	21.16	10.31	0.0	0.09	9.93	1.99	9.85
CXorf36	34.26	102.25	934.76	1572.76	1662.49	1183.45	698.41	0.0	0.16	312.0	170.25	423.61
CYYR1	34.51	89.51	759.08	1628.26	1561.89	1819.35	813.63	0.0	0.17	351.14	120.1	457.25
ECSCR	287.01	583.07	2935.74	6079.61	6079.61	5672.41	3325.99	0.0	0.54	1340.84	432.53	1508.65
EMCN	140.04	96.68	1583.71	2004.85	3419.52	2627.46	1437.15	71.5	172.65	660.68	99.43	555.41
ERG	22.92	53.95	444.72	1216.75	1745.2	1167.14	460.44	0.0	0.35	195.72	55.1	228.13
F8	49.21	53.95	507.46	547.75	848.22	703.28	450.94	0.0	0.0	255.0	140.04	162.14
FLI1	40.93	94.67	669.92	1467.37	1561.89	1225.22	543.96	0.0	0.56	237.86	106.63	339.14
GALNT15	16.27	31.0	314.17	267.73	890.44	638.15	332.14	0.0	0.18	172.65	224.97	144.01
GIMAP4	113.56	187.71	1519.15	2271.4	3491.39	3564.78	1447.15	0.0	0.51	514.56	242.88	438.59
GIMAP5	61.25	301.33	1757.34	3212.66	3325.99	2956.17	1487.87	0.0	0.65	813.63	178.77	759.08
GIMAP6	54.33	186.4	915.51	1594.73	2537.92	1909.85	579.04	0.0	0.33	285.03	77.25	351.14
GIMAP7	71.0	297.17	1216.75	2224.63	2777.33	2816.11	1605.83	0.0	0.42	384.34	118.43	490.14
GIMAP8	18.43	137.14	559.28	1175.27	1508.65	1191.69	493.56	0.0	0.35	234.57	55.1	236.21
GNG11	47.5	199.85	1250.98	1572.76	1870.53	1639.59	1159.07	0.0	0.38	387.02	126.12	426.57
HSPA12B	12.18	93.35	228.13	490.14	483.38	454.09	253.23	0.0	0.22	97.36	42.41	170.25
HSPG2	698.41	819.3	4769.75	12160.22	12943.04	10659.59	4836.35	0.0	0.99	3081.75	1096.5	3955.48
KCNC4	64.34	72.01	129.69	432.53	373.81	163.28	224.97	0.0	0.4	103.69	60.82	76.71
LIMS2	35.25	285.03	1037.29	2319.15	2417.67	2240.11	1936.53	0.0	0.59	587.13	199.85	1066.48
LMO2	348.71	836.53	808.0	2209.26	2255.7	2032.85	1477.58	0.0	0.45	395.18	153.34	587.13
