	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.HD.8224.01A.11R.2403.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.NC.A5HI.01A.11R.A26W.07	GTEX.X5EB.1726.SM.4E3J7	GTEX.11EQ9.2026.SM.5P9JI	GTEX.13CF2.2426.SM.5LZYL
ABCB1	24.81	39.5	154.42	0.0	0.02	14.45	17.64	60.82	224.97
AC011530.4	2.84	26.86	6.57	0.0	0.13	8.71	9.85	23.76	6.52
AC131097.4	56.28	1127.35	2047.0	0.0	0.0	0.0	177.53	836.53	13776.25
ACTA1	9.85	60723.88	434801.29	0.0	0.97	5.23	12076.21	231394.29	8102860.22
ADAMTSL4	74.58	1857.6	2133.97	0.0	0.77	224.97	169.07	400.71	8778.97
AL626787.1	1.39	15.22	20.56	0.0	0.04	1.27	1.5	2.61	6.01
ALPK3	9.7	638.15	1417.35	0.0	0.49	10.63	82.87	551.56	5219.6
ANKRD23	62.12	3874.05	6561.36	0.0	0.74	51.35	251.48	1844.76	22380.2
AP1S2	301.33	854.13	1709.26	0.0	0.48	146.03	307.69	309.83	1909.85
APOBEC2	0.85	1159.07	5672.41	0.0	0.11	1.3	297.17	748.61	180294.02
ARPP19	967.76	2335.28	2119.22	1331.57	1340.84	620.67	1340.84	1437.15	2384.37
ARPP21	0.0	540.19	836.53	0.0	0.0	1.38	62.12	273.37	1685.71
ASB10	0.0	88.26	454.09	0.0	0.0	0.0	14.03	58.71	967.76
ASB11	0.0	111.99	599.49	0.0	0.06	0.36	18.7	45.85	941.27
ASB5	0.95	665.29	1583.71	0.0	0.0	0.0	42.11	470.14	4869.99
ASB8	332.14	884.29	1651.0	275.28	1295.13	444.72	583.07	708.18	1819.35
ATP6V1C2	23.25	1437.15	149.12	0.0	0.91	59.55	117.6	123.5	262.2
BAG3	785.88	4123.49	4736.79	1883.54	463.65	1674.06	2004.85	3372.43	6792.79
BIN1	303.44	5219.6	13872.08	1167.14	244.57	68.07	1199.98	4481.23	19348.38
C10orf71	0.0	540.19	1991.0	0.0	0.0	0.0	31.9	285.03	7966.99
C1QTNF7	3.53	21.32	728.11	0.0	0.0	0.85	26.28	6.21	89.51
C1orf105	0.0	50.63	29.06	0.0	0.08	0.0	10.47	25.91	295.11
C20orf166	0.0	146.03	1369.04	0.0	0.0	0.0	55.89	94.67	5255.91
C6orf106	587.13	3212.66	2018.8	0.0	0.65	842.36	981.29	2163.77	1832.01
CAMK2B	2.63	244.57	866.07	0.0	0.45	9.13	75.11	234.57	2335.28
CAP2	5.28	915.51	2573.36	0.0	0.18	41.22	287.01	412.0	3467.27
CASQ1	4.98	1832.01	16269.83	0.0	0.33	5.77	698.41	1457.23	39510.91
CDH15	0.49	130.6	332.14	0.0	0.19	4.13	35.0	103.69	454.09
CHRNB1	67.12	1008.9	915.51	0.0	0.35	81.14	287.01	571.05	1857.6
CIB2	75.64	480.04	31.45	0.0	0.38	143.01	45.85	256.78	928.3
CMYA5	13.12	4152.18	9606.86	0.0	0.43	52.08	441.64	3212.66	42346.82
COG6	110.43	332.14	223.41	0.0	0.04	163.28	242.88	197.09	152.28
COX7A1	90.77	11267.44	36610.26	0.0	0.55	223.41	2796.65	9673.69	211455.3
CTC-786C10.1	2.27	48.52	84.04	0.0	0.22	0.0	4.39	37.85	12.93
CYB5R1	674.59	6471.02	4671.57	0.0	0.84	518.15	2485.67	3928.15	24660.96
DNAJA4	454.09	1857.6	3280.18	0.0	0.11	547.75	688.78	703.28	12076.21
DNASE1L1	463.65	1159.07	1583.71	0.0	0.47	420.68	679.29	748.61	1572.76
DPF3	3.5	71.5	281.09	0.0	0.23	4.39	9.7	67.12	329.84
DUSP13	10.39	1159.07	3280.18	0.0	0.54	13.52	358.54	651.58	6983.79
EBF2	0.62	39.79	64.8	0.0	0.09	0.72	12.18	20.26	74.58
EEA1	100.83	239.52	231.32	0.0	0.35	148.09	143.01	115.16	275.28
EEF1A2	17.64	5791.62	21768.19	0.0	0.89	18.16	1561.89	10368.08	123144.13
EHD3	150.17	336.79	392.44	0.0	0.44	50.98	177.53	147.06	204.07
ENO3	236.21	11664.82	55107.99	0.0	1.36	214.27	2335.28	8718.32	172949.54
EXOC4	638.15	1216.75	902.89	0.0	0.59	733.19	743.43	743.43	775.05
FBXO32	346.29	4095.0	3564.78	0.0	0.27	212.78	1051.79	2664.15	3349.13
FHL1	83.45	17558.94	66912.05	0.0	0.56	38.4	4639.29	12244.81	236256.4
FITM1	30.56	785.88	2075.59	0.0	0.25	12.74	175.07	329.84	14867.79
FNDC5	8.0	435.55	4769.75	0.0	0.08	13.12	78.89	363.56	20310.37
GOLGA8J	0.0	1.27	2.29	0.0	0.19	0.0	1.0	1.43	1.36
GYG1	551.56	2287.2	5594.3	0.0	0.69	961.07	1594.73	1991.0	10733.74
HEATR5B	111.99	334.46	157.68	0.0	0.27	182.55	224.97	256.78	99.43
HIVEP2	74.06	339.14	343.89	126.12	38.4	187.71	161.02	271.48	346.29
HSPB2	14.35	860.08	2224.63	0.0	0.41	10.88	279.14	497.0	14065.74
HSPB3	181.28	813.63	1857.6	0.0	0.18	1.11	165.57	540.19	14262.1
ITGB5	684.02	4152.18	2645.74	0.0	0.93	2351.53	1457.23	2400.97	974.5
JPH1	105.15	353.59	974.5	56.68	71.0	117.6	115.97	293.07	1583.71
JSRP1	12.45	521.76	1540.37	0.0	0.52	55.1	146.03	460.44	4328.55
KCTD8	1.93	7.0	6.41	0.0	0.01	0.0	0.72	4.13	6.89
KIF1B	134.3	1088.92	1685.71	115.16	114.36	158.79	480.04	813.63	2468.49
KLHL21	514.56	2835.7	1008.9	0.0	0.69	209.84	620.67	1733.13	728.11
KLHL40	0.0	423.61	1477.58	0.0	0.13	0.0	87.65	246.28	8840.04
KLHL41	4.82	8538.88	29943.43	0.0	0.06	6.73	3614.55	7642.41	246289.25
KY	0.0	109.66	669.92	0.0	0.01	3.44	94.01	76.17	583.07
LBX1	5.92	16.15	9.48	0.0	0.05	0.0	0.0	11.82	41.81
LCN8	0.0	14.45	17.0	0.0	0.0	0.0	0.97	9.56	13.52
LMOD2	0.51	2384.37	7695.57	0.0	0.22	0.0	521.76	1721.16	25005.23
LRRC2	4.06	239.52	1015.93	0.0	0.0	0.42	45.85	85.82	2739.08
MAFA	11.91	50.63	69.52	0.0	0.09	1.57	12.55	58.71	275.28
MAP1A	4.1	136.19	575.03	0.0	0.24	6.26	17.25	26.86	511.0
MB	60.82	39237.98	176583.6	0.0	0.91	37.59	16727.26	65535.0	4817989.11
MFSD9	128.79	291.04	141.02	0.0	0.0	111.21	217.27	251.48	131.51
MN1	7.63	111.21	400.71	0.0	0.54	57.08	87.65	68.55	1081.39
MRAS	18.03	384.34	713.11	164.42	473.41	102.97	220.32	226.54	373.81
MURC	4.28	438.59	1561.89	0.0	0.21	5.92	63.0	212.78	4704.07
MVP	1794.29	3639.7	3716.2	0.0	1.17	1437.15	2417.67	3325.99	2351.53
MYBPC1	0.75	10883.59	57448.23	0.0	0.82	30.56	1870.53	8479.89	938500.81
MYBPC2	0.0	2451.44	9344.14	0.0	0.17	1.14	1143.1	1781.89	2573.36
MYH4	0.0	5.28	5.54	0.0	0.0	0.0	1.48	3.53	4.66
MYH7	0.85	5006.93	84694.64	0.0	0.0	0.0	1233.75	4328.55	1890058.21
MYL2	0.0	25354.3	126606.21	0.0	0.0	0.0	7331.05	12502.12	7560235.84
MYO18B	0.0	642.59	1757.34	0.0	0.31	22.1	116.78	559.28	2004.85
MYOG	0.0	748.61	587.13	0.0	0.04	0.0	134.3	457.25	5441.3
MYOM1	11.55	988.12	6426.31	0.0	0.28	7.4	158.79	836.53	56657.31
MYPN	0.0	444.72	1277.29	0.0	0.14	0.0	84.63	348.71	2119.22
NDFIP2	384.34	1498.22	718.08	0.0	0.39	447.82	1088.92	529.06	420.68
NEB	5.23	20593.91	58655.36	0.0	0.83	246.28	2417.67	14163.58	130165.62
NKAPL	0.0	25.91	48.87	0.0	0.0	1.35	9.78	14.35	20.56
OPTN	921.88	3303.0	3847.29	0.0	0.45	624.99	1096.5	2451.44	5672.41
P2RX6	4.17	112.77	228.13	0.0	0.37	10.39	6.36	59.55	361.04
PANK4	387.02	607.87	503.95	0.0	0.56	336.79	283.05	341.51	444.72
PBXIP1	400.71	1991.0	2915.45	620.67	189.02	909.17	1540.37	1331.57	2271.4
PEA15	1340.84	5292.48	3928.15	0.0	0.56	1277.29	2627.46	3235.01	2351.53
PEX10	392.44	679.29	400.71	0.0	0.26	318.57	521.76	543.96	366.09
PFKM	435.55	3103.19	8134.41	0.0	0.83	567.1	1199.98	2485.67	7749.1
PHKG1	23.59	780.44	2240.11	0.0	0.27	25.54	140.04	629.35	6745.86
PITX3	0.69	55.49	80.57	0.0	0.09	0.72	9.63	33.78	81.14
PKIA	142.01	1477.58	4736.79	0.0	0.21	157.68	395.18	791.35	26431.04
PKIG	215.77	1151.06	1674.06	0.0	0.33	429.54	703.28	551.56	2739.08
PLA1A	28.65	94.67	46.84	0.0	0.48	17.9	9.27	118.43	37.05
PLA2G15	149.12	511.0	753.83	0.0	0.19	208.38	277.2	348.71	314.17
POPDC2	31.45	339.14	866.07	0.0	0.35	53.57	97.36	320.8	447.82
PPAPDC3	4.35	395.18	1059.11	0.0	0.34	6.36	102.25	241.19	5183.54
PPARA	118.43	265.87	323.03	138.1	183.82	83.45	152.28	258.57	297.17
PPM1M	269.6	780.44	493.56	0.0	0.64	397.93	234.57	264.03	271.48
PPP1R3A	0.0	209.84	728.11	0.0	0.0	0.0	18.7	105.89	1674.06
PROB1	46.5	171.45	371.22	0.0	0.39	5.59	43.94	122.64	961.07
PRUNE2	8.19	854.13	1697.45	0.0	0.43	11.91	185.11	567.1	2701.35
RAPSN	2.2	241.19	420.68	0.0	0.38	10.0	19.97	153.34	1242.34
RASA4B	130.6	239.52	688.78	92.05	173.85	52.82	78.89	232.94	454.09
RBM24	4.74	595.34	1651.0	0.0	0.2	2.12	141.02	287.01	9279.58
RERE	397.93	1407.55	1733.13	0.0	0.8	327.56	688.78	961.07	579.04
RGS9BP	2.27	17.77	23.42	0.0	0.0	0.56	6.36	2.48	87.65
RP11-724O16.1	1.35	6.21	15.8	0.0	0.0	2.03	0.0	5.11	2.94
RPL3L	2.48	775.05	4038.61	0.0	0.31	4.78	190.34	633.73	3443.31
RTN2	101.54	1127.35	3614.55	0.0	0.39	31.0	633.73	1250.98	4802.93
SBK2	0.0	27.25	19.11	0.0	0.0	0.0	0.0	26.67	143.01
SCN4A	0.0	190.34	819.3	0.0	0.24	0.57	53.19	130.6	813.63
SGCG	18.29	599.49	1477.58	0.0	0.0	0.84	264.03	503.95	7857.29
SHD	0.69	49.21	14.24	0.0	0.0	1.95	6.73	35.5	830.75
SLC20A2	595.34	1487.87	1388.16	0.0	0.77	988.12	743.43	1388.16	3018.3
SLC25A35	80.01	215.77	108.9	0.0	0.39	38.12	65.26	63.89	93.35
SLC29A1	279.14	2664.15	1819.35	0.0	0.72	329.84	769.69	915.51	2485.67
SLC2A5	117.6	819.3	1781.89	0.0	0.39	74.06	115.97	348.71	2701.35
SLCO5A1	0.37	81.14	381.68	0.0	0.16	2.05	17.0	43.32	346.29
SMYD1	0.0	587.13	2816.11	0.0	0.2	0.0	82.87	348.71	8022.41
SNTA1	199.85	1268.46	2133.97	0.0	0.49	202.66	660.68	743.43	5751.61
SRL	3.2	743.43	3168.41	0.0	0.12	2.56	190.34	759.08	7857.29
STAC3	67.12	7803.01	14163.58	0.0	0.15	45.21	1286.18	4869.99	48643.87
SVIL	320.8	3103.19	7749.1	0.0	0.64	967.76	1030.12	2468.49	6887.62
SYNPO2	15.22	2573.36	6983.79	0.0	0.43	33.78	426.57	1870.53	12329.98
SYNPO2L	0.0	529.06	1769.57	0.0	0.03	2.36	120.1	316.37	7032.37
TBC1D2B	181.28	466.88	435.55	0.0	0.61	163.28	209.84	229.72	206.94
TEX26	0.0	4.98	1.64	0.0	0.0	0.89	0.0	4.28	21.47
TIMM23B	120.94	651.58	237.86	0.0	0.0	133.36	480.04	403.5	713.11
TMEM102	85.22	463.65	106.63	0.0	0.0	105.15	234.57	175.07	214.27
TMEM109	3443.31	6699.25	3690.52	0.0	0.84	2018.8	2682.69	3820.7	2701.35
TMEM182	48.18	389.72	896.64	0.0	0.0	31.22	89.51	139.07	1397.83
TMEM233	0.0	50.98	97.36	0.0	0.09	1.27	4.7	53.19	59.97
TMF1	129.69	507.46	346.29	0.0	0.48	197.09	309.83	244.57	144.01
TNNC1	6.36	14361.31	87681.42	0.0	0.19	9.41	6935.54	22535.88	5199709.96
TNNI1	2.05	13123.73	66449.85	0.0	0.04	44.89	3190.46	3491.39	1290947.48
TNNT1	529.06	22692.63	147462.67	0.0	0.73	9.93	4543.8	12244.81	254974.66
TPM2	1437.15	35609.13	142439.51	0.0	1.2	896.64	8421.31	22380.2	554180.87
TPMT	176.29	420.68	226.54	0.0	0.33	253.23	341.51	214.27	208.38
TRDN	0.0	2384.37	6381.92	0.0	0.0	4.35	599.49	1936.53	10440.2
TRIM55	0.71	201.25	260.38	0.0	0.0	1.93	33.78	120.1	1359.57
TRIM6	31.22	371.22	64.34	0.0	0.35	5.06	31.67	41.22	21.32
