	TCGA.EW.A1OZ.01A.11R.A144.07	TCGA.AN.A0AJ.01A.11R.A00Z.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.F4.6856.01A.11R.1928.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.B5.A3F9.01A.21R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.B5.A3FC.01A.11R.A22K.07	TCGA.2E.A9G8.01A.11R.A40A.07
ANKMY1	327.56	275.28	559.28	961.07	197.09	0.0	0.34	414.87	2032.85	72.01	1066.48
ARMC3	22.43	112.77	49666.0	220434.95	0.0	0.0	0.0	289.02	1407.55	5.02	1088.92
BBS5	77.25	133.36	173.85	281.09	89.51	0.0	0.43	164.42	684.02	78.89	239.52
C10orf107	2.71	34.75	567.1	1540.37	1.75	0.0	0.0	180.02	1030.12	8.25	343.89
C11orf16	0.0	42.71	5112.16	29531.18	0.0	0.0	0.0	48.18	620.67	0.82	109.66
C11orf70	5.68	115.97	813.63	3146.52	13.52	0.0	0.02	432.53	1437.15	14.67	1359.57
C11orf74	409.15	872.1	764.36	1250.98	73.54	0.0	0.07	1037.29	1844.76	202.66	1923.14
C16orf71	33.3	43.32	373.81	1977.24	21.78	0.0	0.0	61.68	466.88	19.53	214.27
C17orf72	29.06	117.6	7130.55	36610.26	13.52	0.0	0.25	176.29	2148.82	18.97	669.92
C1orf192	57.08	954.43	53601.03	506427.83	32.59	0.0	0.0	896.64	6121.9	10.63	4869.99
C2orf50	0.72	46.84	1639.59	2335.28	0.29	0.0	0.0	26.47	507.46	3.82	136.19
C2orf62	7.82	33.78	1015.93	5791.62	2.36	0.0	0.18	170.25	1685.71	8.25	186.4
C2orf81	82.87	94.01	575.03	1909.85	92.05	0.0	0.0	361.04	1388.16	21.32	647.07
C6ORF165	24.63	146.03	1870.53	5219.6	1.41	0.0	0.0	77.79	543.96	5.36	423.61
C9orf117	44.57	69.03	9606.86	59474.18	42.11	0.0	0.0	371.22	7485.11	20.56	684.02
C9orf24	0.39	9.56	85283.74	687022.54	25.17	0.0	0.0	988.12	12676.65	13.62	2209.26
