	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABHD10	603.67	587.13	379.04	1191.69	426.57	665.29	358.54	748.61	387.02	289.02	0.0	0.28
AC005606.1	52.82	33.54	9.34	95.34	9.48	1.89	10.79	29.48	0.0	0.0	0.0	0.0
AK9	194.36	123.5	148.09	226.54	48.18	191.67	96.01	249.73	37.85	15.11	0.0	0.26
AMIGO3	99.43	52.82	38.95	329.84	0.0	57.08	4.94	37.32	33.06	16.51	0.0	0.0
ANKRD26	92.05	108.9	98.04	361.04	55.89	103.69	46.5	353.59	11.38	3.72	0.0	0.3
ANKRD32	92.7	107.38	70.01	148.09	44.57	65.72	54.33	114.36	37.32	12.93	0.0	0.35
ARID3C	1.35	0.72	0.39	1.68	0.0	0.41	0.0	1.07	0.0	0.0	0.0	0.07
ASH2L	1023.0	921.88	830.75	1233.75	703.28	651.58	679.29	830.75	500.46	361.04	0.0	0.34
ASUN	406.31	414.87	371.22	543.96	303.44	395.18	325.29	486.75	325.29	109.66	0.0	0.62
ATAD5	29.7	30.56	20.26	55.1	20.56	20.11	17.9	38.67	5.06	0.39	0.0	0.46
BBS9	143.01	190.34	116.78	318.57	107.38	169.07	143.01	202.66	127.0	82.29	0.0	0.09
C15orf65	205.5	242.88	120.1	293.07	113.56	323.03	63.89	105.15	100.13	35.5	0.0	0.0
C17orf99	1.27	2.68	0.0	5.45	1.64	1.51	0.0	3.03	0.83	0.0	0.0	0.16
C1orf101	27.64	31.22	16.51	51.35	11.13	14.56	11.82	17.25	6.67	1.48	0.0	0.15
C1orf168	241.19	105.15	15.45	395.18	8.58	169.07	7.0	40.07	5.96	3.41	0.0	0.12
C3orf52	242.88	373.81	185.11	808.0	85.82	271.48	68.55	703.28	34.02	67.12	0.0	0.12
C5	89.51	122.64	76.71	161.02	46.18	107.38	25.35	106.63	40.64	32.36	0.0	0.15
C5orf54	105.15	114.36	69.52	201.25	125.24	112.77	35.25	67.59	45.21	18.43	0.0	0.0
C9orf72	134.3	139.07	77.25	211.31	113.56	167.9	98.73	167.9	182.55	55.89	0.0	0.61
CCT6A	3665.02	3847.29	2935.74	5831.91	1832.01	2468.49	2367.9	2720.15	2335.28	1721.16	0.0	1.19
CDC42EP3	909.17	890.44	387.02	1519.15	212.78	791.35	1051.79	909.17	583.07	223.41	0.0	0.61
CDHR3	348.71	47.84	26.28	1322.37	72.01	285.03	2.2	61.25	28.86	24.63	0.0	0.0
CDR2	1159.07	813.63	684.02	1594.73	633.73	728.11	392.44	934.76	473.41	334.46	0.0	0.09
CDYL	466.88	503.95	450.94	514.56	236.21	318.57	318.57	529.06	255.0	149.12	0.0	0.65
CENPH	249.73	144.01	127.0	339.14	87.03	127.89	89.51	224.97	57.49	21.32	0.0	0.25
CEP57	642.59	599.49	480.04	941.27	511.0	507.46	532.74	769.69	198.47	44.57	0.0	0.32
CEP57L1	149.12	205.5	137.14	307.69	147.06	183.82	133.36	228.13	82.87	23.25	0.0	0.29
CEP85	206.94	281.09	151.22	273.37	113.56	242.88	100.13	223.41	106.63	112.77	0.0	0.6
CMC1	995.0	974.5	819.3	1111.82	759.08	1135.2	629.35	718.08	848.22	607.87	0.0	0.66
CNOT10	656.11	651.58	511.0	728.11	450.94	529.06	397.93	579.04	314.17	143.01	0.0	0.36
CORO6	152.28	35.76	4.86	679.29	92.7	16.63	12.18	96.01	39.22	23.93	0.0	1.31
DARS2	708.18	603.67	291.04	1001.93	500.46	348.71	181.28	629.35	305.55	180.02	0.0	0.19
DDX50	693.58	684.02	536.45	896.64	728.11	688.78	551.56	866.07	507.46	148.09	0.0	0.49
DDX59	802.41	738.29	521.76	995.0	536.45	759.08	301.33	802.41	273.37	73.54	0.0	0.21
DHX32	1216.75	1295.13	796.86	1417.35	708.18	665.29	599.49	808.0	384.34	281.09	0.0	0.54
DHX9	3257.52	2835.7	2287.2	3060.45	2319.15	2303.12	1883.54	3039.3	1685.71	1044.52	0.0	0.85
DKK4	24.11	8.06	0.0	104.42	0.87	31.22	9.34	2.14	0.0	0.0	0.0	0.0
DLG1	1250.98	934.76	579.04	1191.69	514.56	651.58	698.41	1111.82	301.33	132.44	0.0	0.91
DYX1C1	139.07	187.71	105.89	215.77	54.33	145.02	39.79	194.36	53.95	9.93	0.0	0.0
EDEM3	1923.14	1794.29	728.11	2417.67	909.17	909.17	435.55	748.61	217.27	70.01	563.18	63.89
EIF2A	2209.26	2451.44	1936.53	3589.58	2417.67	2976.74	2090.03	2148.82	1331.57	579.04	0.0	0.89
