	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.U3ZM.0426.SM.3DB73	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB	GTEX.POMQ.0526.SM.3GADD	GTEX.145LS.1226.SM.5Q5D9	GTEX.OHPM.0526.SM.2YUMJ
ABHD3	0.0	236.21	470.14	629.35	403.5	381.68	351.14	283.05	190.34	412.0	738.29	303.44	271.48	229.72
ACAD10	0.0	237.86	457.25	429.54	353.59	249.73	291.04	226.54	125.24	267.73	395.18	339.14	123.5	114.36
ACAP3	0.0	175.07	567.1	674.59	409.15	199.85	206.94	253.23	172.65	285.03	660.68	389.72	107.38	106.63
ACIN1	1322.37	1457.23	3257.52	2451.44	2434.5	1259.69	1242.34	1159.07	679.29	1397.83	3081.75	1896.65	813.63	1233.75
ACTR8	0.0	199.85	438.59	392.44	295.11	251.48	285.03	295.11	214.27	277.2	493.56	361.04	197.09	289.02
ADAP2	242.88	146.03	403.5	854.13	339.14	406.31	264.03	273.37	102.25	146.03	1073.91	656.11	130.6	131.51
ADCK5	0.0	56.28	178.77	202.66	126.12	84.63	98.04	121.79	42.41	67.12	194.36	128.79	32.82	57.08
AKR1A1	0.0	2627.46	5219.6	6745.86	5006.93	5076.84	4152.18	3847.29	2148.82	4639.29	7803.01	6516.03	2319.15	2434.5
AMDHD2	0.0	336.79	780.44	954.43	620.67	595.34	397.93	575.03	162.14	400.71	1104.13	703.28	127.0	226.54
AP5Z1	0.0	275.28	872.1	995.0	447.82	529.06	454.09	567.1	228.13	607.87	988.12	753.83	251.48	218.79
ARAP1	0.0	1583.71	5479.15	4328.55	3349.13	1407.55	1397.83	2303.12	1066.48	1857.6	5831.91	3060.45	1561.89	1378.57
ARHGAP9	0.0	358.54	954.43	547.75	808.0	679.29	381.68	417.77	175.07	791.35	2335.28	1628.26	167.9	518.15
ARHGEF11	218.79	387.02	769.69	665.29	785.88	363.56	379.04	420.68	206.94	329.84	1066.48	607.87	181.28	256.78
ASGR1	0.0	36.79	295.11	220.32	209.84	83.45	84.04	104.42	38.95	140.04	329.84	175.07	33.06	37.59
ATAD3B	0.0	215.77	281.09	303.44	149.12	110.43	104.42	120.1	117.6	260.38	329.84	256.78	187.71	208.38
ATPAF2	0.0	209.84	521.76	947.83	518.15	373.81	412.0	366.09	343.89	303.44	684.02	612.11	463.65	267.73
C15orf48	0.0	264.03	450.94	518.15	363.56	91.41	13.32	414.87	194.36	532.74	3124.78	1857.6	205.5	88.26
C16orf70	0.0	186.4	400.71	381.68	318.57	314.17	267.73	255.0	180.02	256.78	466.88	376.41	221.86	176.29
C1orf147	0.0	0.0	7.69	8.45	3.11	0.84	1.53	1.73	0.22	2.27	7.51	4.7	0.25	0.0
C1orf74	0.0	53.95	24.46	109.66	58.3	46.84	53.57	35.25	21.78	56.28	85.22	80.01	13.12	51.71
C20orf27	0.0	836.53	1127.35	1697.45	1304.15	890.44	791.35	791.35	447.82	928.3	1477.58	1268.46	316.37	603.67
CARD9	0.0	55.49	403.5	341.51	387.02	108.14	140.04	121.79	48.52	143.01	423.61	312.0	21.47	40.36
CATSPER3	0.0	5.5	12.74	8.78	18.7	8.71	4.5	6.11	3.69	10.0	19.82	15.34	10.88	9.2
