	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.BI.A0VS.01A.11R.A10U.07	TCGA.VS.A94X.01A.11R.A38B.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.CV.7421.01A.11R.2081.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.1399R.1226.SM.5P9GF	GTEX.1399T.0826.SM.5IFES	TCGA.77.8130.01A.11R.2247.07	GTEX.11WQK.2926.SM.5EQKT
A1CF	0.0	0.0	2.56	486.75	0.0	5913.33	2271.4	3540.14	2520.38	2163.77	0.0	0.27
ACAA2	85.82	514.56	947.83	3146.52	220.32	38164.99	73730.83	110983.6	30785.28	19892.37	403.5	220.32
ACADL	0.42	0.8	21.32	95.34	18.56	890.44	1044.52	2047.0	941.27	1023.0	3.76	2.16
ACSM2A	0.0	0.42	13.72	536.45	0.0	7695.57	9808.75	5441.3	14971.21	18178.19	0.0	1.2
ACSM2B	0.0	0.0	19.53	1008.9	0.0	14461.21	8538.88	19214.73	18052.61	23656.34	0.0	0.75
ADH1A	1.58	2.51	12.0	2004.85	7.69	130165.62	122293.5	154794.07	307450.64	205673.01	0.0	1.69
ADH4	0.0	0.0	28.45	2915.45	0.51	221968.2	38164.99	107948.72	375901.76	402881.61	0.0	6.89
AFM	0.0	0.0	3.26	476.71	0.0	19082.0	29124.6	35856.82	23330.64	66912.05	0.0	0.88
AGXT	0.43	0.0	30.78	2209.26	0.37	5147.73	136637.07	331809.5	76861.91	117311.73	0.53	2.14
AHSG	3.32	6.31	65.26	4181.07	0.68	123144.13	189257.69	162489.97	1187913.85	1318073.06	0.95	5.06
AKR1C4	0.25	0.58	3.72	909.17	0.69	52497.92	16727.26	42346.82	46339.95	23986.58	0.0	0.87
AKR1D1	0.0	0.0	4.98	149.12	1.06	14262.1	9409.14	12764.83	30151.71	13033.07	0.0	0.0
ALB	2.12	2.78	1015.93	208544.12	13.22	5.228884881E7	7.343680617E7	3.286389077E7	2.669377385E7	2.8412057E7	9.93	7.34
ALDH1A1	124.37	164.42	3280.18	5329.3	1322.37	54727.32	43537.38	41188.81	53230.77	25530.66	161.02	1397.83
ALDOB	0.47	0.88	131.51	5995.9	0.52	16727.26	402881.61	220434.95	327241.36	450134.56	0.0	4.62
AMBP	4.46	0.72	144.01	19482.97	5.11	550352.86	623486.02	440870.9	1155430.26	381149.17	0.71	11.73
ANGPTL3	4.9	0.89	11.91	525.39	0.0	65082.31	77934.88	29736.59	26614.89	36357.37	0.0	1.17
APCS	0.0	0.0	57.49	12764.83	0.0	89523.81	262143.0	100719.65	137587.47	67377.47	0.0	1.27
APOA1	2.41	3.38	414.87	40062.48	3.2	41763.8	2825352.59	1019901.63	1482909.4	3245478.02	0.92	6.94
APOA2	5.96	0.0	438.59	60723.88	0.0	92680.9	546551.29	265802.39	794671.01	5308966.95	6.26	4.98
APOA5	0.0	0.0	7.4	387.02	0.0	15180.22	102125.66	64186.29	118949.35	17558.94	0.0	0.33
APOB	0.0	0.0	19.25	1551.09	0.41	139508.13	99333.0	38164.99	102125.66	27363.16	0.47	0.13
APOC3	0.0	0.0	607.87	45072.75	0.0	97965.44	641014.63	2546350.23	1514068.5	1691649.38	0.0	3.32
APOF	0.0	0.31	10.16	234.57	0.0	39785.74	89523.81	36357.37	53973.86	17317.18	0.0	0.28
APOH	0.0	0.0	159.9	12076.21	0.87	7456151.83	3359929.59	1055868.42	2904784.09	828417.36	1.93	0.93
ASB4	0.57	1.27	5.96	3.66	2.84	32.13	138.1	45.85	72.52	10.08	0.62	4.62
ATG4A	215.77	182.55	454.09	242.88	178.77	723.08	271.48	234.57	297.17	277.2	178.77	329.84
B2M	111755.56	85876.94	162489.97	163620.18	105727.15	190574.09	397335.0	150561.19	309589.14	345900.08	87681.42	70238.75
BAAT	0.32	0.67	5.23	1870.53	1.04	6337.83	39510.91	22850.48	16045.82	16269.83	0.88	0.0
C8A	0.0	0.0	10.47	620.67	0.0	42346.82	19082.0	16157.44	57847.82	14461.21	0.0	0.32
C8B	0.0	0.0	11.13	802.41	0.0	36106.23	57448.23	37379.55	85876.94	21919.61	1.62	0.0
C9	0.0	0.0	22.59	1051.79	1.41	696613.03	320506.81	8538.88	286861.53	56265.94	0.0	1.01
CASP16	0.39	0.78	2.36	9.27	0.83	7.11	78.34	91.41	35.76	58.71	0.48	1.6
CDHR5	0.59	1.01	13.32	191.67	1.23	2303.12	8538.88	3768.09	11267.44	12415.75	0.67	1.07
CEACAM8	0.33	0.39	1.79	0.0	0.0	1.69	2.46	1.48	0.82	0.97	0.0	0.0
CFHR1	0.0	1.64	76.17	3540.14	6.73	170568.48	136637.07	100023.92	130165.62	43537.38	4.82	0.0
CFHR2	0.0	0.0	28.04	1733.13	0.0	228208.61	116501.39	85283.74	146444.06	149521.18	0.0	0.72
CFHR5	0.0	0.0	2.68	173.85	0.0	38697.77	1819.35	2434.5	30151.71	4836.35	0.0	0.0
CHAD	6.11	18.43	34.26	61.25	5.77	412.0	878.17	981.29	954.43	1923.14	5.45	21.47
CPB2	0.29	2.1	11.04	2193.99	0.0	109455.64	57448.23	40904.3	74760.09	34635.37	0.0	0.25
CREB3L3	0.0	1.01	9.13	679.29	0.37	8963.45	4239.45	3794.3	1819.35	2591.27	0.0	0.12
CRP	0.0	0.0	255.0	59474.18	2.25	134755.94	17927.91	4038.61	23492.92	27553.49	1.99	2.46
CYP2A6	0.72	0.0	67.12	813.63	0.0	417089.23	116501.39	149521.18	59063.35	141455.6	1.79	33.54
CYP2C9	0.0	0.44	15.34	1286.18	0.92	459592.86	116501.39	100719.65	231394.29	88905.42	0.55	7.63
CYP3A4	0.39	3.11	25.35	1407.55	7.34	971597.0	100719.65	142439.51	1108362.75	98646.85	0.57	7.06
CYP4A11	0.4	0.0	13.03	2384.37	0.0	33224.42	69753.56	88291.3	96616.71	82951.62	0.0	0.09
CYP4A22	0.37	0.0	3.03	466.88	0.0	4239.45	14361.31	9279.58	14765.09	33224.42	0.0	0.0
CYP7A1	0.31	0.0	2.03	7.82	0.0	836.53	974.5	1044.52	532.74	2555.58	0.38	0.0
DEFB132	0.0	0.0	0.27	2.14	0.0	2.89	2.05	0.0	12.64	1.71	0.0	0.0
DENND5B	90.77	31.67	248.0	76.17	39.5	273.37	104.42	161.02	113.56	163.28	70.51	37.32
DYNLL2	785.88	463.65	1286.18	647.07	603.67	738.29	802.41	813.63	1322.37	624.99	332.14	638.15
ESR1	157.68	58.3	215.77	14.67	3.86	629.35	1008.9	866.07	941.27	1242.34	7.94	1.01
F11	0.0	0.0	5.32	497.0	0.0	3039.3	11345.82	16727.26	11345.82	8901.53	1.23	0.0
F13B	0.0	0.0	2.46	98.73	0.0	20170.07	9344.14	18052.61	23330.64	8718.32	0.0	0.0
F2	0.0	0.0	40.07	2075.59	0.0	83528.61	311742.51	45701.96	767601.56	51062.33	1.3	1.1
F9	0.0	0.0	12.0	334.46	0.0	92040.7	76330.98	14561.8	63742.91	36106.23	0.0	0.4
FABP1	0.0	0.0	117.6	15824.9	1.68	221968.2	122293.5	506427.83	394590.4	1308968.45	0.0	1.53
FN3K	567.1	89.51	532.74	1037.29	229.72	412.0	2451.44	1896.65	2485.67	1651.0	73.03	140.04
G6PC	0.0	0.0	6.78	466.88	0.0	796.86	10883.59	6561.36	2796.65	1167.14	0.0	0.0
GC	0.0	0.0	52.82	14163.58	0.0	932018.1	573724.06	207103.59	641014.63	189257.69	0.0	1.1
GLOD5	4.17	1.11	8.65	22.75	1.13	86.43	277.2	674.59	559.28	529.06	6.57	0.27
GNAT1	1.6	0.97	9.27	6.84	0.89	3.89	3.23	2.14	3.96	15.34	1.0	5.59
GSTA2	0.0	0.82	10.71	19.68	0.39	71714.63	1883.54	140478.49	244588.0	11345.82	0.0	0.0
GYG2	2.25	31.22	221.86	23.93	47.84	995.0	371.22	1508.65	358.54	258.57	23.76	84.04
HAO1	0.0	0.0	3.82	567.1	0.0	20170.07	68318.04	56265.94	59474.18	44145.15	0.39	0.0
HAO2	0.0	0.36	8.99	397.93	1.27	11189.6	17927.91	17558.94	21919.61	20310.37	0.0	0.0
HPD	2.1	2.03	44.25	2758.13	3.41	1561.89	131071.0	85283.74	542775.98	50359.33	0.0	3.41
HPR	0.0	0.39	30.56	941.27	3.5	68318.04	4023444.33	21617.82	17078.76	44452.21	4.28	3.08
HPX	4.94	3.92	161.02	10883.59	6.16	241220.67	811368.76	153724.82	2126426.15	186652.11	9.48	9.13
HRG	2.2	0.0	69.03	4903.87	2.01	296977.71	3134925.09	402881.61	2945333.38	1800541.22	0.6	1.95
INS-IGF2	0.0	0.0	0.31	8.45	0.0	796.86	4869.99	1427.22	10808.41	371.22	0.0	0.0
ITIH1	0.0	8.58	61.68	3820.7	0.0	10883.59	72715.74	146444.06	131982.68	174152.51	1.48	0.54
ITIH2	0.17	0.0	13.12	10296.45	2.46	169390.27	154794.07	39510.91	175363.84	66912.05	2.53	0.44
KNG1	0.32	0.68	43.32	3395.89	1.08	331809.5	271387.49	205673.01	542775.98	296977.71	0.43	0.16
KRT222	0.26	0.3	37.59	3.08	1.0	170.25	138.1	100.13	217.27	329.84	0.0	2.07
LBP	0.0	0.83	17.9	2240.11	6.84	42346.82	22072.07	10585.95	41763.8	12676.65	1.85	8.78
MIA2	1.23	0.95	4.46	20.41	0.0	341.51	309.83	123.5	244.57	106.63	0.0	0.0
MOGAT3	0.0	0.32	1.46	31.0	0.0	55.89	159.9	198.47	616.37	848.22	0.0	0.0
MUC6	4.9	2.01	8.38	39.5	0.0	7.34	265.87	2.78	12.0	723.08	0.44	3.2
ORM1	2.18	0.69	595.34	63302.6	28.65	2748093.15	1131651.83	299043.36	716197.51	408505.64	115.97	7.94
ORM2	0.0	1.03	178.77	13968.57	1.3	589853.66	284880.02	102125.66	422911.59	254974.66	42.41	2.14
OTC	0.0	0.0	4.24	241.19	0.0	14971.21	17317.18	30572.63	44761.41	14867.79	0.0	0.0
