	GTEX.P4QT.0626.SM.3NMCP	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.N6.A4VD.01A.11R.A28V.07	GTEX.RWS6.1326.SM.47JXB	GTEX.RU72.2626.SM.4TT75
AARSD1	780.44	426.57	884.29	909.17	559.28	1233.75	1572.76	1407.55	1605.83	4671.57
AC012123.1	0.0	0.35	0.0	0.0	0.01	14.89	20.86	3.96	18.84	145.02
AC018470.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.78
AC135178.1	18.97	2.41	4.28	0.0	0.4	75.11	83.45	47.17	95.34	162.14
ADAM29	0.38	0.0	0.0	0.0	0.01	8.45	3.41	0.6	3.96	12.0
ADAMTS5	42.71	1.04	1.17	0.0	0.28	423.61	175.07	22.26	34.02	674.59
ADAMTSL3	23.25	4.78	2.34	0.0	0.34	177.53	144.01	8.38	153.34	373.81
ADRA2C	21.78	53.95	17.64	0.0	0.48	2682.69	1628.26	19.82	9474.59	3280.18
AKR1CL1	2.61	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	23.42
ANKRD30BL	0.0	0.0	0.0	0.0	0.0	11.47	10.24	0.0	27.25	38.12
AP001362.1	0.0	4.17	0.0	0.0	0.0	21.01	7.22	13.42	0.0	1119.56
ARMC9	63.89	36.79	42.71	0.0	0.0	420.68	412.0	339.14	441.64	1769.57
BEX2	346.29	78.34	226.54	0.0	0.35	1745.2	2720.15	1044.52	3982.99	9673.69
C14orf132	176.29	5.11	28.45	0.0	0.29	603.67	400.71	137.14	909.17	1561.89
C1orf168	50.27	0.0	2.53	0.0	0.12	181.28	221.86	15.11	3280.18	5913.33
C2orf27B	0.0	0.0	0.0	0.0	0.0	0.0	1.66	2.01	0.0	5.82
C5orf20	5.73	0.58	0.0	0.0	0.0	2.32	1.53	3.41	0.0	12.36
CA8	303.44	0.51	1.08	0.0	0.16	412.0	273.37	366.09	12160.22	5954.47
CACNA1C	71.0	1.46	2.1	0.0	0.62	497.0	320.8	62.12	287.01	872.1
CCL3L3	0.79	15.34	10.55	0.0	0.0	15.45	0.0	7.94	14.56	1199.98
CCL4L2	15.22	32.13	25.54	0.0	0.0	64.8	35.25	51.71	0.0	854.13
CDR2L	309.83	24.99	137.14	155.5	121.79	1242.34	460.44	368.65	674.59	4328.55
CFC1	616.37	0.0	0.0	0.0	0.0	50.98	29.91	1.69	2351.53	133.36
CFI	314.17	8.06	26.67	0.0	0.45	2400.97	1685.71	1143.1	3124.78	5913.33
CLCF1	251.48	69.03	356.05	0.0	0.56	890.44	616.37	195.72	400.71	2591.27
CLDN3	229.72	0.0	1.2	91.41	529.06	1073.91	1457.23	2816.11	113315.62	20030.74
CLEC4M	6.06	0.0	0.0	0.0	0.07	67.12	36.01	0.0	94.01	164.42
CLEC9A	5.92	0.37	2.05	0.0	0.02	8.65	6.26	2.41	3.5	46.18
CTAGE4	0.0	0.0	0.0	0.0	0.0	18.43	0.84	33.3	0.0	117.6
CTF1	69.03	37.32	31.67	253.23	215.77	708.18	723.08	133.36	493.56	1447.15
CTNNA2	1.22	0.0	0.82	0.0	0.0	273.37	166.73	86.43	9474.59	1159.07
