	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RF.01A.13R.A336.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7180.01A.11R.2016.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.UF.A719.01A.12R.A34R.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ADAD2	9.56	3.38	62.56	366.09	140.04	532.74	208.38	236.21	450.94	283.05	2.12	2.97	10.55	3.38	32.59	8.58	43.94	0.0	0.2	429.54	173.85	228.13	106.63	190.34
ADAMTSL5	63.0	182.55	713.11	1044.52	547.75	802.41	995.0	1359.57	1397.83	1015.93	299.25	131.51	305.55	406.31	529.06	178.77	153.34	119.26	518.15	981.29	387.02	1225.22	547.75	540.19
ADH1B	0.62	0.97	16.75	642.59	323.03	145.02	47.84	285.03	1519.15	1331.57	1.51	0.0	0.0	0.0	1.27	3.35	14.24	0.0	0.69	150.17	221.86	256.78	723.08	376.41
AIM1	295.11	397.93	39785.74	16611.71	12502.12	50011.46	11664.82	4450.27	3039.3	61571.56	733.19	1096.5	1216.75	346.29	703.28	195.72	1151.06	0.0	0.45	3349.13	2915.45	3589.58	4450.27	5403.7
ARHGAP27	152.28	299.25	6294.04	8963.45	4095.0	14561.8	13123.73	2875.3	4639.29	21768.19	493.56	409.15	212.78	162.14	1378.57	98.73	819.3	0.0	1.03	2520.38	1208.34	2895.31	2520.38	1674.06
ARHGAP32	125.24	153.34	1295.13	1104.13	890.44	1832.01	1259.69	1936.53	981.29	1709.26	287.01	332.14	138.1	71.5	406.31	37.85	332.14	47.17	189.02	2133.97	866.07	1651.0	1286.18	909.17
ATOH8	21.01	11.47	4.54	215.77	77.25	69.52	60.39	98.73	141.02	75.11	9.41	16.51	2.1	0.93	7.34	14.78	45.85	0.0	0.44	39.22	155.5	21.32	98.04	102.97
CAMK2G	341.51	234.57	414.87	1322.37	928.3	1250.98	947.83	3235.01	1733.13	1159.07	303.44	312.0	264.03	249.73	384.34	269.6	218.79	0.0	0.55	441.64	423.61	836.53	536.45	327.56
CCL16	0.0	0.0	0.91	9.34	7.82	6.11	3.23	10.88	21.32	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	2.86	1.68	0.32	0.37	1.06
CD300LG	0.0	0.0	13.72	25.35	21.94	5.82	1.62	20.71	13.22	6.31	0.0	0.0	0.0	0.0	0.72	0.0	3.06	0.0	0.0	21.78	14.14	7.82	13.03	8.99
