	TCGA.AD.6888.01A.11R.1928.07	TCGA.G4.6625.01A.21R.1774.07	TCGA.AD.6890.01A.11R.1928.07	TCGA.AA.3506.01A.01R.1410.07	TCGA.AY.A8YK.01A.11R.A41B.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AARSD1	1757.34	1030.12	2271.4	1572.76	1697.45	656.11	633.73	616.37	909.17	591.22	500.46	909.17	559.28
AATF	8191.0	1427.22	1991.0	1417.35	1572.76	486.75	633.73	435.55	555.41	521.76	642.59	0.0	0.77
ABCA2	872.1	629.35	872.1	327.56	368.65	490.14	571.05	708.18	872.1	638.15	674.59	0.0	0.84
ABCB7	466.88	412.0	409.15	381.68	507.46	329.84	406.31	281.09	432.53	291.04	316.37	0.0	0.61
AC006449.1	3018.3	480.04	620.67	1023.0	285.03	118.43	38.12	40.64	35.0	54.72	39.79	0.0	0.48
AC021218.2	169.07	102.25	165.57	190.34	351.14	40.93	23.08	15.91	0.0	25.35	33.54	0.0	0.0
AC106876.2	403.5	131.51	258.57	84.04	457.25	90.14	187.71	86.43	164.42	202.66	105.89	0.0	0.0
AC135048.1	48.18	26.86	68.07	52.45	45.21	8.78	9.93	5.96	7.51	23.76	8.85	0.0	0.75
AC138969.4	1498.22	3589.58	2855.44	1467.37	2758.13	92.05	825.0	185.11	80.57	212.78	147.06	0.0	1.11
AC174470.1	134.3	94.01	3.96	26.86	102.97	6.84	7.28	13.12	6.41	0.0	6.21	0.0	0.55
ACACA	3690.52	567.1	872.1	575.03	1030.12	336.79	318.57	409.15	173.85	167.9	358.54	0.0	0.03
ACOT11	753.83	172.65	329.84	1066.48	346.29	181.28	46.84	0.1	12.55	3.17	9.78	0.0	0.19
ADCK1	454.09	232.94	301.33	220.32	220.32	38.12	89.51	90.14	88.26	67.12	55.89	0.0	0.19
AGAP3	3467.27	2351.53	2720.15	1322.37	1870.53	1295.13	698.41	1023.0	954.43	866.07	579.04	0.0	1.06
AL035252.1	3639.7	3124.78	2047.0	878.17	1806.78	426.57	223.41	175.07	529.06	291.04	341.51	0.0	0.0
ANKRD13B	514.56	679.29	327.56	231.32	406.31	1.75	12.74	5.06	16.03	20.26	26.67	105.15	161.02
ANKRD23	256.78	92.05	85.82	63.0	194.36	14.45	15.68	22.1	11.82	11.91	13.12	0.0	0.74
ANKS6	780.44	633.73	400.71	575.03	376.41	42.11	83.45	17.77	55.49	74.06	37.59	0.0	0.37
AQP12A	23.59	20.11	32.13	53.19	87.65	3.53	1.39	0.0	1.77	2.25	0.54	0.0	0.0
ARVCF	819.3	460.44	435.55	341.51	493.56	253.23	273.37	118.43	318.57	397.93	246.28	0.0	0.57
ATRIP	199.85	175.07	316.37	143.01	128.79	36.79	65.26	82.29	119.26	81.14	61.25	0.0	0.0
BCL2L14	571.05	130.6	48.18	884.29	191.67	3.76	10.24	9.34	37.59	11.82	3.11	0.0	0.02
BRSK2	457.25	224.97	17.0	279.14	119.26	0.0	1.27	0.0	0.19	19.68	0.6	0.0	0.58
C17orf96	825.0	140.04	281.09	237.86	277.2	56.28	27.64	53.95	12.83	24.81	19.97	0.0	0.33
C19orf12	1073.91	361.04	287.01	483.38	303.44	583.07	759.08	389.72	470.14	616.37	1015.93	0.0	0.59
C6orf223	1277.29	373.81	764.36	414.87	490.14	0.0	3.23	3.44	0.0	1.22	1.38	0.0	0.0
CALML4	2537.92	860.08	2758.13	1191.69	825.0	1119.56	379.04	426.57	669.92	244.57	457.25	0.0	0.47
CAMKMT	289.02	221.86	228.13	186.4	208.38	122.64	78.34	110.43	75.64	115.16	77.25	0.0	0.42
CARS	1883.54	947.83	1073.91	1175.27	1529.73	287.01	325.29	454.09	555.41	423.61	309.83	0.0	0.52
CCDC12	1857.6	1605.83	2645.74	1572.76	1498.22	1135.2	884.29	1037.29	1127.35	1388.16	1066.48	0.0	0.75
CCDC136	199.85	58.71	61.68	92.7	151.22	3.11	7.82	1.85	27.84	1.19	2.01	0.0	0.53
CCDC174	454.09	323.03	476.71	356.05	297.17	178.77	211.31	173.85	285.03	258.57	162.14	0.0	0.14
CCDC88B	1594.73	1088.92	3639.7	624.99	1561.89	134.3	190.34	194.36	518.15	211.31	185.11	0.0	0.79
CCNE1	2004.85	283.05	217.27	660.68	303.44	1.19	6.89	3.86	18.7	3.06	8.51	0.0	0.51
CDC42BPG	287.01	87.65	135.24	68.55	248.0	28.65	33.3	1.57	46.84	12.64	14.78	0.0	0.43
CISD3	10368.08	1923.14	3146.52	3280.18	2502.97	6699.25	3168.41	5403.7	4575.41	5751.61	2895.31	0.0	0.38
CORO7	872.1	1175.27	698.41	684.02	1216.75	132.44	218.79	159.9	299.25	195.72	195.72	0.0	0.83
DGKQ	376.41	361.04	447.82	387.02	934.76	62.12	77.25	74.06	73.03	39.79	61.25	0.0	0.74
DHX30	890.44	1127.35	1340.84	1111.82	941.27	480.04	551.56	476.71	493.56	497.0	470.14	848.22	314.17
DPY19L3	341.51	220.32	115.97	163.28	209.84	52.82	93.35	50.27	74.06	61.68	52.45	75.11	72.01
DUSP8	551.56	423.61	171.45	358.54	571.05	13.12	33.54	35.76	231.32	34.26	27.25	0.0	0.28
ENTPD6	3372.43	5112.16	3103.19	3212.66	3257.52	540.19	733.19	511.0	733.19	536.45	521.76	0.0	1.1
EPS8L3	2664.15	1008.9	7695.57	6381.92	7180.15	0.23	51.71	0.0	0.58	0.0	11.82	0.0	0.18
EVX1	50.98	8.13	32.13	177.53	76.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
FAM131B	59.55	36.53	13.93	17.51	28.24	4.43	4.78	0.4	3.92	3.96	3.79	0.0	0.21
FAM160A2	1617.0	1175.27	1819.35	1427.22	1250.98	733.19	486.75	684.02	921.88	830.75	587.13	0.0	0.77
FAM73B	457.25	599.49	540.19	438.59	486.75	293.07	172.65	169.07	202.66	232.94	135.24	0.0	0.97
FGF18	55.1	20.11	17.0	85.22	95.34	0.0	6.36	7.69	1.95	2.66	0.0	0.0	0.17
GGA3	579.04	718.08	698.41	1008.9	954.43	193.01	307.69	111.21	199.85	147.06	201.25	0.0	1.0
GPR17	67.12	39.22	69.03	24.11	73.03	5.73	15.91	4.28	32.13	55.1	8.51	0.0	0.58
GPR35	2434.5	748.61	1769.57	2148.82	1467.37	20.26	16.51	7.0	89.51	12.64	12.64	0.0	0.71
GTF2H1	642.59	624.99	423.61	473.41	490.14	260.38	343.89	193.01	265.87	312.0	218.79	0.0	0.49
GTF2IRD1	2351.53	1388.16	1540.37	1605.83	2047.0	363.56	37.05	90.77	132.44	108.9	72.01	0.0	0.21
GUCA2B	62.56	120.94	0.27	128.79	45.53	902.89	1104.13	72.52	170.25	126.12	135.24	0.0	0.0
HMCN2	147.06	341.51	81.14	211.31	186.4	318.57	22.59	76.17	50.63	56.68	12.64	0.0	0.37
HOXA10	1286.18	909.17	974.5	620.67	759.08	1.89	7.22	1.55	0.12	10.55	0.0	0.0	0.46
