	TCGA.GU.A766.01A.11R.A32O.07	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.86.8281.01A.11R.2287.07	TCGA.66.2790.01A.01R.0980.07	TCGA.22.5478.01A.01R.1635.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.XQ.A8TA.01A.11R.A36G.07
ADA	2739.08	42.71	42.71	153.34	1104.13	748.61	791.35	103.69	941.27	113.56	18.29	80.57
AIM2	3614.55	1.01	1.01	33.78	1477.58	796.86	872.1	45.53	587.13	54.33	0.52	0.0
APOL3	2976.74	136.19	136.19	253.23	1529.73	2119.22	1844.76	339.14	723.08	265.87	102.97	58.71
APOL6	356.05	29.91	29.91	688.78	426.57	1127.35	1081.39	132.44	332.14	122.64	55.49	5.59
BAK1	3039.3	379.04	379.04	1427.22	1674.06	2520.38	2271.4	708.18	1447.15	620.67	128.79	406.31
BATF2	4298.64	1.95	1.95	180.02	1096.5	674.59	1119.56	101.54	253.23	46.84	8.58	4.62
BST2	25887.07	239.52	239.52	71219.26	16960.78	8305.36	11584.24	1651.0	11267.44	1331.57	194.36	127.0
BTN3A1	642.59	74.06	74.06	204.07	559.28	1191.69	540.19	384.34	988.12	289.02	127.0	202.66
BTN3A2	1044.52	125.24	125.24	397.93	547.75	2255.7	642.59	438.59	728.11	366.09	78.34	224.97
BTN3A3	579.04	25.17	25.17	181.28	500.46	1259.69	567.1	214.27	753.83	229.72	86.43	107.38
C19orf35	24.11	0.66	0.66	2.51	15.0	18.43	14.35	6.94	8.13	7.06	1.64	1.45
C19orf66	2224.63	150.17	150.17	921.88	1295.13	802.41	785.88	633.73	543.96	389.72	368.65	47.84
C1orf68	47.17	0.0	0.04	0.0	33.54	20.11	5.92	0.0	7.34	0.0	0.0	0.0
C5orf56	490.14	46.5	46.5	68.55	447.82	218.79	141.02	177.53	185.11	52.82	125.24	114.36
CASP5	301.33	0.0	0.0	4.06	50.27	54.72	42.71	2.16	19.25	6.11	0.0	1.91
CCL2	10733.74	21.32	21.32	7032.37	2400.97	3742.05	1832.01	703.28	7589.61	2468.49	98.73	180.02
CCL4	1977.24	6.41	6.41	117.6	1250.98	1096.5	780.44	88.26	529.06	151.22	16.75	18.56
CCL8	6887.62	0.27	0.27	51.35	435.55	264.03	185.11	18.29	172.65	25.54	2.63	4.31
CD247	412.0	57.49	57.49	170.25	244.57	607.87	211.31	103.69	143.01	91.41	6.84	9.7
CD7	1427.22	21.78	21.78	381.68	796.86	1407.55	1008.9	116.78	409.15	291.04	5.63	4.62
CD74	180294.02	1508.65	1508.65	11745.96	153724.82	150561.19	84694.64	21617.82	47642.77	36106.23	4869.99	3419.52
CIITA	607.87	6.94	6.94	58.3	559.28	525.39	325.29	135.24	236.21	124.37	29.91	13.93
CLEC4C	17.13	0.0	0.0	0.0	2.97	20.56	6.57	1.99	6.57	0.75	0.0	0.0
CSF3	2520.38	0.0	0.0	0.39	53.57	164.42	723.08	8.65	66.18	18.43	0.0	1.27
CTC-479C5.12	295.11	11.64	11.64	12.18	149.12	35.5	109.66	39.22	58.3	34.51	10.0	110.43
