	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3T0.11A.12R.A22L.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.13QJC.0826.SM.5RQKC
ABCB11	5.19	1.46	0.0	1.73	0.0	0.0	0.3	0.33	0.0	0.0	0.82	7.22	1.31	1.36
AC114546.1	397.93	967.76	381.68	497.0	193.01	137.14	190.34	329.84	0.0	0.56	543.96	559.28	387.02	587.13
ACAP1	1242.34	532.74	147.06	285.03	146.03	71.0	67.12	187.71	0.0	0.66	400.71	684.02	878.17	2090.03
C19orf18	24.46	41.52	3.35	17.0	1.99	2.23	2.76	4.66	0.0	0.35	35.76	28.04	53.57	61.68
C1QTNF9	19.25	52.45	1.33	2.46	0.66	1.25	0.0	0.99	0.0	0.0	4.43	7.17	4.5	3.99
C9orf139	15.56	0.0	0.35	3.56	0.0	0.33	0.0	0.35	0.0	0.52	10.31	11.04	17.38	11.3
C9orf40	135.24	242.88	18.97	41.22	13.52	41.22	15.56	38.95	0.0	0.38	47.17	73.03	60.39	69.52
CADM2	11.64	16.51	0.31	9.63	0.0	0.0	0.58	0.0	0.0	0.14	1.08	10.0	7.4	3.26
CD2	1561.89	476.71	54.33	186.4	10.55	13.72	7.46	100.83	0.0	0.27	271.48	665.29	426.57	3039.3
CD79A	4607.24	4.1	18.56	1769.57	10.88	3.69	2.39	10.08	0.0	0.28	351.14	1388.16	1044.52	11664.82
CD96	503.95	137.14	11.47	63.45	5.15	9.85	4.21	53.95	0.0	0.15	129.69	323.03	217.27	860.08
COPS5	1143.1	2075.59	796.86	1044.52	708.18	802.41	866.07	872.1	0.0	0.77	1183.45	1066.48	1051.79	1183.45
CYTIP	1457.23	329.84	64.34	348.71	21.94	22.75	18.29	125.24	0.0	0.41	189.02	723.08	480.04	1745.2
DDX60L	376.41	825.0	144.01	183.82	138.1	147.06	79.45	164.42	0.0	0.61	173.85	170.25	201.25	293.07
DEF6	988.12	224.97	72.01	327.56	40.64	21.01	20.11	115.16	0.0	0.42	260.38	669.92	607.87	1397.83
