	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	TCGA.B0.4700.01A.02R.1541.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B8.4620.01A.02R.1325.07	TCGA.38.4625.01A.01R.1206.07
AC006132.1	0.92	1.89	12.09	7.94	4.46	18.97	3.29	0.0	17.77	6.94	84.63	69.03	167.9	31.22	35.25	29.7	161.02	0.0
AC107021.1	1.19	3.38	4.39	7.22	1.99	8.45	1.53	1.79	4.86	6.11	9.48	9.63	40.93	7.63	19.25	3.29	101.54	0.0
AL033381.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.82	2.34	1.22	1.5	1.83	1.19	0.0
ALPK2	17.13	31.45	7.34	40.93	5.02	12.0	11.3	87.03	6.78	4.24	217.27	607.87	403.5	351.14	343.89	363.56	536.45	0.0
AMACR	299.25	186.4	500.46	267.73	164.42	403.5	105.89	164.42	206.94	79.45	1127.35	624.99	1487.87	1340.84	902.89	2255.7	1295.13	0.0
ANGPT2	51.35	397.93	208.38	307.69	84.04	271.48	229.72	46.84	371.22	275.28	967.76	1225.22	802.41	1572.76	1081.39	866.07	2645.74	85.82
ANXA4	1350.18	1191.69	2875.3	1519.15	1081.39	2367.9	629.35	1030.12	1721.16	2075.59	10154.69	11584.24	20310.37	18052.61	11112.3	19618.49	19892.37	0.0
ARSE	2.36	5.06	32.59	3.14	3.72	6.57	2.43	4.5	5.68	19.97	947.83	567.1	1757.34	1167.14	928.3	974.5	703.28	0.0
ASPHD1	0.91	1.85	18.16	2.92	15.56	107.38	1.22	1.19	16.75	54.33	476.71	269.6	836.53	293.07	205.5	163.28	995.0	0.0
B4GALNT1	21.94	33.54	50.63	16.03	49.56	19.25	1.75	3.44	49.91	68.55	151.22	53.95	29.27	229.72	108.14	96.68	2004.85	0.0
BHMT	8.78	4.58	4.7	3.79	9.34	0.78	11.73	4.17	10.71	2.68	878.17	688.78	2835.7	2591.27	1104.13	2255.7	2627.46	0.0
BTBD16	1.25	0.0	1.55	0.0	0.29	2.66	0.0	0.96	0.0	6.36	111.99	47.84	244.57	118.43	82.87	32.82	896.64	0.0
C14orf105	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.16	0.0	0.13	981.29	872.1	1030.12	1991.0	438.59	2502.97	981.29	0.0
C19orf81	0.0	0.0	2.51	2.56	4.74	2.05	0.0	0.0	3.44	2.66	15.11	34.02	171.45	39.22	0.0	97.36	105.89	0.0
C1orf186	37.59	35.25	5.68	18.97	53.95	22.92	24.99	9.56	28.45	4.94	2148.82	361.04	2255.7	616.37	1088.92	2739.08	490.14	0.0
C2orf81	9.93	16.39	47.17	16.03	36.53	48.18	7.82	6.94	32.82	42.71	93.35	124.37	164.42	101.54	106.63	152.28	172.65	0.0
