	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.E2.A158.01A.11R.A12D.07	GTEX.TML8.0726.SM.4DXTT	TCGA.VS.A957.01A.11R.A42T.07	TCGA.JY.A6F8.01A.11R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.AJ.A3NG.01A.11R.A22K.07	TCGA.D1.A3JQ.01A.11R.A22K.07	TCGA.FL.A1YQ.11A.11R.A32Y.07	GTEX.RWS6.1326.SM.47JXB	GTEX.T2IS.2226.SM.4DM65	GTEX.QCQG.1326.SM.48U24	GTEX.PX3G.2026.SM.48U1H
ABCD2	0.0	1.25	164.42	0.29	0.0	0.0	2.78	0.96	6.78	31.0	33.78	69.52	31.45	19.25
ABCG2	20.71	19.68	995.0	13.93	29.91	0.0	47.5	34.02	93.35	348.71	713.11	1551.09	420.68	476.71
ADAM29	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.59	0.0	4.21	3.96	2.27	5.28	2.76
ALDH1A2	88.88	4.28	1233.75	16.51	2.78	0.0	392.44	123.5	323.03	4419.52	13872.08	1073.91	14262.1	7642.41
ANK2	0.89	21.32	7966.99	0.84	7.46	0.0	87.03	75.64	87.03	723.08	59.55	1540.37	81.14	483.38
ARHGEF15	16.88	43.94	400.71	18.97	92.7	0.0	156.59	110.43	58.71	567.1	105.89	642.59	131.51	713.11
ASPA	0.0	1.35	325.29	0.0	0.47	0.0	3.0	3.03	4.28	63.89	80.57	127.0	86.43	32.13
B3GNT9	224.97	305.55	1883.54	182.55	199.85	0.0	258.57	162.14	265.87	684.02	571.05	551.56	351.14	607.87
C1QTNF4	2.58	1.27	114.36	1.25	7.69	0.0	11.47	9.56	15.34	175.07	130.6	267.73	64.8	336.79
C1QTNF7	1.73	1.75	909.17	0.0	6.06	0.0	150.17	34.75	81.71	223.41	336.79	241.19	41.81	307.69
C2CD4C	2.58	10.0	759.08	2.76	5.68	0.0	19.82	7.17	3.99	190.34	87.65	1119.56	27.64	48.52
C3orf72	1.43	0.0	361.04	1.58	0.0	0.0	105.15	47.84	54.72	423.61	1081.39	493.56	1628.26	194.36
CBLN4	0.0	0.26	921.88	0.0	0.0	0.0	5.96	1.48	10.31	106.63	65.26	20.11	38.95	15.34
CCL14	2.94	30.12	5555.65	6.52	193.01	0.0	532.74	248.0	214.27	764.36	4010.71	693.58	122.64	6607.01
CD248	89.51	94.01	9409.14	35.25	253.23	0.0	872.1	291.04	934.76	5633.22	4419.52	2271.4	11035.54	1572.76
CLEC3B	76.17	62.12	5366.37	23.08	96.68	0.0	748.61	111.99	127.89	2018.8	3491.39	2997.45	514.56	4123.49
CNRIP1	14.14	36.53	1350.18	13.93	86.43	0.0	169.07	80.01	115.97	830.75	743.43	518.15	253.23	780.44
COL14A1	15.8	43.63	15392.14	4.03	58.3	0.0	457.25	271.48	120.1	1295.13	94.67	1015.93	775.05	5954.47
CPXM1	10.08	21.47	17558.94	5.45	13.42	0.0	1991.0	384.34	1457.23	8718.32	4512.4	8963.45	13215.02	12589.08
CPZ	7.34	10.16	11035.54	18.84	8.06	0.0	738.29	95.34	295.11	2855.44	1857.6	518.15	2061.24	1127.35
CUBN	0.87	7.94	20.71	2.25	2.43	0.0	17.13	17.51	4.74	42.71	48.18	9.27	21.16	9.27
CXCL12	17.0	316.37	119776.72	23.25	102.25	0.0	1286.18	285.03	301.33	4095.0	16157.44	209994.66	1175.27	37901.36
DACT3	9.78	18.56	559.28	7.57	8.78	0.0	226.54	83.45	55.1	679.29	967.76	2997.45	392.44	1322.37
