	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.YJ8O.2226.SM.5IFHW	GTEX.12WSB.0626.SM.59HJO	TCGA.VS.A958.01A.11R.A42T.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.91.6830.01A.11R.1949.07	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8089.01A.11R.2241.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW	GTEX.S7SF.0626.SM.4AD4V
ABCA10	3.11	57.89	125.24	447.82	305.55	389.72	669.92	197.09	429.54	759.08	9.34	4.82	46.18	0.0	27.84	0.44	67.59	36.27	115.97
ABCA8	0.95	1.46	403.5	1487.87	563.18	698.41	1529.73	1295.13	1733.13	4328.55	0.0	0.95	299.25	0.0	26.47	0.39	316.37	143.01	723.08
ABCA9	0.34	2.61	92.05	348.71	220.32	265.87	348.71	518.15	295.11	1066.48	1.01	4.62	87.03	0.0	13.22	0.28	41.22	23.08	211.31
ABLIM3	813.63	21.01	460.44	1216.75	825.0	764.36	3847.29	4388.98	3742.05	6337.83	22.1	45.21	463.65	0.0	204.07	0.71	173.85	106.63	246.28
AC007382.1	69.03	47.84	66.18	75.64	84.04	49.21	135.24	189.02	316.37	256.78	0.0	47.84	44.25	0.0	19.68	0.0	0.0	0.0	92.05
ADAMTS1	32.82	71.5	1331.57	1870.53	802.41	1508.65	1794.29	4123.49	7749.1	4010.71	71.0	53.57	563.18	0.0	447.82	0.56	320.8	1191.69	607.87
ADAMTS18	0.0	0.0	6.78	63.89	20.11	100.13	224.97	260.38	60.82	343.89	0.25	0.0	2.63	0.0	0.0	0.04	0.38	0.34	0.97
ADCYAP1R1	0.0	0.0	89.51	111.21	72.52	81.71	323.03	63.89	244.57	120.94	0.0	0.97	8.85	0.0	1.38	0.01	23.25	6.21	89.51
ADRB2	5.23	4.03	186.4	303.44	191.67	271.48	417.77	785.88	414.87	967.76	114.36	18.56	129.69	0.0	76.17	0.21	295.11	96.01	412.0
AL590822.1	0.32	0.3	4.9	5.45	11.64	8.58	29.06	28.24	30.12	29.48	0.45	6.52	11.38	0.0	7.63	0.08	6.84	1.58	9.13
ANO6	384.34	693.58	884.29	1662.49	1250.98	1023.0	1685.71	1977.24	2555.58	1896.65	339.14	198.47	995.0	397.93	612.11	66.18	392.44	320.8	1216.75
AQPEP	1.83	0.87	21.78	138.1	73.03	35.0	139.07	88.26	303.44	154.42	0.0	1.81	13.32	0.0	2.01	0.34	19.25	7.69	13.22
ARHGEF15	14.03	32.13	447.82	1030.12	384.34	579.04	1015.93	836.53	1167.14	2367.9	37.05	34.75	339.14	0.0	107.38	0.29	68.07	109.66	149.12
ATOH8	2.53	17.51	155.5	769.69	366.09	327.56	373.81	457.25	723.08	1551.09	14.45	46.18	262.2	0.0	157.68	0.44	258.57	47.17	251.48
ATP1A2	0.0	0.0	80.01	371.22	228.13	167.9	111.21	813.63	1151.06	808.0	0.46	1.16	73.03	0.0	3.53	0.29	248.0	25.72	759.08
