	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.EW.A6SD.01A.12R.A33J.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	TCGA.CN.4734.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	GTEX.XV7Q.2426.SM.4BRV8
AC090616.2	66.65	39.79	170.25	13.32	24.28	69.03	17.77	38.12	51.71	88.26	0.91	0.0	0.0	8.25	6.36
AC091801.1	0.0	23.59	112.77	0.0	13.72	11.3	15.45	3.38	23.08	87.65	0.0	0.0	0.0	0.0	0.97
ACSF2	2758.13	2573.36	5403.7	819.3	764.36	1250.98	1662.49	1487.87	3257.52	1561.89	295.11	0.0	0.69	269.6	154.42
AGA	476.71	825.0	1250.98	473.41	397.93	518.15	595.34	674.59	1167.14	514.56	466.88	0.0	0.17	283.05	363.56
ANKRD62	0.0	0.34	1.62	0.0	0.0	0.35	0.37	1.43	1.45	0.27	0.0	0.0	0.0	0.0	0.0
C20orf196	246.28	336.79	379.04	167.9	117.6	165.57	166.73	104.42	251.48	161.02	89.51	0.0	0.16	131.51	75.64
C5orf55	108.14	72.52	191.67	79.45	58.71	96.01	115.97	55.89	106.63	78.34	30.34	0.0	0.13	60.82	42.41
CALCOCO2	1674.06	2104.58	11189.6	1159.07	2319.15	2609.3	2451.44	2875.3	1757.34	3303.0	2537.92	2032.85	463.65	2193.99	2148.82
CEP57	289.02	571.05	1151.06	283.05	507.46	511.0	866.07	802.41	802.41	759.08	287.01	0.0	0.32	312.0	142.01
CEP95	389.72	473.41	1870.53	444.72	336.79	567.1	1159.07	769.69	1066.48	842.36	209.84	0.0	0.78	358.54	164.42
CHMP6	518.15	603.67	848.22	358.54	559.28	500.46	620.67	435.55	915.51	629.35	511.0	0.0	0.39	483.38	412.0
COIL	253.23	379.04	1605.83	159.9	281.09	299.25	432.53	373.81	441.64	325.29	164.42	0.0	0.31	211.31	167.9
COX11	438.59	830.75	1572.76	312.0	633.73	723.08	988.12	934.76	1051.79	1313.23	275.28	0.0	0.4	500.46	273.37
CREBZF	476.71	813.63	1832.01	255.0	579.04	571.05	1135.2	878.17	866.07	1037.29	172.65	0.0	1.06	220.32	100.83
CTDSP2	1950.0	2875.3	4010.71	1286.18	3039.3	2935.74	4152.18	3982.99	2956.17	4298.64	2018.8	1757.34	674.59	1295.13	836.53
CTSO	511.0	708.18	1304.15	129.69	1167.14	947.83	981.29	947.83	1350.18	1286.18	214.27	0.0	0.36	186.4	37.32
CWC25	150.17	358.54	1651.0	273.37	303.44	371.22	470.14	432.53	543.96	409.15	141.02	0.0	0.78	395.18	334.46
DNAJB13	5.87	6.11	23.76	0.61	1.28	3.17	9.85	9.93	19.25	8.71	0.92	0.0	0.0	4.86	1.27
DTNBP1	361.04	551.56	693.58	358.54	420.68	547.75	438.59	438.59	647.07	429.54	198.47	0.0	0.62	403.5	139.07
DTX3	642.59	669.92	2287.2	400.71	651.58	514.56	848.22	848.22	941.27	688.78	130.6	0.0	0.78	194.36	131.51
EIF4ENIF1	305.55	435.55	642.59	212.78	373.81	441.64	525.39	674.59	591.22	599.49	285.03	0.0	0.68	316.37	231.32
FAM117A	153.34	332.14	967.76	142.01	262.2	450.94	497.0	493.56	961.07	532.74	75.64	0.0	0.34	78.89	43.32
FAM76B	147.06	314.17	1119.56	80.57	273.37	281.09	684.02	417.77	470.14	363.56	180.02	0.0	0.6	125.24	27.05
FAM86B2	41.22	44.25	64.34	29.91	15.0	27.64	50.27	45.21	40.36	14.14	2.36	0.0	0.0	9.2	4.31
FBXO8	307.69	555.41	587.13	139.07	429.54	507.46	642.59	583.07	603.67	470.14	264.03	0.0	0.14	384.34	271.48
GGT7	127.89	346.29	309.83	98.73	191.67	283.05	460.44	463.65	703.28	555.41	26.28	0.0	0.83	92.05	118.43
GPR149	0.0	0.33	1.0	0.0	0.0	0.33	1.45	0.35	0.78	0.0	0.0	0.0	0.0	0.0	0.0
IL12A	6.57	28.24	92.7	5.32	27.25	75.64	36.53	41.81	100.13	55.89	8.38	0.0	0.0	13.22	30.34
IRX2	376.41	638.15	2319.15	1104.13	679.29	629.35	1628.26	1923.14	2032.85	1572.76	295.11	0.0	0.28	44.25	19.25
KAT7	341.51	567.1	3928.15	269.6	529.06	500.46	848.22	775.05	1159.07	698.41	273.37	0.0	0.6	693.58	246.28
KIAA1217	1037.29	967.76	1295.13	612.11	1151.06	1001.93	1697.45	1936.53	1322.37	1407.55	1044.52	156.59	329.84	497.0	473.41
LRRC37B	72.01	237.86	540.19	86.43	151.22	226.54	336.79	246.28	329.84	265.87	71.0	0.0	0.55	133.36	43.94
LRRC66	1.16	2.12	8.32	1.23	2.56	6.06	6.67	8.92	10.79	4.24	0.97	0.0	0.0	7.82	0.51
MBTD1	128.79	229.72	1059.11	51.71	173.85	175.07	454.09	351.14	334.46	339.14	59.13	83.45	84.04	134.3	35.5
METTL21B	267.73	214.27	384.34	246.28	173.85	251.48	312.0	318.57	373.81	255.0	65.72	0.0	0.36	77.79	32.82
