	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13N1W.0726.SM.5MR57	GTEX.ZY6K.0326.SM.5SIBB	GTEX.POMQ.0526.SM.3GADD	GTEX.145LS.1226.SM.5Q5D9
ABCC10	0.0	0.35	154.42	264.03	218.79	420.68	463.65	438.59	137.14	314.17	170.25	466.88	532.74	169.07
ACTL10	0.0	0.15	26.28	27.64	17.25	41.22	38.95	24.11	13.32	40.36	11.47	55.1	37.32	3.89
ACVR2A	40.07	205.5	89.51	120.1	86.43	202.66	85.22	130.6	53.95	148.09	74.06	229.72	248.0	74.58
ANKFY1	0.0	0.65	525.39	334.46	323.03	633.73	480.04	511.0	212.78	470.14	389.72	629.35	551.56	329.84
ANKHD1-EIF4EBP3	0.0	0.37	223.41	287.01	199.85	251.48	204.07	125.24	145.02	275.28	123.5	389.72	314.17	130.6
ARHGAP30	0.0	0.47	813.63	934.76	423.61	1519.15	743.43	1044.52	476.71	2061.24	490.14	1977.24	2032.85	480.04
ARMC7	0.0	0.4	1457.23	708.18	336.79	587.13	466.88	348.71	237.86	660.68	563.18	780.44	490.14	260.38
ASGR2	0.0	0.24	21.32	50.63	57.89	37.32	46.18	42.71	14.56	59.97	5.77	92.05	74.06	4.82
BCS1L	0.0	0.0	336.79	620.67	368.65	638.15	521.76	507.46	191.67	575.03	244.57	860.08	665.29	218.79
C1orf112	0.0	0.38	49.21	35.0	24.99	40.93	46.18	52.08	14.67	50.98	19.53	87.03	80.01	17.38
C3orf62	0.0	0.44	186.4	193.01	96.01	158.79	137.14	111.99	55.89	229.72	111.21	316.37	195.72	73.54
CAMK1	0.0	0.72	389.72	438.59	208.38	698.41	679.29	490.14	301.33	384.34	242.88	890.44	1023.0	220.32
CCDC88B	0.0	0.79	237.86	334.46	195.72	559.28	255.0	412.0	177.53	866.07	138.1	878.17	780.44	140.04
CCM2	0.0	0.95	389.72	813.63	836.53	775.05	1286.18	743.43	536.45	1417.35	638.15	1583.71	1457.23	647.07
CCR5	0.0	0.07	62.56	190.34	137.14	178.77	123.5	78.89	17.0	251.48	28.04	764.36	559.28	23.76
CDK5RAP3	0.0	1.27	1037.29	1819.35	860.08	2090.03	1167.14	1697.45	1135.2	1529.73	1159.07	2537.92	2148.82	1023.0
CER1	0.0	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	1.28	0.0	1.55	1.43	0.0
CHKB	0.0	1.22	567.1	872.1	444.72	1143.1	629.35	1037.29	547.75	836.53	417.77	1529.73	1225.22	358.54
CLEC17A	0.0	0.1	8.45	6.06	2.43	3.72	8.38	1.2	2.25	18.43	1.55	11.55	12.27	2.01
CLK2	0.0	0.82	320.8	728.11	246.28	791.35	563.18	764.36	234.57	703.28	253.23	1037.29	808.0	241.19
CNPY4	0.0	0.09	127.0	269.6	97.36	346.29	273.37	239.52	107.38	265.87	114.36	389.72	341.51	141.02
CORO1B	1857.6	866.07	2163.77	2720.15	2193.99	2627.46	3372.43	3349.13	1457.23	2178.83	1277.29	3146.52	3794.3	1437.15
CPT1B	0.0	1.3	92.05	99.43	65.72	325.29	138.1	141.02	51.35	206.94	30.12	392.44	172.65	27.84
CUL9	0.0	0.96	260.38	417.77	273.37	563.18	518.15	356.05	211.31	466.88	231.32	928.3	612.11	177.53
CXorf21	0.0	0.22	35.0	63.45	41.52	145.02	18.16	117.6	55.1	90.14	18.43	161.02	189.02	36.01
CYB561D1	0.0	0.01	132.44	205.5	73.54	253.23	182.55	134.3	48.18	223.41	68.07	264.03	201.25	49.91
CYP4F22	0.0	0.0	9.48	7.34	7.11	21.94	8.78	9.56	6.16	22.92	2.56	17.51	19.68	3.26
DDX41	0.0	0.78	1242.34	1359.57	1191.69	1388.16	1359.57	1127.35	595.34	1322.37	915.51	1806.78	1583.71	444.72
DGCR8	0.0	0.65	371.22	379.04	186.4	432.53	303.44	329.84	100.13	466.88	201.25	486.75	423.61	87.03
DOK1	0.0	0.4	320.8	514.56	165.57	638.15	591.22	753.83	301.33	447.82	193.01	934.76	1037.29	187.71
EXO5	0.0	0.0	120.94	182.55	72.52	169.07	173.85	161.02	69.03	169.07	41.81	208.38	214.27	56.28
FAM170A	0.0	0.0	1.2	0.71	0.0	0.34	0.56	0.0	0.0	1.1	1.53	1.45	2.27	0.0
FAM89B	0.0	0.73	995.0	995.0	679.29	1487.87	802.41	896.64	825.0	988.12	438.59	1183.45	1340.84	414.87
FBXL19	0.0	0.74	90.14	101.54	198.47	193.01	134.3	164.42	54.72	242.88	88.88	258.57	218.79	63.0
FBXO46	0.0	0.57	132.44	264.03	177.53	432.53	248.0	205.5	105.89	293.07	115.97	309.83	275.28	131.51
FCGR1B	0.0	0.0	255.0	624.99	181.28	1001.93	403.5	170.25	120.1	2193.99	87.03	1331.57	1540.37	167.9
FCHO1	0.0	0.6	43.32	68.55	71.5	110.43	60.39	135.24	55.89	117.6	48.18	139.07	186.4	23.59
FERMT3	583.07	854.13	2075.59	1709.26	1350.18	2502.97	1662.49	1437.15	830.75	2976.74	1001.93	3235.01	2816.11	764.36
FGD2	0.0	0.66	224.97	457.25	45.21	329.84	480.04	571.05	166.73	291.04	49.56	890.44	1081.39	53.95
FUT4	0.0	0.3	63.0	70.51	87.65	77.25	96.01	48.52	61.25	100.83	63.45	100.13	118.43	50.27
GEMIN7	0.0	0.07	395.18	791.35	463.65	684.02	647.07	493.56	249.73	642.59	223.41	819.3	624.99	279.14
GGA3	0.0	1.0	607.87	511.0	403.5	708.18	579.04	435.55	353.59	733.19	511.0	1119.56	743.43	289.02
GLYCTK	0.0	0.55	92.05	169.07	129.69	199.85	185.11	163.28	64.34	211.31	72.01	301.33	258.57	60.82
GPR141	0.0	0.22	23.59	57.89	13.72	28.04	61.68	40.93	19.97	186.4	13.22	139.07	74.06	4.1
HENMT1	0.0	0.36	106.63	249.73	38.12	173.85	191.67	199.85	27.84	248.0	37.32	318.57	215.77	14.35
HMHA1	0.0	0.96	866.07	791.35	486.75	1447.15	884.29	733.19	392.44	1081.39	423.61	1583.71	1208.34	293.07
HSPA6	0.0	0.08	111.21	133.36	47.5	115.16	81.71	69.52	60.39	260.38	60.39	237.86	145.02	41.22
IDH3B	0.0	1.08	1551.09	1896.65	1331.57	1721.16	1540.37	1295.13	921.88	1709.26	1721.16	2255.7	2032.85	559.28
IGFLR1	0.0	0.54	414.87	1066.48	353.59	1059.11	703.28	728.11	387.02	1340.84	536.45	1417.35	1369.04	209.84
IRAK4	0.0	0.48	201.25	336.79	121.79	244.57	190.34	332.14	149.12	358.54	129.69	346.29	368.65	141.02
ITFG2	0.0	0.21	555.41	718.08	395.18	1015.93	599.49	571.05	295.11	698.41	543.96	785.88	1044.52	305.55
ITGB1BP1	0.0	0.49	1417.35	1322.37	551.56	1950.0	1844.76	1388.16	1059.11	1304.15	934.76	2061.24	2682.69	981.29
KCNC4	0.0	0.4	34.75	58.71	52.45	93.35	44.57	63.45	19.25	77.79	45.53	133.36	140.04	33.3
KCNK13	0.0	0.0	35.25	10.79	10.63	23.93	27.05	33.06	4.17	23.25	3.38	35.0	50.98	3.38
KIAA0100	0.0	0.89	1685.71	743.43	1096.5	813.63	1437.15	1127.35	476.71	1225.22	967.76	1857.6	2104.58	400.71
KIAA0195	0.0	0.92	866.07	1051.79	713.11	1313.23	848.22	1208.34	460.44	1037.29	791.35	1407.55	1388.16	642.59
KIAA0930	1151.06	202.66	1183.45	1044.52	703.28	1127.35	1794.29	954.43	679.29	1340.84	551.56	1806.78	1844.76	703.28
KMT2D	0.0	0.93	836.53	595.34	928.3	603.67	559.28	529.06	426.57	872.1	1037.29	1023.0	684.02	480.04
LASP1	1991.0	521.76	1781.89	2119.22	1806.78	2520.38	2104.58	3060.45	1119.56	2664.15	1457.23	2997.45	3280.18	1242.34
LAT2	0.0	0.52	629.35	1378.57	454.09	708.18	860.08	674.59	423.61	2148.82	260.38	2133.97	1909.85	316.37
LHX4	0.0	0.28	6.52	9.93	4.66	7.82	8.45	8.32	1.16	10.96	2.23	14.14	10.55	0.52
LILRA2	0.0	0.21	483.38	759.08	514.56	525.39	669.92	476.71	138.1	656.11	38.95	902.89	532.74	33.3
LRRC16B	0.0	0.4	3.5	11.47	4.31	19.25	24.46	12.74	0.6	10.88	1.66	23.25	22.92	0.3
LRRC25	0.0	0.13	346.29	674.59	460.44	703.28	656.11	521.76	180.02	890.44	193.01	1183.45	1151.06	144.01
