	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZPCL.1626.SM.57WGC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.EJ.A6RA.01A.11R.A33R.07	GTEX.11ZUS.2126.SM.5N9E6	GTEX.13N1W.2026.SM.5K7YU
AC010336.1	0.0	5.19	0.0	0.4	0.0	0.0	3.96	6.94	2.73	0.0
ADCK2	162.14	928.3	351.14	638.15	0.0	0.33	718.08	665.29	684.02	209.84
AGT	175.07	13.52	232.94	36.53	0.0	0.61	473.41	91.41	24.63	220.32
AKR1A1	1662.49	6337.83	2645.74	3081.75	0.0	0.27	3212.66	5751.61	4066.71	1519.15
ALG12	229.72	195.72	307.69	423.61	0.0	0.12	540.19	775.05	575.03	177.53
ARF5	2609.3	8598.28	3639.7	4607.24	0.0	1.23	4869.99	6652.97	5147.73	1991.0
ATP6V1G1	1857.6	4038.61	2935.74	2555.58	2758.13	1583.71	3665.02	8305.36	4869.99	1794.29
BAIAP2L1	45.53	2090.03	145.02	152.28	0.0	0.61	563.18	1369.04	441.64	113.56
C12orf61	6.52	4.1	8.38	5.68	0.0	0.0	11.13	6.52	7.0	2.03
C15orf27	3.08	11.82	3.66	3.23	0.0	0.19	37.85	36.01	16.15	10.96
C1orf109	244.57	291.04	255.0	215.77	0.0	0.29	387.02	267.73	356.05	124.37
C1orf56	84.63	111.99	122.64	152.28	0.0	0.31	246.28	371.22	291.04	60.39
C7orf34	0.0	1.25	0.0	0.0	0.0	0.0	9.85	10.24	2.1	0.0
C9orf142	417.77	1143.1	909.17	1331.57	0.0	0.67	2303.12	2434.5	1950.0	366.09
C9orf156	161.02	193.01	217.27	156.59	0.0	0.0	285.03	329.84	249.73	54.72
C9orf169	6.67	62431.08	1.68	7.75	0.0	0.43	56.68	68.55	69.52	23.42
CAPG	1001.93	24490.61	1208.34	1605.83	0.0	0.29	3212.66	2255.7	2303.12	915.51
CCDC12	813.63	3690.52	2119.22	1745.2	0.0	0.75	2061.24	2739.08	2163.77	612.11
CDH1	4.9	17681.08	94.67	1378.57	1340.84	140.04	1685.71	2682.69	2287.2	45.53
CEACAM21	4.43	88.26	21.47	15.68	0.0	0.2	23.76	8.99	22.59	10.0
CHID1	1225.22	890.44	947.83	848.22	0.0	0.53	2855.44	3280.18	2609.3	733.19
CLPTM1	1073.91	3168.41	1857.6	2303.12	2178.83	206.94	2720.15	2537.92	2209.26	1015.93
CNFN	15.56	857631.47	72.01	43.63	0.0	0.31	376.41	607.87	381.68	6.73
CTD-2510F5.6	7.22	75.11	49.91	44.89	0.0	0.0	59.13	128.79	50.63	0.0
CTSH	1175.27	7589.61	3081.75	1183.45	0.0	0.0	7130.55	8778.97	10440.2	1709.26
DCXR	733.19	2240.11	2701.35	1709.26	0.0	0.13	7331.05	18431.96	5751.61	934.76
DDIT4L	33.06	2.34	33.3	52.82	0.0	0.34	91.41	17.51	77.79	31.9
DEAF1	332.14	3146.52	460.44	616.37	0.0	0.72	934.76	1183.45	954.43	275.28
DNAJC30	126.12	144.01	178.77	176.29	0.0	0.0	256.78	371.22	299.25	67.12
DPH5	547.75	575.03	412.0	432.53	0.0	0.06	728.11	708.18	819.3	289.02
DPP7	1909.85	3103.19	2193.99	2133.97	0.0	1.13	6294.04	7032.37	5831.91	1832.01
EDF1	7749.1	18689.27	16496.96	13872.08	0.0	1.22	18689.27	25708.25	19348.38	7032.37
ELMO3	6.21	2935.74	127.89	159.9	0.0	0.53	441.64	909.17	500.46	33.06
ELP6	376.41	607.87	607.87	698.41	0.0	0.0	1030.12	1151.06	981.29	215.77
ETV2	14.45	161.02	46.84	37.05	0.0	0.11	49.91	59.97	57.08	12.0
EXOSC2	351.14	295.11	366.09	343.89	0.0	0.39	432.53	457.25	376.41	190.34
FABP3	921.88	7.94	656.11	307.69	0.0	0.2	2133.97	967.76	2287.2	209.84
FAM159B	0.0	0.0	1.55	0.0	0.0	0.04	7.88	2.01	1.75	0.0
FAM174A	358.54	1268.46	470.14	368.65	0.0	0.34	595.34	693.58	551.56	339.14
FAM185A	96.68	76.17	120.1	81.14	0.0	0.3	156.59	137.14	132.44	130.6
FAM83F	0.91	7382.04	26.28	101.54	0.0	0.31	198.47	417.77	144.01	5.63
FARSA	620.67	1628.26	974.5	1037.29	0.0	0.0	1268.46	1540.37	896.64	361.04
FBXO6	181.28	612.11	255.0	242.88	0.0	0.49	406.31	273.37	536.45	135.24
FKBP2	1950.0	3794.3	2895.31	3060.45	0.0	0.87	5041.77	6250.56	5995.9	2178.83
GJC3	0.46	23.25	16.88	5.87	0.0	0.03	108.14	232.94	52.82	0.04
GPR89A	175.07	169.07	237.86	180.02	0.0	0.45	307.69	423.61	346.29	125.24
HDDC3	115.97	854.13	242.88	191.67	0.0	0.08	536.45	967.76	703.28	85.82
HSCB	429.54	223.41	497.0	567.1	0.0	0.44	616.37	698.41	612.11	414.87
HSD17B4	1561.89	2287.2	1950.0	2271.4	0.0	0.16	3349.13	6607.01	3190.46	1936.53
HYAL3	50.98	153.34	48.18	84.04	0.0	0.23	69.03	100.13	91.41	16.15
IGSF9	2.66	693.58	17.77	169.07	69.52	106.63	444.72	277.2	232.94	12.93
JMJD7	101.54	1427.22	132.44	242.88	0.0	0.41	559.28	543.96	346.29	127.0
KCNQ1	35.25	96.68	87.65	120.1	0.0	0.3	267.73	209.84	234.57	22.1
KCTD14	7.51	137.14	115.16	172.65	0.0	0.13	283.05	194.36	131.51	28.24
KHDC1L	2.63	0.0	1.08	1.89	0.0	0.24	5.36	185.11	7.4	3.79
KLHL25	67.12	88.88	72.52	123.5	0.0	0.24	215.77	139.07	151.22	149.12
KRT16	11.64	2.5045913555E8	3.38	3.35	0.0	0.69	111.99	31.22	2664.15	5.28
LCMT2	87.65	120.1	164.42	109.66	0.0	0.0	165.57	176.29	193.01	21.78
LRRC61	89.51	341.51	132.44	142.01	0.0	0.21	373.81	281.09	211.31	51.35
MAD1L1	262.2	1037.29	432.53	583.07	0.0	0.45	813.63	878.17	703.28	180.02
MATN3	8.32	3.89	13.52	10.16	0.0	0.16	76.17	10.08	42.11	8.92
MCCC1	241.19	339.14	490.14	511.0	0.0	0.11	633.73	830.75	603.67	187.71
MED19	205.5	842.36	476.71	334.46	575.03	387.02	480.04	660.68	473.41	72.01
MGST2	1286.18	13968.57	1498.22	1674.06	0.0	0.52	2240.11	4328.55	2434.5	1119.56
MRM1	49.56	78.89	75.64	120.1	0.0	0.06	190.34	186.4	152.28	19.25
MTERFD1	299.25	242.88	379.04	334.46	0.0	0.13	432.53	384.34	441.64	120.1
MTG1	244.57	466.88	395.18	616.37	0.0	0.43	961.07	1378.57	595.34	293.07
NARFL	195.72	507.46	332.14	551.56	0.0	0.64	860.08	896.64	616.37	392.44
NECAB3	521.76	136.19	363.56	457.25	0.0	0.31	1225.22	3018.3	1340.84	688.78
NELFB	567.1	896.64	559.28	1143.1	0.0	0.74	1250.98	1225.22	1104.13	297.17
NEU1	500.46	295.11	848.22	1216.75	0.0	0.36	1233.75	2255.7	753.83	158.79
NME3	909.17	571.05	1617.0	2148.82	0.0	0.99	3325.99	5329.3	4481.23	1896.65
NPDC1	1572.76	130.6	1216.75	1561.89	0.0	1.07	7642.41	14561.8	7032.37	1781.89
NRG2	119.26	371.22	43.94	52.08	0.0	0.05	111.99	69.03	144.01	151.22
OCM	0.0	0.0	0.68	1.19	0.0	0.04	12.09	6.06	5.96	3.82
OXTR	5.23	10.31	1.73	1.55	0.0	0.01	23.08	14.45	20.41	2.89
