	TCGA.BH.A18U.01A.21R.A12D.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.A8.A07S.01A.11R.A034.07	TCGA.A2.A0EW.01A.21R.A115.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.E9.A1R6.01A.11R.A14D.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A08F.01A.11R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.WRHU.0326.SM.3MJFY	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.38.4625.01A.01R.1206.07
ABCA10	3.03	0.83	76.71	9.2	18.29	5.32	98.04	53.95	1.85	14.56	10.79	39.5	57.49	93.35	18.03	224.97	301.33	647.07	314.17	1044.52	24.28	36.53	0.0
ABCA9	13.42	3.44	66.18	14.67	15.0	6.62	67.59	60.39	6.41	7.34	5.77	29.48	39.22	147.06	4.74	169.07	301.33	674.59	277.2	698.41	20.86	24.63	0.0
AC027307.3	5.45	6.73	3.99	2.16	0.34	2.18	13.12	3.79	8.0	1.66	2.73	4.98	6.52	10.16	0.0	13.83	14.14	9.27	12.45	15.8	11.47	4.58	0.0
AKR1C2	733.19	98.04	143.01	93.35	7.88	17.0	1073.91	182.55	6.41	5.82	3.99	88.88	140.04	78.89	32.13	450.94	511.0	8191.0	140.04	5329.3	50359.33	7857.29	0.0
AL354993.1	1.58	26.28	55.89	21.32	8.58	8.78	96.68	163.28	13.83	11.73	24.46	45.21	62.12	178.77	17.51	177.53	406.31	169.07	728.11	332.14	11.47	152.28	0.0
AL358333.1	111.99	17.38	80.01	0.0	13.72	0.0	228.13	229.72	47.5	6.46	0.0	194.36	140.04	287.01	21.78	738.29	438.59	438.59	153.34	409.15	0.0	0.0	0.0
ALX4	0.36	1.53	33.06	4.03	3.5	2.86	46.84	19.53	1.55	0.31	0.65	15.0	25.54	48.18	1.66	55.49	63.89	65.72	656.11	144.01	0.0	0.0	0.0
AMICA1	82.87	84.63	256.78	20.56	25.54	29.48	371.22	173.85	27.25	14.89	262.2	587.13	463.65	612.11	77.25	854.13	567.1	224.97	595.34	316.37	135.24	878.17	0.0
AMOTL1	56.68	45.21	191.67	217.27	103.69	76.17	384.34	493.56	66.18	12.93	92.05	157.68	260.38	460.44	71.5	599.49	587.13	825.0	1378.57	679.29	1015.93	490.14	0.0
ANGPTL7	0.32	0.0	22.43	0.92	0.31	0.62	27.25	8.58	0.3	0.0	4.5	58.3	19.53	37.59	0.32	27.05	226.54	143.01	67.12	48.87	1.89	2.48	0.0
