	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A3GJ.01A.21R.A213.07	GTEX.PVOW.1626.SM.48TC9	GTEX.13FHO.1726.SM.5IFGM	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC007382.1	127.89	102.97	57.89	0.0	0.0	124.37	75.64	63.89	0.0	0.0
ADHFE1	723.08	325.29	36.01	102.25	246.28	607.87	384.34	348.71	0.0	0.46
ANKAR	153.34	176.29	13.22	30.78	38.67	120.94	95.34	85.82	0.0	0.12
ANKRD13C	295.11	323.03	111.99	141.02	127.0	258.57	241.19	208.38	0.0	0.54
APBB2	1397.83	1008.9	86.43	66.18	275.28	334.46	301.33	199.85	91.41	708.18
APH1B	693.58	473.41	41.22	89.51	69.03	163.28	113.56	82.29	0.0	0.35
ARID4B	928.3	563.18	193.01	208.38	221.86	559.28	327.56	353.59	193.01	346.29
ATP6AP1L	283.05	237.86	183.82	41.22	53.19	193.01	166.73	78.89	65.26	162.14
ATP9B	567.1	406.31	220.32	241.19	285.03	529.06	669.92	420.68	0.0	0.71
B3GNT9	297.17	156.59	155.5	50.98	126.12	229.72	152.28	144.01	0.0	0.45
BDH2	2384.37	1225.22	395.18	511.0	728.11	1508.65	1119.56	941.27	0.0	0.66
BMPER	334.46	181.28	1.06	0.0	15.0	31.22	29.27	16.88	0.0	0.39
BMPR2	647.07	753.83	167.9	156.59	129.69	297.17	249.73	231.32	0.0	0.13
C11orf63	480.04	237.86	41.22	4.21	10.08	53.57	35.25	30.34	0.0	0.27
C19orf45	46.18	8.45	85.22	3.56	6.06	26.86	31.22	9.06	0.0	0.29
C4orf19	64.8	688.78	4.82	0.73	13.12	182.55	149.12	48.87	0.0	0.1
CADPS2	1044.52	872.1	43.32	165.57	60.39	118.43	84.04	71.5	0.0	0.65
CAMK2D	384.34	902.89	232.94	96.68	603.67	1340.84	802.41	444.72	563.18	559.28
CASD1	1350.18	638.15	60.39	112.77	135.24	223.41	218.79	186.4	0.0	0.54
CCDC39	70.51	42.41	3.59	1.57	27.44	33.78	32.36	31.22	0.0	0.3
CCDC57	1119.56	791.35	223.41	358.54	599.49	1051.79	825.0	748.61	432.53	169.07
CCDC8	1286.18	909.17	0.23	1.5	28.86	37.59	46.84	34.75	0.0	0.35
CCNG1	4543.8	3820.7	2004.85	1096.5	733.19	2090.03	1417.35	1216.75	0.0	0.68
CCNT1	323.03	381.68	149.12	177.53	191.67	236.21	220.32	212.78	0.0	0.46
CCPG1	1674.06	1857.6	151.22	127.0	283.05	718.08	466.88	371.22	0.0	0.64
CD302	708.18	703.28	26.1	10.55	118.43	384.34	258.57	108.14	0.0	0.4
CDH19	24.63	1.03	3.0	0.0	36.53	140.04	89.51	49.21	0.0	0.16
CDO1	612.11	902.89	2.53	0.77	23.25	158.79	56.28	49.56	0.0	0.28
CEP290	221.86	223.41	29.27	59.55	65.26	133.36	105.89	88.88	0.0	0.37
COG3	563.18	466.88	414.87	151.22	320.8	713.11	395.18	336.79	0.0	0.57
CPE	17804.06	5292.48	384.34	27.44	575.03	1540.37	872.1	836.53	0.0	0.52
CRMP1	651.58	293.07	14.78	25.54	190.34	329.84	264.03	143.01	0.0	0.59
DCT	31.9	45.53	1.3	0.36	2.51	4.28	4.13	2.05	0.0	0.12
DMTN	476.71	1628.26	295.11	384.34	514.56	591.22	490.14	368.65	0.0	0.57
DOCK9	1183.45	1697.45	6164.49	629.35	2018.8	3018.3	3190.46	2555.58	0.0	0.55
EFCAB12	190.34	97.36	2.97	1.79	10.55	28.04	9.85	4.5	0.0	0.01
EIF4B	9740.98	10808.41	5219.6	2287.2	2555.58	4903.87	4328.55	3280.18	2915.45	3103.19
EIF4EBP2	1199.98	1806.78	1127.35	620.67	759.08	884.29	836.53	743.43	403.5	314.17
ESR1	33688.23	281.09	1662.49	5.87	20.71	28.86	18.56	24.11	0.0	0.39
FAM218A	22.92	38.67	4.03	0.31	5.15	19.11	13.52	11.47	0.0	0.04
FAM227B	231.32	220.32	78.89	39.22	48.87	158.79	136.19	123.5	0.0	0.09
FNDC3A	1030.12	995.0	41.22	65.26	217.27	470.14	336.79	231.32	0.0	0.68
