	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.2W.A8YY.01A.11R.A37O.07	GTEX.14C38.2626.SM.5RQI4	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.7974.01A.11R.2187.07	GTEX.13O3O.0726.SM.5J1N7	GTEX.YFC4.1126.SM.5RQJN	GTEX.144GO.0226.SM.5LUB1	TCGA.21.1076.01A.01R.0692.07	TCGA.AJ.A3BG.01A.11R.A19W.07
ANKRD12	312.0	291.04	113.56	713.11	125.24	33.54	66.18	0.0	241.19	457.25	813.63	665.29	183.82	37.05
ANKRD13A	2004.85	878.17	211.31	2047.0	194.36	177.53	111.99	1369.04	647.07	1427.22	1295.13	802.41	674.59	97.36
APAF1	88.26	89.51	164.42	759.08	82.87	52.45	47.17	0.0	249.73	387.02	473.41	190.34	170.25	47.17
APOD	1233.75	12160.22	41.22	6561.36	2.68	14.24	19.11	0.0	361.04	1277.29	103.69	7911.95	341.51	6.67
BCL10	2796.65	896.64	237.86	1143.1	101.54	94.01	84.63	305.55	348.71	450.94	1540.37	633.73	334.46	146.03
BIRC3	62.56	246.28	120.94	18178.19	169.07	31.0	41.22	224.97	1350.18	8538.88	9088.59	10225.32	703.28	67.12
CAB39	2104.58	1286.18	486.75	2591.27	435.55	551.56	303.44	0.0	1697.45	3928.15	1159.07	2573.36	967.76	301.33
CDKN1A	13776.25	4704.07	1250.98	19892.37	1583.71	693.58	718.08	1199.98	2645.74	10959.3	17197.56	12764.83	3018.3	366.09
CXCL3	5.11	17.25	14.89	5872.48	0.0	0.0	1.1	0.0	209.84	3235.01	4575.41	2609.3	73.03	2.27
DKFZP667F0711	9.56	2.41	5.77	102.25	1.22	0.89	0.0	0.0	5.15	61.25	93.35	39.22	9.06	0.39
DUSP1	38966.94	48643.87	551.56	21768.19	2591.27	2451.44	3589.58	0.0	5219.6	39510.91	38966.94	60723.88	6699.25	674.59
DUSP5	22380.2	1508.65	133.36	6426.31	11.64	258.57	29.48	0.0	463.65	1233.75	1977.24	1991.0	563.18	171.45
EGR3	363.56	30.56	7.75	1697.45	0.41	3.0	1.28	0.0	81.71	379.04	1250.98	178.77	101.54	5.92
EIF4A3	4481.23	2303.12	1794.29	13492.72	915.51	1199.98	1378.57	0.0	2701.35	3515.68	3768.09	11035.54	1936.53	1794.29
EMB	199.85	149.12	25.91	1340.84	11.82	3.35	2.03	0.0	1015.93	1331.57	473.41	543.96	387.02	6.73
ETS1	136.19	172.65	119.26	5913.33	85.82	221.86	42.71	583.07	1295.13	6294.04	4358.66	2758.13	1127.35	87.03
FAM126B	157.68	64.34	39.79	890.44	37.32	38.12	22.92	112.77	226.54	361.04	341.51	249.73	111.99	40.93
FAM180A	61.68	27.84	9.63	974.5	7.06	3.96	0.0	0.0	10.96	27.25	463.65	33.3	23.59	0.0
FAM209B	4.98	12.45	0.0	100.83	0.0	2.48	3.82	0.0	7.06	57.89	34.02	9.27	23.42	1.39
FEM1C	178.77	316.37	204.07	769.69	89.51	80.01	100.83	110.43	253.23	426.57	480.04	813.63	260.38	103.69
FGF7	6.06	103.69	63.45	507.46	1.13	1.33	0.0	0.0	158.79	764.36	244.57	2555.58	486.75	2.46
GCOM1	155.5	32.59	9.41	81.14	0.79	4.1	2.63	0.0	34.02	13.83	125.24	50.63	8.06	0.0
HECA	647.07	547.75	246.28	2682.69	54.33	58.3	40.64	171.45	215.77	684.02	934.76	1340.84	616.37	72.01
IL23R	2.51	0.0	0.25	7.34	0.0	0.0	0.0	0.0	1.62	2.68	1.81	1.35	4.13	0.0
KBTBD8	13.72	7.63	8.78	124.37	0.97	8.71	2.14	0.0	41.52	31.67	77.25	42.41	42.71	1.55
KDM1B	309.83	301.33	181.28	1111.82	77.79	81.71	186.4	0.0	176.29	316.37	273.37	87.03	234.57	90.14
KLF4	5594.3	31650.8	341.51	9808.75	5.06	34.51	61.68	0.0	414.87	2976.74	2915.45	11992.79	1583.71	293.07
KMT2E	249.73	258.57	325.29	2627.46	147.06	90.14	81.14	246.28	551.56	1259.69	1733.13	842.36	511.0	99.43
KRT4	3.697379928E7	1656835.72	2.63	4.98	0.0	0.0	0.0	0.0	61.68	103.69	480.04	309.83	25.72	4.03
KRT6A	2.01760973986E9	2.41604469791E9	143.01	8.13	0.0	0.0	0.0	0.0	182.55	251.48	6.11	180.02	60723.88	1.66
LRRFIP2	3018.3	2287.2	854.13	2287.2	651.58	389.72	417.77	0.0	743.43	1151.06	954.43	728.11	902.89	397.93
