	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.JY.A6F8.01A.11R.A336.31	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.55.7227.01A.11R.2039.07	TCGA.50.8459.01A.11R.2326.07	TCGA.78.7159.01A.11R.2039.07	TCGA.69.8453.01A.12R.2326.07	TCGA.38.4625.01A.01R.1206.07	TCGA.69.7974.01A.11R.2187.07	GTEX.145MH.0626.SM.5NQAK	GTEX.QDVJ.0926.SM.2I5FU	GTEX.13VXT.1426.SM.5LU4B	GTEX.11ZTT.0626.SM.5EQLM	TCGA.60.2697.01A.11R.2125.07
AC079354.1	341.51	1617.0	0.22	1.91	2.76	51.71	2.32	68.55	0.0	39.22	403.5	84.04	121.79	249.73	20.86
AC104809.3	1322.37	15180.22	0.0	5.02	5.5	116.78	22.1	98.73	0.0	26.1	285.03	182.55	392.44	463.65	21.16
ADGB	3901.01	14065.74	0.0	0.0	3.0	54.72	6.41	60.39	0.0	27.84	490.14	94.01	162.14	346.29	16.88
AK8	674.59	2303.12	3.59	0.0	44.25	127.0	23.93	115.97	0.0	63.45	215.77	111.21	154.42	420.68	61.68
AKAP14	1183.45	9876.98	1.27	0.0	28.45	103.69	19.53	166.73	0.0	57.49	2209.26	281.09	638.15	1508.65	62.56
ANKRD66	6037.61	107203.06	0.0	0.0	7.28	78.34	6.46	75.64	0.0	37.05	1159.07	152.28	547.75	1167.14	28.24
ANKUB1	224.97	3081.75	0.0	0.0	7.28	32.59	9.48	45.85	0.0	18.7	450.94	62.12	92.05	441.64	13.22
BTG4	59.55	228.13	0.0	0.0	0.0	12.74	0.0	10.0	0.0	3.0	94.67	11.47	15.68	59.55	3.47
C10orf115	48.52	1081.39	0.0	0.0	1.83	9.41	0.0	9.78	0.0	3.79	185.11	43.02	39.22	82.29	4.03
C10orf67	47.17	638.15	0.65	0.0	1.87	12.0	0.0	13.52	0.0	8.06	454.09	83.45	131.51	246.28	5.23
C11orf88	69271.73	726195.27	0.0	0.0	55.49	414.87	1.25	476.71	0.0	206.94	8538.88	1447.15	3280.18	5751.61	140.04
C15orf26	301.33	981.29	1.43	2.16	13.32	32.36	7.06	50.63	0.0	21.16	381.68	147.06	153.34	264.03	29.7
C1orf141	14.67	78.89	0.05	0.0	2.94	45.85	0.0	31.9	0.0	7.75	289.02	13.32	61.68	214.27	7.22
C1orf158	16611.71	85283.74	0.0	0.0	4.94	70.51	11.64	114.36	0.0	25.54	1183.45	193.01	336.79	633.73	15.91
C1orf189	2061.24	16269.83	2.48	0.0	7.28	38.95	5.73	61.25	0.0	53.95	1397.83	204.07	397.93	1051.79	45.21
C1orf194	419990.32	3134925.09	4.58	0.0	70.01	728.11	34.02	1135.2	0.0	409.15	20310.37	1508.65	4937.99	9673.69	187.71
C1orf222	2400.97	6935.54	3.53	0.0	22.59	144.01	23.08	162.14	0.0	58.71	1437.15	193.01	438.59	723.08	63.0
C1orf87	1883.54	5594.3	0.93	0.0	17.64	80.01	1.14	131.51	0.0	56.28	1709.26	299.25	480.04	884.29	44.25
C20orf26	98.04	1096.5	0.0	0.0	12.18	84.63	7.75	95.34	0.0	35.0	525.39	98.73	180.02	371.22	28.65
C20orf85	789181.81	4223476.69	0.0	0.0	100.13	1023.0	237.86	1397.83	0.0	438.59	46662.28	7695.57	11664.82	20881.4	409.15
C22orf15	309.83	780.44	1.75	1.73	6.11	129.69	34.02	172.65	0.0	46.5	1857.6	262.2	363.56	733.19	43.32
C2orf62	1015.93	5791.62	1.58	0.0	8.99	96.68	27.84	117.6	0.0	38.95	1819.35	157.68	301.33	612.11	33.06
C2orf73	183.82	579.04	0.69	0.0	2.27	37.59	6.62	45.21	0.0	16.75	476.71	33.3	115.16	241.19	9.34
C4orf22	1540.37	6652.97	0.0	0.0	0.96	83.45	5.32	64.34	0.0	53.19	638.15	118.43	299.25	454.09	22.26
C6ORF165	1870.53	5219.6	2.1	1.45	5.77	84.04	15.22	109.66	0.0	43.94	836.53	231.32	376.41	802.41	37.05
C6orf118	12502.12	138544.47	0.0	0.0	13.32	155.5	15.91	175.07	0.0	41.81	1594.73	229.72	514.56	872.1	39.79
C9orf117	9606.86	59474.18	26.47	2.29	42.41	361.04	16.63	457.25	0.0	141.02	2032.85	332.14	525.39	928.3	100.83
C9orf171	20170.07	336441.4	0.93	0.0	6.11	84.63	12.36	150.17	0.0	46.18	1175.27	366.09	454.09	529.06	37.59
C9orf24	85283.74	687022.54	28.86	2.34	70.51	603.67	17.77	1023.0	0.0	307.69	16045.82	3146.52	5112.16	8840.04	232.94
C9orf9	470.14	764.36	37.59	43.63	75.11	218.79	71.5	316.37	0.0	125.24	1794.29	444.72	693.58	791.35	131.51
CACNG6	2609.3	45701.96	0.1	0.0	16.75	118.43	4.86	212.78	0.0	42.71	1519.15	346.29	395.18	612.11	36.79
CAPSL	119776.72	677564.08	0.59	0.0	36.53	234.57	41.81	309.83	0.0	137.14	4671.57	802.41	1304.15	2777.33	110.43
CASC1	356.05	1617.0	1.03	0.0	11.91	77.25	18.56	84.63	0.0	29.7	688.78	97.36	175.07	483.38	24.46
CATSPERD	567.1	7537.18	0.0	0.0	16.63	119.26	0.96	167.9	0.0	33.3	2520.38	466.88	738.29	1447.15	41.52
CCDC108	6337.83	38697.77	2.78	0.0	9.34	109.66	9.63	185.11	0.0	69.03	1369.04	234.57	395.18	791.35	44.57
CCDC11	669.92	5076.84	2.12	0.84	15.34	93.35	18.56	157.68	0.0	88.26	1119.56	205.5	277.2	595.34	63.89
CCDC13	145.02	327.56	48.18	11.55	27.05	77.79	9.2	87.03	0.0	40.93	532.74	94.67	158.79	314.17	29.27
CCDC135	2520.38	15392.14	0.0	3.0	8.58	81.14	22.59	113.56	0.0	43.94	988.12	201.25	339.14	483.38	42.11
CCDC147	47.17	339.14	1.11	2.01	5.23	37.59	2.41	47.5	0.0	28.04	470.14	53.19	115.97	264.03	16.39
CCDC157	417.77	1066.48	31.67	12.36	33.3	111.21	40.93	111.21	0.0	55.1	656.11	129.69	202.66	236.21	82.87
CCDC17	3280.18	11345.82	23.93	5.36	32.36	316.37	16.15	480.04	0.0	162.14	4736.79	400.71	764.36	1151.06	119.26
CCDC173	521.76	3395.89	0.06	1.11	8.38	36.01	10.08	55.49	0.0	35.76	1111.82	130.6	271.48	599.49	18.7
CCDC33	3794.3	12502.12	1.23	0.0	5.5	107.38	64.8	122.64	0.0	43.32	921.88	110.43	199.85	361.04	27.25
CCDC39	209.84	237.86	4.9	2.07	17.13	55.49	15.68	84.63	0.0	42.41	454.09	54.72	125.24	403.5	29.7
CCDC42B	4358.66	30572.63	19.11	1.57	16.39	155.5	19.53	293.07	0.0	61.68	2255.7	334.46	629.35	1088.92	35.76
CCDC65	713.11	5954.47	3.69	2.03	28.04	100.83	27.64	136.19	0.0	60.82	1331.57	209.84	384.34	830.75	63.0
CCDC78	5006.93	31650.8	108.9	2.51	73.03	429.54	59.13	748.61	0.0	269.6	6471.02	860.08	1350.18	2240.11	224.97
CCDC81	76.17	543.96	9.27	8.85	16.15	49.91	9.85	70.51	0.0	14.67	293.07	82.29	161.02	264.03	34.02
CCDC96	417.77	1844.76	8.06	7.28	30.34	116.78	26.86	148.09	0.0	46.84	547.75	223.41	271.48	417.77	42.11
CDHR4	10733.74	42346.82	0.0	0.0	17.13	262.2	21.32	229.72	0.0	111.99	3372.43	329.84	796.86	1268.46	65.26
CNGA4	128.79	1529.73	0.64	0.65	4.58	63.0	0.77	62.56	0.0	23.93	633.73	133.36	201.25	351.14	19.39
DAW1	679.29	2417.67	0.0	0.0	34.75	97.36	15.68	132.44	0.0	107.38	1697.45	460.44	476.71	1685.71	50.27
DCDC2B	269.6	2090.03	0.79	1.64	6.52	103.69	1.07	123.5	0.0	58.71	1540.37	173.85	387.02	860.08	26.28
DNAAF1	12415.75	72213.45	5.73	128.79	26.47	275.28	50.63	341.51	0.0	105.15	3124.78	406.31	854.13	2287.2	231.32
DNAAF3	2303.12	9088.59	10.47	3.38	52.08	239.52	54.33	343.89	0.0	194.36	2502.97	624.99	934.76	1119.56	97.36
DNAH12	4152.18	21320.18	8.71	0.0	12.74	103.69	11.13	132.44	0.0	63.45	1896.65	186.4	444.72	723.08	31.45
DNAH7	1870.53	7433.4	3.11	0.55	21.01	78.34	13.32	87.65	0.0	43.63	988.12	69.03	149.12	291.04	41.22
DNAH9	4512.4	95949.32	0.0	0.0	18.43	197.09	2.14	239.52	0.0	111.99	3303.0	603.67	769.69	1832.01	74.06
DNAI1	4769.75	19892.37	0.59	0.0	18.97	153.34	24.46	285.03	0.0	78.89	1870.53	316.37	559.28	909.17	70.01
DNAI2	3690.52	13123.73	0.0	2.07	7.75	105.89	2.81	187.71	0.0	67.59	2178.83	295.11	381.68	842.36	53.95
DTHD1	312.0	1572.76	0.0	0.99	13.32	71.0	4.74	92.05	0.0	55.49	909.17	115.97	228.13	567.1	33.3
DYDC1	299.25	8778.97	0.0	0.91	5.77	38.4	1.51	30.78	0.0	20.26	242.88	29.48	97.36	178.77	8.99
DYDC2	23492.92	82951.62	0.0	0.75	19.68	232.94	30.12	320.8	0.0	78.34	2537.92	674.59	698.41	1059.11	50.98
DYNLRB2	1733.13	20737.16	0.0	5.77	52.82	295.11	8.58	348.71	0.0	119.26	4769.75	947.83	1295.13	2502.97	115.97
ECT2L	44.25	189.02	0.74	1.01	2.46	59.55	1.2	92.05	0.0	43.32	638.15	91.41	164.42	470.14	30.56
EFCAB1	1081.39	5831.91	0.0	0.51	30.34	426.57	25.35	438.59	0.0	145.02	6887.62	1023.0	2148.82	3639.7	81.14
EFCAB12	1216.75	5329.3	2.36	9.85	14.45	62.56	27.64	120.94	0.0	36.27	1037.29	142.01	267.73	551.56	37.59
ENKUR	1685.71	17197.56	6.89	1.51	23.25	167.9	29.7	182.55	0.0	99.43	2591.27	406.31	656.11	1104.13	71.5
FAM154B	218.79	728.11	2.56	19.11	63.0	226.54	70.01	343.89	0.0	155.5	2417.67	356.05	780.44	1467.37	111.21
FAM166B	4869.99	49322.93	5.96	3.14	26.1	312.0	40.07	432.53	0.0	144.01	3103.19	551.56	872.1	1857.6	117.6
FAM179A	1008.9	3665.02	3.76	2.2	24.11	173.85	24.81	206.94	0.0	85.22	1745.2	217.27	373.81	642.59	78.34
FAM183A	7911.95	29327.18	12.27	5.59	57.89	769.69	132.44	1008.9	0.0	236.21	7911.95	1857.6	3124.78	4298.64	242.88
FAM216B	4181.07	51417.5	0.0	0.0	29.7	187.71	11.04	234.57	0.0	89.51	3690.52	511.0	1340.84	2895.31	91.41
FAM92B	8718.32	32315.87	0.0	0.0	13.72	232.94	18.97	253.23	0.0	90.14	2417.67	417.77	612.11	1135.2	82.87
FBXO15	414.87	1529.73	0.0	2.97	26.47	50.63	20.26	96.01	0.0	43.02	718.08	167.9	186.4	417.77	56.28
FBXO36	127.0	503.95	19.53	8.0	42.11	82.87	38.12	55.89	43.32	55.49	327.56	88.26	185.11	251.48	46.84
GHRL	59.97	107.38	0.0	0.0	22.1	69.52	10.08	57.89	0.0	18.97	186.4	64.8	65.26	460.44	44.57
GPR123	142.01	107.38	0.0	0.0	0.21	4.31	0.0	10.08	0.0	0.52	17.25	14.24	17.25	14.67	0.24
HYDIN	205.5	1529.73	0.0	0.0	41.52	135.24	53.57	158.79	0.0	66.18	1088.92	133.36	305.55	563.18	44.89
IFLTD1	150.17	896.64	0.0	0.0	5.36	25.54	0.93	31.45	0.0	11.82	171.45	46.84	66.18	163.28	7.82
KCNE1	169.07	514.56	2.48	33.3	27.44	118.43	17.25	194.36	0.0	54.72	624.99	275.28	165.57	348.71	59.13
KCNRG	327.56	1617.0	10.24	0.0	14.78	57.08	14.24	110.43	0.0	48.18	954.43	189.02	267.73	595.34	31.45
KIF6	314.17	3820.7	0.93	0.87	7.0	35.25	10.55	48.18	0.0	21.16	1127.35	127.0	190.34	591.22	25.72
LDLRAD1	45386.27	336441.4	0.13	0.0	13.12	255.0	8.51	400.71	0.0	157.68	8022.41	808.0	1674.06	4575.41	73.54
LRGUK	39.5	232.94	4.62	1.43	6.78	13.62	5.45	23.42	0.0	11.64	108.9	25.54	29.48	68.55	8.32
LRRC10B	141.02	698.41	9.06	2.68	12.27	127.89	36.79	215.77	0.0	84.04	3372.43	525.39	738.29	1127.35	60.39
LRRC23	2255.7	15392.14	87.03	37.32	228.13	571.05	228.13	769.69	0.0	412.0	4903.87	1250.98	1662.49	2720.15	339.14
LRRC46	3614.55	17927.91	8.78	24.99	50.98	341.51	135.24	579.04	0.0	221.86	4123.49	563.18	1015.93	1685.71	104.42
LRRC48	896.64	6745.86	15.91	17.9	32.13	285.03	29.7	316.37	0.0	143.01	2956.17	426.57	854.13	1572.76	80.01
LRRC71	1487.87	6983.79	2.41	4.66	9.34	93.35	7.51	107.38	0.0	41.52	1628.26	180.02	395.18	723.08	21.32
