	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.JX.A3Q0.01A.11R.A32Y.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.HD.A6HZ.01A.12R.A31N.07	TCGA.CN.4736.01A.01R.1436.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.CR.7377.01A.11R.2016.07	TCGA.CQ.7067.01A.11R.2232.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7438.01A.21R.2132.07	TCGA.CV.7091.11A.01R.2016.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL
ABRA	6079.61	0.36	0.85	5.96	43.32	102.25	285.03	6.06	3.23	0.0	31.22	974.5	403.5	96.68	753.83
ACTA1	1336472.68	2.03	1369.04	4450.27	11992.79	45701.96	144427.91	7032.37	3280.18	2.14	10959.3	623486.02	1715263.94	767601.56	8102860.22
ACTC1	4298.64	1.0	813.63	2319.15	3257.52	10154.69	28328.16	3257.52	1605.83	0.0	6516.03	6471.02	95949.32	7130.55	800198.39
ACTN2	110983.6	0.0	189.02	703.28	1950.0	5517.27	18178.19	1487.87	830.75	1.46	3716.2	45072.75	68793.23	54349.29	248002.34
ADCK3	19754.96	470.14	186.4	373.81	567.1	909.17	4095.0	414.87	429.54	84.63	1159.07	19082.0	7032.37	4704.07	31650.8
ADPRHL1	2434.5	83.45	64.34	74.06	145.02	426.57	1143.1	103.69	77.79	35.5	123.5	3665.02	2682.69	3081.75	2915.45
ALPK3	4972.34	10.24	27.84	71.5	135.24	218.79	866.07	94.01	65.26	20.86	134.3	1883.54	728.11	1350.18	5219.6
AMPD1	10368.08	1.17	6.26	111.99	127.89	211.31	974.5	75.64	23.08	0.6	131.51	6337.83	2119.22	371.22	3540.14
ANK1	6983.79	8.85	88.88	123.5	305.55	361.04	1331.57	65.72	84.63	9.85	143.01	8778.97	1572.76	848.22	4328.55
ANKRD2	5872.48	9.85	10.39	43.32	62.12	248.0	620.67	89.51	85.22	3.29	60.39	842.36	1051.79	395.18	246.28
ANKRD23	18950.18	15.68	111.21	218.79	723.08	1551.09	4239.45	318.57	285.03	5.15	595.34	10959.3	5791.62	17558.94	22380.2
AQP7	791.35	1.13	0.0	14.56	20.56	50.27	223.41	7.94	10.63	5.96	28.24	1639.59	166.73	1277.29	679.29
ARPP21	1304.15	0.0	20.56	31.22	72.52	165.57	1268.46	108.14	66.18	0.0	149.12	1639.59	1594.73	4038.61	1685.71
ART1	1216.75	0.0	0.79	9.06	13.22	45.53	128.79	1.53	0.77	0.0	7.06	511.0	126.12	15.68	307.69
ASB10	1359.57	0.0	3.29	4.03	19.25	33.3	195.72	11.04	6.46	0.0	27.25	688.78	291.04	86.43	967.76
ASB11	2664.15	0.0	0.82	4.98	24.11	40.93	208.38	6.46	3.41	0.0	28.04	1304.15	381.68	45.53	941.27
ASB15	1769.57	0.0	0.53	2.86	18.97	14.67	100.13	4.58	1.69	0.0	7.06	490.14	190.34	105.15	400.71
ASB5	5112.16	0.0	37.59	94.67	182.55	830.75	1781.89	108.14	55.1	0.0	336.79	1529.73	555.41	3901.01	4869.99
ATP1A2	13776.25	0.0	22.43	56.68	295.11	500.46	2224.63	172.65	83.45	0.57	271.48	9606.86	7589.61	7032.37	9673.69
ATP1B4	842.36	0.0	4.28	26.67	42.41	109.66	273.37	26.47	11.04	0.0	43.02	325.29	199.85	69.03	4419.52
ATP2A1	86474.27	18.29	36.79	204.07	688.78	2555.58	7966.99	432.53	264.03	0.46	299.25	84694.64	19214.73	13492.72	10084.54
ATP2B2	379.04	0.0	2.76	1.06	7.34	12.09	38.12	4.28	3.79	0.0	3.79	170.25	9.41	9.13	14.67
B3GALT1	102.25	0.0	0.65	1.19	6.84	7.11	45.85	4.58	1.27	0.46	5.87	137.14	43.63	83.45	87.03
C10orf71	7857.29	0.0	13.22	52.82	111.21	287.01	1143.1	84.04	25.54	0.0	131.51	1923.14	1159.07	974.5	7966.99
C12orf39	460.44	0.84	0.52	6.31	22.59	27.84	137.14	3.35	5.06	0.0	6.36	642.59	20.86	4.5	52.45
C20orf166	20737.16	0.0	17.9	20.11	38.12	122.64	595.34	38.67	35.25	0.0	96.01	1127.35	2104.58	176.29	5255.91
C20orf26	389.72	3.72	2.84	9.2	15.45	23.93	81.14	17.77	8.85	0.0	22.26	187.71	78.89	208.38	53.19
C8orf22	17197.56	0.0	0.65	9.85	24.63	187.71	642.59	34.02	2.53	0.0	91.41	6207.38	1135.2	2537.92	3614.55
CAMK2A	2816.11	0.85	14.14	17.64	63.89	159.9	599.49	43.63	22.26	2.56	63.89	1119.56	698.41	571.05	1295.13
CASQ1	55491.3	0.42	16.88	218.79	532.74	1407.55	3467.27	172.65	122.64	1.28	269.6	24321.43	32315.87	6294.04	39510.91
CDNF	759.08	10.55	14.14	25.91	45.85	60.39	152.28	31.22	22.92	3.5	38.4	595.34	241.19	195.72	463.65
CHRND	769.69	0.0	26.1	77.25	88.88	343.89	2018.8	112.77	81.71	0.0	236.21	170.25	1304.15	5441.3	299.25
CKM	951601.81	7.17	603.67	1870.53	4181.07	15285.81	61571.56	3212.66	2400.97	4.94	8718.32	422911.59	462789.59	195931.88	1890058.21
CKMT2	22225.61	4.21	54.33	94.67	323.03	748.61	4268.94	148.09	116.78	1.51	403.5	15180.22	18304.63	19082.0	144427.91
CLIC5	4972.34	9.41	5.11	76.17	59.13	157.68	351.14	35.5	9.7	3.92	58.71	1662.49	1378.57	981.29	1135.2
CMYA5	34396.12	16.03	53.57	217.27	579.04	1662.49	5479.15	547.75	312.0	6.78	995.0	21919.61	21617.82	6121.9	42346.82
COX6A2	101420.22	9.48	171.45	595.34	1119.56	3540.14	15715.58	1304.15	688.78	0.0	2502.97	76330.98	258533.99	42641.37	998912.34
COX7A1	81809.59	2193.99	423.61	981.29	1175.27	3665.02	17804.06	1427.22	878.17	713.11	2682.69	102836.01	71714.63	34158.52	211455.3
CTNNA3	587.13	0.0	1.57	3.44	10.47	40.93	102.25	6.84	4.86	0.0	13.32	316.37	103.69	126.12	142.01
DHRS7C	7130.55	0.0	0.45	5.59	12.45	69.03	209.84	7.28	2.43	0.0	11.21	4639.29	1340.84	173.85	2915.45
DTNA	3716.2	6.36	18.84	64.8	187.71	301.33	890.44	85.22	36.01	31.0	119.26	3168.41	728.11	150.17	2502.97
DUPD1	1417.35	0.0	1.13	9.56	11.64	17.77	152.28	10.0	10.88	0.0	14.35	176.29	100.13	180.02	1417.35
DUSP13	5183.54	11.64	18.97	83.45	130.6	571.05	1477.58	100.83	72.52	11.64	264.03	5183.54	3794.3	1781.89	6983.79
DUSP27	1909.85	8.51	11.73	33.54	85.22	165.57	808.0	85.22	35.5	1.28	198.47	1605.83	1388.16	1583.71	2627.46
ENO3	208544.12	72.01	215.77	728.11	1313.23	4419.52	13872.08	1295.13	525.39	15.34	1844.76	147462.67	100719.65	14867.79	172949.54
EXTL1	363.56	0.67	0.91	4.21	22.26	23.93	167.9	7.94	5.5	0.0	7.06	507.46	435.55	29.48	503.95
FBP2	12589.08	0.0	0.46	2.76	9.63	85.82	202.66	13.03	4.5	0.3	12.09	5633.22	2133.97	244.57	3716.2
FBXO40	3716.2	0.27	0.19	6.31	27.05	49.56	189.02	7.94	3.32	0.0	6.78	1051.79	232.94	46.84	2119.22
FGF6	229.72	0.0	1.13	6.94	1.28	15.0	44.57	2.58	1.39	0.0	0.0	40.07	22.26	211.31	51.71
FHL1	296977.71	281.09	450.94	1359.57	3372.43	9673.69	34158.52	2537.92	1015.93	132.44	3589.58	114103.8	73730.83	71714.63	236256.4
FITM1	5366.37	13.22	28.45	43.32	105.89	223.41	1457.23	89.51	54.72	6.57	149.12	5219.6	2645.74	3190.46	14867.79
FNDC5	7180.15	3.06	6.57	48.87	38.95	190.34	514.56	46.84	37.05	4.74	71.5	6250.56	409.15	332.14	20310.37
FSD2	1923.14	0.66	0.85	3.29	18.7	16.88	127.0	3.63	1.71	1.25	5.15	555.41	53.19	22.26	802.41
GADL1	748.61	0.0	0.22	2.1	1.27	6.52	21.63	1.57	0.51	0.0	2.16	118.43	59.97	11.3	99.43
HFE2	10585.95	0.0	11.73	60.39	152.28	412.0	1044.52	53.19	55.49	0.0	193.01	7642.41	3124.78	1819.35	3515.68
HRC	5751.61	4.39	35.0	136.19	258.57	525.39	2335.28	195.72	120.94	3.53	417.77	4481.23	3491.39	7331.05	17558.94
HSPB6	68793.23	226.54	167.9	947.83	2303.12	3467.27	14163.58	1331.57	669.92	36.53	1529.73	77934.88	71714.63	76861.91	778316.89
HSPB7	35118.87	8.99	281.09	616.37	1388.16	4358.66	18819.27	1119.56	450.94	16.39	2555.58	17681.08	28525.2	9474.59	148488.36
KBTBD13	444.72	0.0	0.24	0.3	1.66	4.1	19.25	0.27	0.23	0.0	1.57	147.06	44.57	8.92	153.34
KLHL31	2468.49	2.78	5.5	16.51	38.4	149.12	303.44	21.78	15.91	5.54	40.36	633.73	87.65	71.5	3564.78
KLHL33	713.11	0.8	0.65	0.79	5.41	14.78	64.34	2.12	2.81	0.0	4.13	314.17	53.95	39.22	70.51
KLHL40	5517.27	0.0	13.93	66.18	93.35	381.68	1313.23	89.51	38.67	0.0	106.63	2417.67	2555.58	275.28	8840.04
KLHL41	121448.75	1.28	232.94	656.11	1697.45	4152.18	13306.94	1369.04	738.29	0.0	3901.01	66912.05	113315.62	47642.77	246289.25
LDB3	75803.72	2.36	34.51	194.36	514.56	961.07	4639.29	291.04	164.42	1.91	307.69	23492.92	44761.41	16496.96	113315.62
LINGO4	57.49	0.19	0.4	2.2	2.84	4.94	24.46	3.56	4.54	0.55	2.32	59.97	15.68	14.14	42.41
LMOD2	42054.3	0.0	36.53	178.77	743.43	1268.46	3716.2	353.59	151.22	0.0	529.06	14163.58	10512.82	14361.31	25005.23
LRRC39	8538.88	6.36	16.27	55.49	136.19	224.97	743.43	50.98	40.93	0.0	124.37	1896.65	733.19	665.29	10154.69
