	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.ZE9C.1126.SM.4WWBD	GTEX.RNOR.1226.SM.48FDQ	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.T2IS.0826.SM.4DM6L	TCGA.38.4625.01A.01R.1206.07	GTEX.ZE7O.0826.SM.57WCP
ADPRH	117.6	135.24	44.25	52.82	31.22	34.26	76.17	0.0	256.78
ADRA2A	1477.58	1073.91	37.85	177.53	63.45	54.33	343.89	0.0	120.94
AGR3	292889.12	1727194.55	679.29	0.0	0.0	0.0	802.41	0.0	37639.55
AL589739.1	16.75	100.13	12.64	8.13	0.0	0.0	13.93	0.0	35.0
ALPK3	103.69	854.13	26.1	29.48	19.25	36.27	91.41	0.0	46.84
AP003774.4	7.4	10.55	0.6	1.2	0.59	1.99	2.58	0.0	4.74
AQP5	31432.17	1238359.56	759.08	473.41	107.38	84.63	1551.09	0.0	22072.07
ARMC3	49666.0	220434.95	0.0	11.04	10.71	0.74	20.56	0.0	1143.1
BEST4	78.89	1015.93	12.09	4.06	4.06	10.47	15.45	0.0	77.79
BTBD17	3.03	1.01	0.0	1.0	0.0	0.0	1.53	0.0	5.11
C10orf85	5.59	7.17	0.0	0.64	0.0	0.0	1.64	0.0	5.19
C2orf70	466.88	3060.45	9.85	4.21	2.27	2.25	23.08	0.0	182.55
CAPN8	4388.98	4575.41	518.15	24.28	151.22	23.76	1104.13	0.0	1529.73
CD226	10.0	85.22	7.0	6.89	0.8	0.79	15.0	0.0	40.93
CHAD	941.27	507.46	85.82	141.02	30.34	13.12	316.37	0.0	63.0
COL9A2	1143.1	5633.22	27.25	65.26	30.34	20.86	119.26	0.0	669.92
COL9A3	633.73	384.34	69.52	164.42	83.45	83.45	229.72	0.0	106.63
COX7A2L	4607.24	5751.61	1295.13	1407.55	988.12	1119.56	1662.49	0.0	3564.78
CRIP1	61.25	53.19	12.18	0.0	14.14	8.71	24.28	0.0	51.71
EFCAB4A	5995.9	19082.0	967.76	426.57	291.04	336.79	2090.03	0.0	13681.08
