	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.AC.A3HN.01A.11R.A213.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.38.4625.01A.01R.1206.07
ABCB1	37.05	157.68	158.79	101.54	88.26	76.17	13.12	66.18	57.89	114.36	21.01	229.72	92.7	348.71	0.0
AMICA1	25.72	341.51	521.76	108.14	125.24	29.91	14.89	80.01	53.19	234.57	100.13	612.11	279.14	854.13	0.0
AMOTL1	82.87	267.73	638.15	182.55	185.11	190.34	12.93	120.94	112.77	289.02	43.32	460.44	258.57	599.49	0.0
ASB2	12.45	67.12	71.0	16.27	9.48	16.03	2.29	10.55	2.73	52.08	22.26	63.0	60.82	128.79	0.0
C19orf38	26.1	85.22	59.97	33.3	36.01	10.79	37.85	31.67	11.64	46.5	63.45	57.49	84.04	54.33	0.0
C7orf60	110.43	163.28	157.68	115.97	113.56	81.14	48.52	88.26	72.01	108.9	79.45	186.4	220.32	195.72	0.0
CCL5	195.72	2209.26	3235.01	450.94	283.05	172.65	86.43	301.33	153.34	1242.34	934.76	1407.55	967.76	2645.74	819.3
CCNB1IP1	420.68	785.88	928.3	540.19	603.67	260.38	470.14	409.15	616.37	543.96	507.46	796.86	679.29	974.5	0.0
CD1B	0.85	26.47	50.27	5.32	1.99	0.66	0.0	2.48	4.1	8.92	0.0	67.12	23.59	77.79	0.0
CD28	4.24	99.43	153.34	19.25	94.01	2.46	9.93	18.97	3.99	55.89	10.47	137.14	81.71	217.27	0.0
CD3E	50.27	813.63	1991.0	176.29	197.09	66.65	19.11	125.24	49.56	444.72	251.48	961.07	500.46	2178.83	0.0
CD48	231.32	1331.57	1977.24	320.8	194.36	85.22	63.45	287.01	91.41	555.41	444.72	1233.75	559.28	2591.27	0.0
CD52	346.29	3847.29	5954.47	540.19	555.41	273.37	132.44	543.96	246.28	2682.69	1051.79	4095.0	1322.37	9673.69	0.0
CD96	10.96	289.02	376.41	74.06	33.78	16.03	2.71	28.45	12.0	113.56	53.57	291.04	155.5	503.95	0.0
CDC42SE2	603.67	1023.0	1183.45	466.88	473.41	447.82	198.47	366.09	325.29	525.39	493.56	1111.82	967.76	1508.65	392.44
CEACAM21	10.39	98.73	121.79	16.88	22.92	22.75	16.39	16.03	9.48	59.97	27.44	72.01	50.98	182.55	0.0
CLEC12A	11.73	137.14	60.39	27.25	20.56	12.09	2.63	10.71	2.12	27.84	13.52	111.99	115.16	91.41	0.0
CLEC6A	0.0	6.73	3.17	0.97	0.35	0.0	0.0	0.0	0.0	1.04	1.11	5.19	3.35	4.62	0.0
CLNK	0.29	13.42	12.18	1.28	1.01	0.0	0.27	2.2	1.6	5.06	2.92	22.1	12.45	21.94	0.0
CST7	32.59	412.0	981.29	108.14	55.89	19.97	19.68	72.01	36.53	307.69	165.57	291.04	373.81	575.03	0.0
CXCR3	10.16	208.38	403.5	32.59	28.04	17.77	2.63	18.56	3.79	114.36	49.56	166.73	53.19	277.2	0.0
DNAJC5B	3.14	94.01	13.22	5.36	3.32	6.26	1.31	11.73	4.43	29.27	21.01	17.9	29.7	56.68	0.0
DTHD1	8.38	20.11	47.5	4.66	0.74	1.79	0.0	2.97	1.04	7.34	3.44	12.93	10.39	36.27	0.0
ERC2	4.13	32.36	9.93	6.41	6.78	6.41	0.84	11.64	1.31	15.22	3.35	7.06	25.91	7.4	0.0
ETV4	8.32	612.11	169.07	5.59	384.34	62.12	34.75	38.95	327.56	56.28	674.59	118.43	733.19	271.48	0.0
FAM115C	27.84	161.02	159.9	19.68	45.21	70.01	5.23	58.71	24.81	52.82	32.36	136.19	204.07	157.68	0.0
FASLG	2.51	60.82	76.71	17.9	5.19	4.21	2.05	9.06	1.22	28.04	19.11	34.02	50.98	53.19	20.11
FCRL6	1.95	58.3	123.5	21.01	14.14	2.94	4.35	10.31	11.21	48.52	21.32	98.04	54.33	72.01	0.0
FZD7	234.57	423.61	921.88	251.48	379.04	356.05	42.71	138.1	198.47	358.54	37.85	928.3	384.34	1208.34	0.0
GBP2	684.02	4328.55	2720.15	967.76	1073.91	785.88	848.22	995.0	961.07	1883.54	2816.11	4575.41	3467.27	3901.01	0.0
GHRL	26.86	78.89	38.12	12.64	11.47	16.75	31.67	10.08	8.65	24.99	52.45	58.3	105.89	62.12	0.0
GPR174	3.03	115.97	145.02	16.63	18.56	1.43	0.0	12.93	1.69	28.24	14.24	110.43	21.47	201.25	0.0
GPR18	13.62	74.58	170.25	24.99	7.75	6.11	1.93	20.56	2.63	18.56	22.43	68.55	41.52	209.84	0.0
GPR25	0.0	9.48	4.13	0.36	3.2	0.73	0.0	0.36	0.0	0.74	1.17	3.35	4.78	8.85	0.0
GPR85	9.85	59.97	19.53	22.92	17.51	38.4	1.85	7.51	25.91	49.56	5.45	21.01	70.51	69.52	0.0
GRIK1	1.14	33.06	3.86	0.95	1.66	0.32	0.0	2.81	1.27	1.0	0.35	8.25	13.22	18.29	0.0
GZMK	37.32	728.11	1051.79	143.01	47.5	14.14	9.48	67.12	16.15	220.32	143.01	332.14	341.51	780.44	0.0
HLA-DOB	16.51	214.27	339.14	64.8	17.64	9.41	5.87	27.05	19.82	88.26	45.53	454.09	182.55	934.76	0.0
