	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.R55C.0826.SM.48FCL	GTEX.YB5E.0926.SM.4WWDQ	GTEX.Y9LG.0626.SM.4WWDH	GTEX.OIZH.0726.SM.3NB1I	TCGA.38.4625.01A.01R.1206.07	GTEX.YB5K.1726.SM.5IFIZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13OVI.1026.SM.5L3EM	GTEX.ZVT2.0426.SM.5E44S
ADAD2	6.41	62.56	105.15	46.5	189.02	90.14	10.08	0.0	35.0	190.34	5.54	3.14
AIM1	42.71	39785.74	22535.88	1437.15	2537.92	2090.03	121.79	0.0	825.0	5403.7	49.21	102.97
AIM1L	2.81	16157.44	10225.32	4210.15	3901.01	5219.6	148.09	0.0	866.07	8191.0	9.78	0.6
AL591684.1	0.0	6561.36	559.28	32.82	2.1	0.64	0.0	0.0	87.03	0.0	0.0	0.0
ALDH3A1	26.1	127486.83	110216.97	21919.61	55877.28	17681.08	587.13	0.0	6337.83	663619.99	12.93	29.7
AQP3	74.06	8866908.99	3223059.86	25005.23	37121.34	26986.43	878.17	514.56	15824.9	535303.41	866.07	76.17
BMP7	13.42	23009.42	19214.73	460.44	884.29	638.15	48.52	0.0	214.27	7433.4	7.69	14.24
C19orf33	51.35	267651.2	623486.02	8840.04	13968.57	9540.5	616.37	1781.89	3639.7	61999.83	2627.46	444.72
C9orf169	2.41	62431.08	34635.37	8901.53	10014.87	8479.89	353.59	0.0	836.53	163620.18	29.7	14.78
CAPNS2	0.0	1514068.5	1890058.21	1059.11	2351.53	909.17	47.5	0.0	417.77	26431.04	0.91	0.15
DAPL1	0.56	397335.0	581732.96	4802.93	9088.59	2682.69	131.51	0.0	299.25	269512.87	19.82	105.15
DUOXA1	5.19	329517.51	181548.07	5479.15	5751.61	5913.33	220.32	181.28	902.89	7180.15	4.35	13.62
EPHX3	0.6	906531.99	1383603.33	780.44	1104.13	1216.75	36.01	0.0	379.04	63742.91	1.13	4.54
EVPL	0.45	24153.43	18304.63	5219.6	6840.04	6121.9	241.19	0.0	1870.53	31215.04	12.27	50.27
FABP5	2303.12	7991305.73	4433454.0	68793.23	105727.15	84694.64	5479.15	4152.18	5711.87	851707.37	1378.57	483.38
FADS6	0.0	753.83	1857.6	37.05	71.5	44.89	2.41	0.0	20.41	255.0	0.0	0.0
FAM83A	0.0	3359929.59	711250.37	1794.29	2061.24	3060.45	65.72	1832.01	244.57	18560.17	0.08	1.33
FAM83C	0.0	794671.01	2216726.5	387.02	743.43	708.18	22.43	0.0	134.3	7911.95	0.0	0.61
FAM84A	15.8	6471.02	8191.0	507.46	1104.13	518.15	47.5	0.0	223.41	1709.26	43.94	151.22
FGFR3	4.66	179048.63	59474.18	4268.94	3491.39	3614.55	149.12	0.0	518.15	8421.31	76.71	3.72
FOXQ1	0.0	7230.1	14765.09	171.45	323.03	237.86	128.79	0.0	785.88	33.54	34.51	0.0
FZD10	10.55	8658.09	4575.41	490.14	255.0	176.29	23.93	0.0	54.33	1051.79	9.34	11.73
GABRA3	0.52	150.17	9.85	14.35	7.34	9.2	1.93	0.0	10.88	43.94	0.0	4.35
GCLC	287.01	7081.29	6164.49	872.1	2319.15	2178.83	780.44	1143.1	753.83	5183.54	406.31	325.29
GGT6	0.0	29943.43	18431.96	1605.83	2104.58	1457.23	52.08	0.0	1950.0	3491.39	37.05	8.38
GJB4	0.0	113315.62	2976.74	107.38	30.12	59.97	1.95	0.0	32.13	142.01	0.28	0.0
GJB5	0.58	391864.76	383800.28	1923.14	1508.65	1909.85	59.55	0.0	620.67	4937.99	8.78	0.73
GJB6	0.0	6908781.2	5092701.46	5292.48	5517.27	3874.05	202.66	0.0	441.64	53973.86	1.71	3.86
GPR15	0.0	63.0	73.54	23.76	14.67	7.63	0.66	0.0	57.89	0.95	0.0	0.0
GPX2	0.0	1997825.68	3245478.02	4512.4	13586.57	5112.16	242.88	0.0	1051.79	254974.66	8.0	20.26
GRHL3	1.1	80683.28	31650.8	3589.58	2701.35	3515.68	124.37	0.0	379.04	10154.69	0.44	2.46
HS3ST6	0.0	22692.63	9945.68	194.36	260.38	194.36	6.62	0.0	12.09	2573.36	0.0	0.0
IL1A	0.49	57847.82	70238.75	44.89	60.39	2090.03	2.43	0.0	25.17	6471.02	0.0	0.0
IL20RB	16.15	746611.43	2201414.44	2224.63	1757.34	1806.78	86.43	0.0	366.09	13681.08	45.21	8.0
IVL	0.0	7.49798696E7	4.247174256E7	16611.71	11112.3	20737.16	450.94	0.0	775.05	103551.29	0.0	0.39
KCTD11	87.03	11992.79	3467.27	1313.23	417.77	748.61	356.05	0.0	575.03	1498.22	279.14	346.29
KIAA1522	55.89	2209.26	1745.2	2047.0	2287.2	1628.26	587.13	0.0	1923.14	1225.22	373.81	511.0
KRT13	0.0	6.69297277469E9	2.25424941211E9	711250.37	1026995.62	721179.07	26431.04	0.0	30361.44	5.801811048E7	0.0	75.64
KRT6A	0.0	2.01760973986E9	2.41604469791E9	118949.35	115696.65	214407.12	3419.52	0.0	22692.63	906531.99	0.0	6.73
LY6D	0.0	2.1503555688E8	6.17527469E7	28923.41	42937.97	25708.25	514.56	0.0	4769.75	334117.42	5.77	2.71
LYPD3	1.99	9975791.32	8330662.65	28923.41	23986.58	30999.42	769.69	0.0	6840.04	130165.62	110.43	90.14
MROH2A	0.0	80.57	9279.58	4.9	21.16	25.54	0.0	0.0	0.0	149.12	0.0	0.0
MYCL	18.16	2133.97	2090.03	236.21	928.3	211.31	19.97	0.0	255.0	2209.26	17.77	18.84
NIPAL4	4.46	8840.04	8963.45	273.37	363.56	381.68	33.06	0.0	59.13	8191.0	0.61	3.99
NPAS2	99.43	2758.13	1477.58	2645.74	2090.03	2163.77	1088.92	0.0	842.36	1508.65	486.75	211.31
NPBWR1	0.0	13.83	265.87	0.0	0.88	0.0	0.0	0.0	0.0	5.45	0.0	0.0
OVOL1	0.0	24832.5	7433.4	2224.63	1037.29	669.92	47.84	84.04	429.54	2895.31	15.22	4.28
PADI1	0.0	52863.07	20451.65	2935.74	2720.15	2915.45	88.26	0.0	75.11	6840.04	0.0	0.04
PADI3	1.58	32994.92	174152.51	123.5	450.94	486.75	13.62	0.0	13.12	1340.84	0.0	0.6
PCP4L1	5.59	3257.52	4419.52	157.68	291.04	297.17	33.78	0.0	57.08	4210.15	22.1	6.36
PLA2G2F	0.0	3303.0	22.75	1.06	0.39	2.63	0.31	0.0	4.1	15.0	0.0	0.57
PLA2G4D	0.0	3665.02	19082.0	181.28	69.52	150.17	3.59	0.0	47.84	3847.29	1.25	0.0
PLA2G4E	13.22	167058.21	20881.4	81.14	23.42	289.02	1.97	0.0	46.5	3212.66	0.0	0.67
PLCD1	142.01	5403.7	1322.37	1044.52	1551.09	629.35	409.15	0.0	368.65	1639.59	291.04	323.03
PLCH2	0.0	37639.55	43236.64	624.99	872.1	607.87	21.94	0.0	242.88	507.46	12.45	2.97
POU3F1	1.1	1769.57	45.53	31.67	68.55	23.93	3.76	0.0	41.81	791.35	0.0	3.76
PSCA	0.0	450134.56	147462.67	6792.79	19348.38	23169.48	113.56	0.0	346.29	32540.65	7.88	1.55
RAET1G	6.06	17681.08	1208.34	476.71	780.44	435.55	19.53	0.0	145.02	3060.45	12.36	2.34
RDH12	5.15	4095.0	3103.19	896.64	928.3	301.33	46.18	0.0	73.54	4419.52	8.85	4.66
RGSL1	0.0	0.92	5.23	0.82	0.37	1.75	0.0	0.0	0.0	19.25	0.0	0.0
RNF223	0.0	27938.14	7180.15	536.45	703.28	769.69	18.16	0.0	201.25	2520.38	0.0	0.0
S100P	46.84	112532.89	10883.59	3280.18	6792.79	8598.28	220.32	0.0	343.89	3280.18	1.3	21.16
SLC2A1	12.64	24832.5	12244.81	5594.3	2701.35	3168.41	470.14	0.0	1639.59	12676.65	693.58	299.25
SLC46A2	1.07	248.0	98.04	32.82	62.56	31.9	1.01	0.0	14.89	24.11	10.88	4.43
SOWAHC	36.01	18819.27	4607.24	995.0	974.5	698.41	323.03	57.08	656.11	2835.7	334.46	258.57
SOX15	31.22	99333.0	5147.73	2335.28	1498.22	2018.8	127.0	0.0	490.14	7331.05	325.29	102.97
SPINK7	0.0	288856.81	360589.03	8840.04	21768.19	7382.04	224.97	0.0	163.28	1048575.0	0.0	3.66
SPRR3	0.0	1.58298451744E9	3.902977747E8	469249.9	682276.92	482442.34	10585.95	0.0	14561.8	2.763512778E7	0.0	2.18
SYT8	0.0	3235.01	3443.31	1295.13	2004.85	1081.39	22.75	0.0	316.37	4836.35	0.44	0.91
TMEM40	30.12	391864.76	115696.65	3443.31	4239.45	3820.7	77.79	0.0	525.39	22380.2	1.77	6.84
TMPRSS11E	0.0	4851500.88	2294899.22	4066.71	4358.66	4836.35	113.56	0.0	392.44	96616.71	0.0	0.47
TMPRSS4	0.0	12329.98	5594.3	3794.3	1977.24	3820.7	105.89	0.0	551.56	9606.86	9.56	5.68
UGT1A4	0.0	34.75	23.76	7.51	18.16	7.46	0.0	0.0	1.25	46.18	0.0	0.0
UPK1A	0.0	16157.44	3928.15	297.17	3515.68	234.57	19.82	0.0	47.17	3491.39	5.92	2.78
UPK2	1.6	1909.85	34.26	36.27	72.52	17.13	0.0	0.0	7.34	130.6	4.39	8.19
UPK3B	0.74	15392.14	974.5	780.44	2287.2	1008.9	65.72	0.0	40.07	2855.44	206.94	15.22
