	TCGA.LD.A9QF.01A.32R.A41B.07	GTEX.T6MO.1426.SM.4DM73	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AA.3697.11A.01R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.H2.A3RI.11A.11R.A220.07	GTEX.13IVO.0926.SM.5KLZP	GTEX.13PDP.1026.SM.5L3FA	GTEX.13NZ8.0226.SM.5J2OK
ABAT	132.44	98.04	71.5	105.15	0.0	0.41	497.0	802.41	830.75	713.11	791.35
ABLIM1	429.54	2720.15	293.07	647.07	0.0	0.64	1540.37	1540.37	3443.31	3349.13	4671.57
AC006126.3	1.91	2.34	0.0	0.0	0.0	0.06	2.29	6.01	12.45	13.32	12.45
ACRBP	70.01	77.25	32.36	37.32	0.0	0.12	164.42	171.45	529.06	423.61	1001.93
ACRC	26.1	48.52	18.29	15.45	0.0	0.74	54.72	59.13	325.29	441.64	529.06
ADAL	80.57	144.01	73.03	102.97	0.0	0.19	167.9	205.5	265.87	229.72	256.78
AFAP1L2	239.52	941.27	76.71	178.77	0.0	0.47	2193.99	4239.45	6935.54	3614.55	4328.55
ANKRD18A	16.03	599.49	2.53	4.7	0.0	0.35	120.94	116.78	138.1	180.02	142.01
ANKRD24	21.32	82.29	2.61	7.57	0.0	0.33	34.26	34.51	146.03	65.26	126.12
ARC	13.03	8.78	4.86	8.45	0.0	0.04	93.35	2.36	3103.19	5112.16	376.41
ARG2	46.18	941.27	82.87	47.84	0.0	0.37	902.89	559.28	4152.18	2303.12	3443.31
ARHGAP6	33.3	49.21	8.0	145.02	0.0	0.49	417.77	607.87	414.87	647.07	595.34
ATAD3C	59.13	136.19	6.46	45.21	43.32	84.04	248.0	297.17	301.33	318.57	361.04
ATHL1	902.89	25354.3	3467.27	293.07	0.0	1.91	2502.97	1175.27	2400.97	15499.21	10296.45
ATXN1L	166.73	215.77	90.14	199.85	0.0	0.4	234.57	260.38	389.72	265.87	351.14
B3GNT9	301.33	470.14	34.51	159.9	0.0	0.45	497.0	669.92	915.51	532.74	679.29
BAHD1	346.29	387.02	215.77	307.69	0.0	0.58	480.04	559.28	723.08	620.67	688.78
BBS12	47.17	94.67	46.18	57.08	0.0	0.07	139.07	197.09	173.85	186.4	287.01
BMPR1A	171.45	201.25	82.29	191.67	0.0	0.14	204.07	384.34	854.13	620.67	514.56
BPIFB1	183.82	5.156897276E7	0.0	0.0	0.0	0.0	1.36	0.0	27.64	0.0	0.52
BTBD8	4.03	9.85	2.66	3.92	0.0	0.0	9.7	13.62	45.21	48.18	73.03
C11orf42	0.78	1.69	0.92	1.38	0.0	0.05	3.82	11.04	12.0	5.96	7.69
C12orf39	10.63	0.0	0.39	0.55	0.0	0.06	414.87	830.75	4123.49	7280.4	3395.89
C16orf46	34.51	41.81	25.17	8.0	0.0	0.0	136.19	229.72	660.68	476.71	511.0
C1orf101	16.15	43.32	5.54	5.68	0.0	0.15	26.67	28.65	56.68	36.53	58.71
C1orf134	23.08	70.51	15.45	30.34	0.0	0.0	20.26	40.07	172.65	18.56	117.6
CCDC85A	14.03	24.11	2.56	8.92	0.0	0.01	84.04	185.11	466.88	341.51	373.81
CEP97	35.5	37.32	21.32	33.06	0.0	0.35	51.35	53.57	74.06	64.8	68.07
CLDN9	68.55	214.27	24.28	3.99	0.0	0.39	47.84	13.32	248.0	890.44	371.22
CMTM4	140.04	420.68	183.82	403.5	0.0	0.45	981.29	1397.83	3540.14	1883.54	1977.24
CRABP1	76.71	0.0	1.25	78.89	0.0	0.35	2777.33	7280.4	41475.31	32767.0	8963.45
CRYAB	1096.5	4607.24	312.0	3419.52	0.0	0.96	13776.25	13586.57	77396.54	161367.56	77934.88
CSGALNACT1	256.78	775.05	35.0	104.42	0.0	0.4	941.27	2163.77	1127.35	1819.35	1378.57
CTB-102L5.4	14.45	88.26	23.93	20.41	0.0	0.0	42.11	63.0	392.44	275.28	480.04
CTD-2369P2.10	16.27	41.22	10.71	11.47	0.0	0.01	36.79	47.84	93.35	63.45	109.66
CYB5D1	156.59	371.22	128.79	197.09	0.0	0.38	486.75	698.41	1175.27	1001.93	1119.56
