	GTEX.12WSK.2226.SM.5GCO5	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.13CF3.1426.SM.5K7YY	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XYKS.0526.SM.4BRW2	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.14B4R.1426.SM.5Q5CG	GTEX.1445S.2926.SM.5O993
ABCA2	295.11	3018.3	2255.7	169.07	368.65	166.73	283.05	148.09	0.0	361.04	0.84	1350.18	356.05	567.1	346.29	307.69	201.25
ABHD8	150.17	368.65	316.37	112.77	166.73	83.45	125.24	109.66	0.0	234.57	0.37	493.56	165.57	231.32	130.6	131.51	171.45
ADAT3	16.51	307.69	158.79	59.55	80.01	5.54	17.9	2.86	0.0	22.1	0.54	156.59	98.73	143.01	111.21	77.25	63.89
AGAP3	1259.69	2739.08	1733.13	718.08	1540.37	490.14	521.76	305.55	0.0	1551.09	1.06	2163.77	1467.37	3372.43	1529.73	1023.0	1639.59
C10orf137	205.5	457.25	460.44	143.01	221.86	181.28	124.37	90.77	0.0	111.21	0.57	406.31	211.31	285.03	249.73	277.2	183.82
C19orf60	343.89	1721.16	1295.13	438.59	909.17	277.2	287.01	329.84	0.0	1277.29	0.73	2468.49	642.59	1037.29	723.08	660.68	511.0
CYB5R1	1540.37	2303.12	4268.94	775.05	2193.99	1407.55	1519.15	785.88	0.0	2255.7	0.84	2319.15	2075.59	2163.77	2573.36	2163.77	1617.0
DDX41	563.18	1259.69	1277.29	1008.9	1304.15	607.87	1159.07	612.11	0.0	1259.69	0.78	2451.44	995.0	1991.0	1175.27	1199.98	1073.91
E4F1	147.06	480.04	476.71	239.52	323.03	94.67	125.24	88.88	0.0	358.54	0.85	660.68	312.0	493.56	246.28	289.02	273.37
FAM136A	334.46	1143.1	1583.71	435.55	698.41	629.35	563.18	743.43	0.0	647.07	0.2	769.69	878.17	1208.34	1199.98	836.53	599.49
